epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5267374976257251,,,,6.033692212525921e-09,7.786814393284658e-08,,0.0,6452080,20,6452080,6452080,0,4.064305350999348,4.060367730002326,0.6570454510001582,0.002344253000046592,5.181664,12690,10,10,
2,0.4113119101421926,,,,6.20672357953822e-09,7.98907038301877e-08,,0.0,6452080,20,6452080,6452080,0,4.127009043997532,4.123737135003466,0.7234820839985332,0.002052373998594703,5.181664,12690,10,10,
3,0.28768157918978726,,,,6.14224582307088e-09,7.892035114309692e-08,,0.0,6452080,20,6452080,6452080,0,3.888154457999917,3.884895970000798,0.7160044449992711,0.002034068998909788,5.181664,12690,10,10,
4,0.25635143454235354,,,,5.9926210660421475e-09,7.68948069662656e-08,,0.0,6452080,20,6452080,6452080,0,3.9426918270000897,3.939440525999089,0.6932009499978449,0.002066822999040596,5.181664,12690,10,10,
5,0.22687673718690396,0.19315412373680296,0.9184478789871753,0.7610789980732178,6.166493538017903e-09,7.897743614648789e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.843605562000448,3.840228882007068,0.6637634720027563,0.001992970999708632,5.181664,12690,10,10,
6,0.2004421117206224,,,,6.1384586302892785e-09,7.846895044849589e-08,,0.0,6452080,20,6452080,6452080,0,3.8254317270002502,3.82227388800311,0.6614279630011879,0.0019392229987715837,5.181664,12690,10,10,
7,0.1941423042476808,,,,6.197948376751583e-09,7.909395094429783e-08,,0.0,6452080,20,6452080,6452080,0,3.7635900060013228,3.760310952002328,0.6369250099996862,0.0020781759994861204,5.181664,12690,10,10,
8,0.1734948165881006,,,,6.102341743030593e-09,7.771202348294537e-08,,0.0,6452080,20,6452080,6452080,0,3.8422876469994662,3.8390135709996684,0.6568409539977438,0.002004179998039035,5.181664,12690,10,10,
9,0.1645738919534855,,,,6.168944466367066e-09,7.844544569479694e-08,,0.0,6452080,20,6452080,6452080,0,3.8744624469982227,3.871209472003102,0.6738274540002749,0.0019335770011821296,5.181664,12690,10,10,
10,0.15216723834151613,0.15968777610264084,0.9345609996711608,0.8159111933395005,6.1261906658671705e-09,7.777114063856061e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8484347249977873,3.845153222006047,0.6519566450006096,0.001994496997212991,5.181664,12690,10,10,
11,0.14865212629284086,,,,6.0878231344929645e-09,7.717137862073287e-08,,0.0,6452080,20,6452080,6452080,0,3.9498295279991,3.946637221997662,0.6937695509986952,0.0019785169970418792,5.181664,12690,10,10,
12,0.14484240778706858,,,,6.189116330546085e-09,7.836892024215558e-08,,0.0,6452080,20,6452080,6452080,0,4.017794213999878,4.014382383003976,0.6858854929996596,0.002148003000911558,5.181664,12690,10,10,
13,0.1320623148917597,,,,6.200748359219688e-09,7.840407079129363e-08,,0.0,6452080,20,6452080,6452080,0,4.21966136500123,4.2163982420061075,0.7294392770018021,0.0019800990012299735,5.181664,12690,10,10,
14,0.13163797261961052,,,,6.098451521552306e-09,7.701984117147731e-08,,0.0,6452080,20,6452080,6452080,0,3.959783083999355,3.956586743999651,0.6977348920008808,0.0019998259995190892,5.181664,12690,10,10,
15,0.1202961303766985,0.11712334911889169,0.9539625123314699,0.8784722222222222,6.17029272120817e-09,7.783114597259555e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.066007503999572,4.062685286993656,0.710420741001144,0.002000979999138508,5.181664,12690,10,10,
16,0.12283235433428377,,,,6.120304707479818e-09,7.71467369986567e-08,,0.0,6452080,20,6452080,6452080,0,3.9939856420023716,3.99081348200707,0.6896444349986268,0.0019687019994307775,5.181664,12690,10,10,
17,0.11304478870565435,,,,6.2708793713284194e-09,7.890810849175978e-08,,0.0,6452080,20,6452080,6452080,0,3.8746204400013085,3.8713408850017004,0.665639265000209,0.002023247001488926,5.181664,12690,10,10,
18,0.12567558941787862,,,,6.206346103709848e-09,7.808731794511914e-08,,0.0,6452080,20,6452080,6452080,0,4.072798855999281,4.069545221005683,0.7393081030022586,0.0019987880004919134,5.181664,12690,10,10,
19,0.11438584778092471,,,,6.043818778778132e-09,7.593817485940235e-08,,0.0,6452080,20,6452080,6452080,0,3.9613484399997105,3.9581526269939786,0.7148405189982441,0.0019223460003559012,5.181664,12690,10,10,
20,0.12733701752968737,0.11356462075561888,0.9487010851693521,0.8602150537634409,6.057681023463601e-09,7.609535401797984e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.901393095002277,3.8977958299947204,0.6473169769997185,0.002341434999834746,5.181664,12690,10,10,
21,0.11044135767525551,,,,6.1299165743378126e-09,7.689006054079073e-08,,0.0,6452080,20,6452080,6452080,0,4.066986393998377,4.063602328009438,0.6983075589996588,0.002072929000860313,5.181664,12690,10,10,
22,0.11696810545417906,,,,6.23130835819552e-09,7.814143998530199e-08,,0.0,6452080,20,6452080,6452080,0,4.110590887001308,4.106874572997185,0.7183311560002039,0.002468104001309257,5.181664,12690,10,10,
23,0.10770225218331513,,,,6.24247409319878e-09,7.811294011617065e-08,,0.0,6452080,20,6452080,6452080,0,4.143465614000888,4.139951920002204,0.7004862159992626,0.0022275549999903888,5.181664,12690,10,10,
24,0.11238498080697286,,,,6.256023699080515e-09,7.825423153917654e-08,,0.0,6452080,20,6452080,6452080,0,4.242585018997488,4.2391266460072075,0.7305998350020673,0.002104658000462223,5.181664,12690,10,10,
