split,node,engines,windows,positive,positive_fraction
train,0,8,999,248,0.24824824824824826
train,1,8,1725,248,0.14376811594202898
train,2,8,885,248,0.280225988700565
train,3,8,761,248,0.32588699080157685
train,4,8,1424,248,0.17415730337078653
train,5,8,1307,248,0.18974751338944146
train,6,8,2097,248,0.11826418693371483
train,7,8,1170,248,0.21196581196581196
train,8,8,1100,248,0.22545454545454546
train,9,8,1222,248,0.20294599018003273
validation,0,2,259,62,0.23938223938223938
validation,1,2,336,62,0.18452380952380953
validation,2,2,340,62,0.18235294117647058
validation,3,2,363,62,0.17079889807162535
validation,4,2,231,62,0.2683982683982684
validation,5,2,269,62,0.23048327137546468
validation,6,2,307,62,0.20195439739413681
validation,7,2,279,62,0.2222222222222222
validation,8,2,315,62,0.19682539682539682
validation,9,2,342,62,0.18128654970760233
test,0,10,1020,27,0.026470588235294117
test,1,10,900,33,0.03666666666666667
test,2,10,1054,57,0.054079696394686905
test,3,9,668,43,0.06437125748502993
test,4,9,895,34,0.03798882681564246
test,5,9,904,36,0.03982300884955752
test,6,9,266,0,0.0
test,7,9,942,31,0.032908704883227176
test,8,9,973,71,0.07297019527235354
test,9,9,633,0,0.0
