split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,751,0,53,195,0.9469469469469469,1.0,0.7862903225806451,0.8803611738148984,0.0,0.8931451612903225,999,248,0.5,0.9959033117134144,0.9887531284537905,0.038438141545526175,0.12537576683946053
train,fixed,1,1417,60,1,247,0.9646376811594203,0.8045602605863192,0.9959677419354839,0.8900900900900901,0.040622884224779957,0.977672428855352,1725,248,0.5,0.9974392294756154,0.9844994421865225,0.02406702482595384,0.07589408827565443
train,fixed,2,637,0,75,173,0.9152542372881356,1.0,0.6975806451612904,0.8218527315914489,0.0,0.8487903225806452,885,248,0.5,0.9947586975236744,0.988460839355749,0.06358275532412636,0.21014978591488162
train,fixed,3,513,0,89,159,0.8830486202365309,1.0,0.6411290322580645,0.7813267813267813,0.0,0.8205645161290323,761,248,0.5,0.9935153744576495,0.9880964216925563,0.0949819758921087,0.3546033315235699
train,fixed,4,1161,15,15,233,0.9789325842696629,0.9395161290322581,0.9395161290322581,0.9395161290322581,0.012755102040816327,0.963380513495721,1424,248,0.5,0.9978741496598639,0.9905761756478394,0.015461825543885446,0.05249376017964742
train,fixed,5,1043,16,9,239,0.9808722264728386,0.9372549019607843,0.9637096774193549,0.9502982107355865,0.015108593012275733,0.9743005422035396,1307,248,0.5,0.9980086204270615,0.9921767977772536,0.015230740648857561,0.05401252941223292
train,fixed,6,1778,71,0,248,0.966142107773009,0.7774294670846394,1.0,0.8747795414462081,0.03839913466738778,0.9808004326663061,2097,248,0.5,0.9986893525707008,0.9909030655403743,0.02315354427068938,0.07234788567628056
train,fixed,7,917,5,33,215,0.9675213675213675,0.9772727272727273,0.8669354838709677,0.9188034188034188,0.005422993492407809,0.9307562451892799,1170,248,0.5,0.9970960744524526,0.989799369237114,0.022707254930309152,0.07575243332141297
train,fixed,8,852,0,53,195,0.9518181818181818,1.0,0.7862903225806451,0.8803611738148984,0.0,0.8931451612903225,1100,248,0.5,0.99554179918219,0.986495048431072,0.03395301245297488,0.10941866547021506
train,fixed,9,967,7,33,215,0.967266775777414,0.9684684684684685,0.8669354838709677,0.9148936170212766,0.007186858316221766,0.929874312777373,1222,248,0.5,0.9952018612969464,0.9826604481704521,0.025151245994445313,0.0826645008211934
train,val_f1,0,728,23,13,235,0.963963963963964,0.9108527131782945,0.9475806451612904,0.9288537549407114,0.03062583222370173,0.9584774064687943,999,248,0.09999999999999999,0.9959033117134144,0.9887531284537905,0.038438141545526175,0.12537576683946053
