epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.0004005658847745508,0.005169974640011787,,0.0,6452080,20,5161664,6452080,0,3.891965609000181,3.8888908499993704,0.5559678639983758,0.0018794429997797124,5.181664,12690,8,10,
2,0.37898676204132287,,,,0.0008107349858619273,0.010430586524307728,,0.0,6452080,20,4839060,6452080,0,3.6408206119995157,3.6378577909981686,0.42369037899879913,0.0017274150013690814,5.181664,12690,8,10,
3,0.2903722481888883,,,,0.0005067597376182675,0.00651530409231782,,0.0,6452080,20,4839060,6452080,0,3.691800555001464,3.6886610530018515,0.4505408160002844,0.0018757169982563937,5.181664,12690,7,10,
4,0.25516589606739987,,,,0.0007116228225640953,0.0091324457898736,,0.0,6452080,20,5161664,6452080,0,3.8148341640007857,3.811725675001071,0.44341189400074654,0.0018253960006404668,5.181664,12690,8,10,
5,0.23334916125989671,0.1975700460846513,0.9214074317658665,0.7708533077660594,0.0008026971481740475,0.01028385479003191,0.005694444444444445,0.0,6452080,20,4193852,6452080,0,4.460388355999385,4.457397108000805,0.5667592370009515,0.0018021369996858994,5.181664,12690,6,10,
6,0.20431343592693868,,,,0.0010211959015578032,0.013055222108960152,,0.0,6452080,20,5484268,6452080,0,3.9717475850011397,3.9686136249983974,0.4698981109995657,0.001950720001332229,5.181664,12690,9,10,
7,0.18134460058402233,,,,0.0006067445501685143,0.007738933432847261,,0.0,6452080,20,4839060,6452080,0,3.777613812000709,3.774209556002461,0.42340998700092314,0.002079379999486264,5.181664,12690,7,10,
8,0.17603592153987874,,,,0.000772738887462765,0.009839903563261032,,0.0,6452080,20,4516456,6452080,0,4.341044492000947,4.337818882997453,0.5800925780004036,0.001944890998856863,5.181664,12690,6,10,
9,0.1648415805790981,,,,0.00044096927740611136,0.0056071230210363865,,0.0,6452080,20,5806872,6452080,0,4.0018981940011145,3.9987652370036812,0.45616208800129243,0.0018895979992521461,5.181664,12690,9,10,
10,0.1478720160322981,0.12646339517619104,0.9513317987504111,0.8685612788632326,0.0008661138126626611,0.010993016883730888,0.01875,0.0,6452080,20,4516456,6452080,0,3.7376382279999234,3.734565894001207,0.4385820509996847,0.0018773360006889561,5.181664,12690,6,10,
11,0.15327346378218676,,,,0.0006090328097343445,0.0077236611396074295,,0.0,6452080,20,5161664,6452080,0,3.719471770000382,3.7162254069990013,0.4242911820001609,0.001970277000509668,5.181664,12690,8,10,
12,0.1555954642155897,,,,0.0010929210111498833,0.013855027966201305,,0.0,6452080,20,4839060,6452080,0,3.946985874999882,3.9436617760020454,0.4841527999997197,0.002015587000641972,5.181664,12690,9,10,
13,0.14628344544318708,,,,0.0006155045120976865,0.007795379497110844,,0.0,6452080,20,5806872,6452080,0,3.7858283670011588,3.7826427489981143,0.4258081869993475,0.00191968299986911,5.181664,12690,9,10,
14,0.13611008657097742,,,,0.00100091309286654,0.012660152278840542,,0.0,6452080,20,4516456,6452080,0,4.045569886000521,4.042498852999415,0.4575752040000225,0.0018488599998818245,5.181664,12690,6,10,
