split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1246,27,7,241,0.977646285338593,0.8992537313432836,0.9717741935483871,0.9341085271317829,0.021209740769835034,0.975282226389276,1521,248,0.5,0.9973297772597116,0.9873335259852845,0.017504047842691727,0.05796188019104655
train,fixed,1,1062,4,12,236,0.9878234398782344,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.00375234521575985,0.9739302790050233,1314,248,0.5,0.9989938267869031,0.9960794080652035,0.014248419609962324,0.05331405733599062
train,fixed,2,1023,4,17,231,0.9835294117647059,0.9829787234042553,0.9314516129032258,0.9565217391304348,0.0038948393378773127,0.9637783867826742,1275,248,0.5,0.9982960077896788,0.9938363072090353,0.01365025921127874,0.05031932309643775
train,fixed,3,829,12,24,224,0.9669421487603306,0.9491525423728814,0.9032258064516129,0.9256198347107438,0.014268727705112961,0.94447853937325,1089,248,0.5,0.9961067853170189,0.987214046028736,0.022917882686039087,0.07454942196258281
train,fixed,4,893,22,17,231,0.9664660361134996,0.9130434782608695,0.9314516129032258,0.9221556886227545,0.024043715846994537,0.9537039485281156,1163,248,0.5,0.9960779129208531,0.9870338119509758,0.02155080324991685,0.07145847424354893
train,fixed,5,873,15,21,227,0.9683098591549296,0.9380165289256198,0.9153225806451613,0.926530612244898,0.016891891891891893,0.9492153443766347,1136,248,0.5,0.996408202557396,0.9880530175584717,0.02101952892727564,0.07079718439548584
train,fixed,6,850,10,25,223,0.9684115523465704,0.9570815450643777,0.8991935483870968,0.9272349272349273,0.011627906976744186,0.9437828207051763,1108,248,0.5,0.99307951987997,0.9807173368108196,0.02571648822120781,0.09098544048913142
train,fixed,7,1106,9,15,233,0.9823917828319882,0.9628099173553719,0.9395161290322581,0.9510204081632653,0.008071748878923767,0.9657221900766672,1363,248,0.5,0.997497468537538,0.9904391793032071,0.01631264015594398,0.057285418824432076
train,fixed,8,1023,16,23,225,0.9696969696969697,0.9336099585062241,0.907258064516129,0.9202453987730062,0.015399422521655439,0.9459293209972368,1287,248,0.5,0.996309261386569,0.9850734755764883,0.020183974281212075,0.06504840080701695
train,fixed,9,1186,0,48,200,0.9665271966527197,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,1434,248,0.5,0.998864439971713,0.9951634786452858,0.023390374319846217,0.07628575197741044
train,val_f1,0,1229,44,4,244,0.9684418145956607,0.8472222222222222,0.9838709677419355,0.9104477611940298,0.03456402199528672,0.9746534728733244,1521,248,0.32,0.9973297772597116,0.9873335259852845,0.017504047842691727,0.05796188019104655
train,val_f1,1,1034,32,3,245,0.9733637747336378,0.8844765342960289,0.9879032258064516,0.9333333333333333,0.0300187617260788,0.9789422320401864,1314,248,0.32,0.9989938267869031,0.9960794080652035,0.014248419609962324,0.05331405733599062
