epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5210044524580459,,,,6.053381795823043e-09,7.81234064106684e-08,,0.0,6452080,20,6452080,6452080,0,4.077605377999134,4.073580725998909,0.5099153900009696,0.0023658700010855682,5.181664,12690,10,10,
2,0.38400535671660074,,,,6.2348330942541e-09,8.020093389404792e-08,,0.0,6452080,20,6452080,6452080,0,4.087331159000314,4.0829971530038165,0.4837614539974311,0.002275443999678828,5.181664,12690,10,10,
3,0.2975512252259344,,,,6.153864529068187e-09,7.909175536724433e-08,,0.0,6452080,20,6452080,6452080,0,4.292342089000158,4.288751697000407,0.535332131999894,0.0021421180026663933,5.181664,12690,10,10,
4,0.26254739481298717,,,,6.129744711813601e-09,7.863882700576141e-08,,0.0,6452080,20,6452080,6452080,0,3.9861399100009294,3.9829109459969914,0.4890812810008356,0.0020209489994158503,5.181664,12690,10,10,
5,0.23132523036398003,0.18379834219069316,0.9250246629398224,0.7840909090909091,6.169037281011924e-09,7.8973663164561e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.052255159000197,4.048685656998714,0.4662688389980758,0.0022413920014514588,5.181664,12690,10,10,
6,0.2128626233892063,,,,6.128908047742243e-09,7.827920001091115e-08,,0.0,6452080,20,6452080,6452080,0,4.073546681996959,4.070039305992395,0.4981642889979412,0.0020802590006496757,5.181664,12690,10,10,
7,0.18303285116083803,,,,6.286660081400441e-09,8.007956608935274e-08,,0.0,6452080,20,6452080,6452080,0,4.04754893000063,4.0442965460024425,0.46724195500064525,0.002014207002503099,5.181664,12690,10,10,
8,0.16954370888754727,,,,5.892908827576093e-09,7.493274978287445e-08,,0.0,6452080,20,6452080,6452080,0,3.941687014001218,3.9384004569947137,0.46559980000165524,0.0020902679971186444,5.181664,12690,10,10,
9,0.15582028482473148,,,,6.244631922669441e-09,7.929248369009656e-08,,0.0,6452080,20,6452080,6452080,0,4.182257339998614,4.179072291008197,0.47176081799989333,0.001953703998879064,5.181664,12690,10,10,
10,0.15762048773813242,0.11104142368804724,0.9503452811575139,0.8699397071490095,6.231145821544715e-09,7.906337629037807e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.168274633997498,4.1648092469986295,0.49113902099998086,0.0022025809994374868,5.181664,12690,10,10,
