split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1236,37,8,240,0.9704142011834319,0.8664259927797834,0.967741935483871,0.9142857142857143,0.029065200314218383,0.9693383675848264,1521,248,0.5,0.9966772673136862,0.9843820509239803,0.02269166320536749,0.07376402845523546
train,fixed,1,1048,18,10,238,0.9786910197869102,0.9296875,0.9596774193548387,0.9444444444444444,0.016885553470919325,0.9713959329419597,1314,248,0.5,0.9972424801791443,0.9883044207888059,0.017863010683716794,0.06264845171185907
train,fixed,2,1016,11,14,234,0.9803921568627451,0.9551020408163265,0.9435483870967742,0.949290060851927,0.010710808179162609,0.9664187894588059,1275,248,0.5,0.9975735779124918,0.9908679962888929,0.015613724489670853,0.05542501869901132
train,fixed,3,831,10,22,226,0.970615243342516,0.9576271186440678,0.9112903225806451,0.9338842975206612,0.011890606420927468,0.9496998580798588,1089,248,0.5,0.9957471903647731,0.9866195123776782,0.023157333900022014,0.0770319475620169
train,fixed,4,890,25,26,222,0.9561478933791917,0.8987854251012146,0.8951612903225806,0.896969696969697,0.0273224043715847,0.933919442975498,1163,248,0.5,0.9936188965274105,0.978494420910352,0.02696554433742096,0.08553069674905253
train,fixed,5,866,22,23,225,0.960387323943662,0.9109311740890689,0.907258064516129,0.9090909090909091,0.024774774774774775,0.9412416448706771,1136,248,0.5,0.994478349317059,0.9805560097420469,0.02669235267171764,0.08447445060614639
train,fixed,6,848,12,27,221,0.9648014440433214,0.9484978540772532,0.8911290322580645,0.918918918918919,0.013953488372093023,0.9385877719429858,1108,248,0.5,0.9925872093023256,0.9790292978702839,0.02734223115334799,0.09416167553473039
train,fixed,7,1092,23,14,234,0.9728539985326485,0.9105058365758755,0.9435483870967742,0.9267326732673268,0.02062780269058296,0.9614602922030957,1363,248,0.5,0.9965861420512079,0.9872083388991261,0.019524691500592897,0.06536973224089572
train,fixed,8,1017,22,26,222,0.9627039627039627,0.9098360655737705,0.8951612903225806,0.9024390243902439,0.021174205967276226,0.9369935421776522,1287,248,0.5,0.994318358222857,0.9781869793835122,0.0250605786273174,0.07833499019626036
train,fixed,9,1175,11,15,233,0.9818688981868898,0.9549180327868853,0.9395161290322581,0.9471544715447154,0.00927487352445194,0.9651206277539031,1434,248,0.5,0.9986366479899907,0.9937674093933049,0.01393296800482222,0.05312910383569065
train,val_f1,0,1219,54,4,244,0.9618671926364234,0.8187919463087249,0.9838709677419355,0.8937728937728938,0.04241948153967007,0.9707257431011327,1521,248,0.43,0.9966772673136862,0.9843820509239803,0.02269166320536749,0.07376402845523546
train,val_f1,1,1043,23,6,242,0.9779299847792998,0.9132075471698113,0.9758064516129032,0.9434697855750487,0.021575984990619138,0.977115233311142,1314,248,0.43,0.9972424801791443,0.9883044207888059,0.017863010683716794,0.06264845171185907
train,val_f1,2,1011,16,11,237,0.9788235294117648,0.9367588932806324,0.9556451612903226,0.9461077844311377,0.01557935735150925,0.9700329019694067,1275,248,0.43,0.9975735779124918,0.9908679962888929,0.015613724489670853,0.05542501869901132
