split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1241,32,7,241,0.9743589743589743,0.8827838827838828,0.9717741935483871,0.9251439539347409,0.02513747054202671,0.9733183615031802,1521,248,0.5,0.9969148316144236,0.9850554207537483,0.020882504350034158,0.06943737262237326
train,fixed,1,1054,12,4,244,0.9878234398782344,0.953125,0.9838709677419355,0.9682539682539683,0.01125703564727955,0.986306966047328,1314,248,0.5,0.9992056527265024,0.9968613088338166,0.014541291904673312,0.054317502611557676
train,fixed,2,1020,7,12,236,0.9850980392156863,0.9711934156378601,0.9516129032258065,0.9613034623217923,0.006815968841285297,0.9723984671922605,1275,248,0.5,0.9987082639695951,0.9952638571884327,0.012043954945026842,0.04612712206052187
train,fixed,3,827,14,18,230,0.970615243342516,0.9426229508196722,0.9274193548387096,0.9349593495934959,0.016646848989298454,0.9553862529247056,1089,248,0.5,0.9967396724329715,0.9893394100014267,0.02026431466736801,0.06829709864730762
train,fixed,4,890,25,15,233,0.9656061908856406,0.9031007751937985,0.9395161290322581,0.9209486166007905,0.0273224043715847,0.9560968623303367,1163,248,0.5,0.9955623127093248,0.9850830251993654,0.023062560899910926,0.07529429841700164
train,fixed,5,870,18,21,227,0.965669014084507,0.926530612244898,0.9153225806451613,0.920892494929006,0.02027027027027027,0.9475261551874454,1136,248,0.5,0.9961448343504795,0.9869608299101249,0.02190736652833528,0.07272425713697506
train,fixed,6,845,15,22,226,0.9666064981949458,0.9377593360995851,0.9112903225806451,0.9243353783231084,0.01744186046511628,0.9469242310577644,1108,248,0.5,0.9932154913728433,0.9802036197497637,0.026161355740661096,0.09011030011772157
train,fixed,7,1104,11,10,238,0.9845928099779897,0.9558232931726908,0.9596774193548387,0.9577464788732394,0.009865470852017937,0.9749059742514103,1363,248,0.5,0.9977650802835238,0.9915243350150477,0.016108065887464877,0.05658372672032315
train,fixed,8,1021,18,18,230,0.972027972027972,0.9274193548387096,0.9274193548387096,0.9274193548387096,0.017324350336862367,0.9550475022509236,1287,248,0.5,0.9966701853519202,0.9863105819452289,0.018788081002068517,0.061944554310861356
train,fixed,9,1177,9,17,231,0.9818688981868898,0.9625,0.9314516129032258,0.9467213114754098,0.007588532883642495,0.9619315400097916,1434,248,0.5,0.9980416689332535,0.9914798275355903,0.014903989731097862,0.054424210697610546
train,val_f1,0,1224,49,3,245,0.9658119658119658,0.8333333333333334,0.9879032258064516,0.9040590405904059,0.0384917517674784,0.9747057370194866,1521,248,0.35000000000000003,0.9969148316144236,0.9850554207537483,0.020882504350034158,0.06943737262237326
train,val_f1,1,1027,39,2,246,0.9687975646879756,0.8631578947368421,0.9919354838709677,0.9230769230769231,0.036585365853658534,0.9776750590086546,1314,248,0.35000000000000003,0.9992056527265024,0.9968613088338166,0.014541291904673312,0.054317502611557676
train,val_f1,2,1012,15,6,242,0.9835294117647059,0.9416342412451362,0.9758064516129032,0.9584158415841584,0.014605647517039922,0.9806004020479316,1275,248,0.35000000000000003,0.9987082639695951,0.9952638571884327,0.012043954945026842,0.04612712206052187
train,val_f1,3,819,22,11,237,0.9696969696969697,0.915057915057915,0.9556451612903226,0.9349112426035503,0.026159334126040427,0.964742913582141,1089,248,0.35000000000000003,0.9967396724329715,0.9893394100014267,0.02026431466736801,0.06829709864730762
train,val_f1,4,877,38,9,239,0.9595872742906277,0.8628158844765343,0.9637096774193549,0.9104761904761904,0.041530054644808745,0.961089811387273,1163,248,0.35000000000000003,0.9955623127093248,0.9850830251993654,0.023062560899910926,0.07529429841700164
train,val_f1,5,863,25,10,238,0.9691901408450704,0.9049429657794676,0.9596774193548387,0.9315068493150684,0.028153153153153154,0.9657621331008428,1136,248,0.35000000000000003,0.9961448343504795,0.9869608299101249,0.02190736652833528,0.07272425713697506
train,val_f1,6,835,25,16,232,0.9629963898916968,0.9027237354085603,0.9354838709677419,0.9188118811881189,0.029069767441860465,0.9532070517629407,1108,248,0.35000000000000003,0.9932154913728433,0.9802036197497637,0.026161355740661096,0.09011030011772157
train,val_f1,7,1075,40,7,241,0.9655172413793104,0.8576512455516014,0.9717741935483871,0.9111531190926276,0.03587443946188341,0.9679498770432519,1363,248,0.35000000000000003,0.9977650802835238,0.9915243350150477,0.016108065887464877,0.05658372672032315
train,val_f1,8,1012,27,9,239,0.972027972027972,0.8984962406015038,0.9637096774193549,0.9299610894941635,0.02598652550529355,0.9688615759570307,1287,248,0.35000000000000003,0.9966701853519202,0.9863105819452289,0.018788081002068517,0.061944554310861356
train,val_f1,9,1164,22,11,237,0.9769874476987448,0.915057915057915,0.9556451612903226,0.9349112426035503,0.01854974704890388,0.9685477071207094,1434,248,0.35000000000000003,0.9980416689332535,0.9914798275355903,0.014903989731097862,0.054424210697610546
train,val_fpr02,0,1207,66,2,246,0.9552925706771861,0.7884615384615384,0.9919354838709677,0.8785714285714286,0.051846032992930086,0.9700447254390188,1521,248,0.31,0.9969148316144236,0.9850554207537483,0.020882504350034158,0.06943737262237326
train,val_fpr02,1,1022,44,1,247,0.9657534246575342,0.8487972508591065,0.9959677419354839,0.9165120593692022,0.04127579737335835,0.9773459722810627,1314,248,0.31,0.9992056527265024,0.9968613088338166,0.014541291904673312,0.054317502611557676
train,val_fpr02,2,1007,20,6,242,0.9796078431372549,0.9236641221374046,0.9758064516129032,0.9490196078431372,0.019474196689386564,0.9781661274617584,1275,248,0.31,0.9987082639695951,0.9952638571884327,0.012043954945026842,0.04612712206052187
train,val_fpr02,3,816,25,10,238,0.967860422405877,0.9049429657794676,0.9596774193548387,0.9315068493150684,0.029726516052318668,0.9649754516512601,1089,248,0.31,0.9967396724329715,0.9893394100014267,0.02026431466736801,0.06829709864730762
train,val_fpr02,4,874,41,8,240,0.9578675838349097,0.8540925266903915,0.967741935483871,0.9073724007561437,0.04480874316939891,0.9614665961572361,1163,248,0.31,0.9955623127093248,0.9850830251993654,0.023062560899910926,0.07529429841700164
train,val_fpr02,5,862,26,9,239,0.9691901408450704,0.9018867924528302,0.9637096774193549,0.9317738791423001,0.02927927927927928,0.9672151990700377,1136,248,0.31,0.9961448343504795,0.9869608299101249,0.02190736652833528,0.07272425713697506
train,val_fpr02,6,829,31,13,235,0.9602888086642599,0.8834586466165414,0.9475806451612904,0.914396887159533,0.03604651162790698,0.9557670667666918,1108,248,0.31,0.9932154913728433,0.9802036197497637,0.026161355740661096,0.09011030011772157
train,val_fpr02,7,1066,49,6,242,0.9596478356566398,0.8316151202749141,0.9758064516129032,0.8979591836734694,0.04394618834080718,0.965930131636048,1363,248,0.31,0.9977650802835238,0.9915243350150477,0.016108065887464877,0.05658372672032315
train,val_fpr02,8,1010,29,7,241,0.972027972027972,0.8925925925925926,0.9717741935483871,0.9305019305019305,0.02791145332050048,0.9719313701139434,1287,248,0.31,0.9966701853519202,0.9863105819452289,0.018788081002068517,0.061944554310861356
train,val_fpr02,9,1159,27,9,239,0.9748953974895398,0.8984962406015038,0.9637096774193549,0.9299610894941635,0.022765598650927487,0.9704720393842137,1434,248,0.31,0.9980416689332535,0.9914798275355903,0.014903989731097862,0.054424210697610546
validation,fixed,0,195,2,2,60,0.9845559845559846,0.967741935483871,0.967741935483871,0.967741935483871,0.01015228426395939,0.9787948256099558,259,62,0.5,0.9992631406582609,0.9977104261719897,0.013450988887837608,0.05418401995392473
validation,fixed,1,268,6,2,60,0.9761904761904762,0.9090909090909091,0.967741935483871,0.9375,0.021897810218978103,0.9729220626324464,336,62,0.5,0.9986461031316224,0.9944344654826958,0.015373826890998456,0.054687500054408436
validation,fixed,2,271,7,1,61,0.9764705882352941,0.8970588235294118,0.9838709677419355,0.9384615384615385,0.025179856115107913,0.9793455558134139,340,62,0.5,0.9990717103736366,0.9961512812614944,0.01527740518291051,0.05256590840101359
validation,fixed,3,295,6,5,57,0.9696969696969697,0.9047619047619048,0.9193548387096774,0.912,0.019933554817275746,0.9497106419462008,363,62,0.5,0.9968920801628979,0.9862362965302106,0.019355594127361923,0.05890616490097846
validation,fixed,4,169,0,9,53,0.961038961038961,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,231,62,0.5,0.9991410574537125,0.9977758821242807,0.027077517036728067,0.08539184174229315
validation,fixed,5,207,0,11,51,0.9591078066914498,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,269,62,0.5,1.0,1.0,0.026939967984652074,0.08025919790321115
validation,fixed,6,245,0,5,57,0.9837133550488599,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,307,62,0.5,1.0,1.0,0.009064216732002185,0.036029675827873364
validation,fixed,7,217,0,9,53,0.967741935483871,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,279,62,0.5,0.9998513453248105,0.9994838379333696,0.021856544293543445,0.07083232831682344
validation,fixed,8,252,1,3,59,0.9873015873015873,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.003952569169960474,0.973830167027923,315,62,0.5,0.9996174933061328,0.9984791399915671,0.011904814813449216,0.05033609521837337
validation,fixed,9,276,4,6,56,0.9707602339181286,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.014285714285714285,0.9444700460829494,342,62,0.5,0.996831797235023,0.9868691200318683,0.01936408274743496,0.061017389674041245
validation,val_f1,0,192,5,0,62,0.9806949806949807,0.9253731343283582,1.0,0.9612403100775194,0.025380710659898477,0.9873096446700508,259,62,0.35000000000000003,0.9992631406582609,0.9977104261719897,0.013450988887837608,0.05418401995392473
validation,val_f1,1,265,9,0,62,0.9732142857142857,0.8732394366197183,1.0,0.9323308270676691,0.032846715328467155,0.9835766423357664,336,62,0.35000000000000003,0.9986461031316224,0.9944344654826958,0.015373826890998456,0.054687500054408436
validation,val_f1,2,268,10,0,62,0.9705882352941176,0.8611111111111112,1.0,0.9253731343283582,0.03597122302158273,0.9820143884892086,340,62,0.35000000000000003,0.9990717103736366,0.9961512812614944,0.01527740518291051,0.05256590840101359
validation,val_f1,3,293,8,4,58,0.9669421487603306,0.8787878787878788,0.9354838709677419,0.90625,0.026578073089700997,0.9544528989390204,363,62,0.35000000000000003,0.9968920801628979,0.9862362965302106,0.019355594127361923,0.05890616490097846
validation,val_f1,4,169,0,7,55,0.9696969696969697,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,231,62,0.35000000000000003,0.9991410574537125,0.9977758821242807,0.027077517036728067,0.08539184174229315
validation,val_f1,5,207,0,8,54,0.9702602230483272,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,269,62,0.35000000000000003,1.0,1.0,0.026939967984652074,0.08025919790321115
validation,val_f1,6,245,0,1,61,0.996742671009772,1.0,0.9838709677419355,0.991869918699187,0.0,0.9919354838709677,307,62,0.35000000000000003,1.0,1.0,0.009064216732002185,0.036029675827873364
validation,val_f1,7,217,0,6,56,0.978494623655914,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,279,62,0.35000000000000003,0.9998513453248105,0.9994838379333696,0.021856544293543445,0.07083232831682344
validation,val_f1,8,250,3,1,61,0.9873015873015873,0.953125,0.9838709677419355,0.9682539682539683,0.011857707509881422,0.9860066301160271,315,62,0.35000000000000003,0.9996174933061328,0.9984791399915671,0.011904814813449216,0.05033609521837337
validation,val_f1,9,275,5,5,57,0.9707602339181286,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.017857142857142856,0.9507488479262672,342,62,0.35000000000000003,0.996831797235023,0.9868691200318683,0.01936408274743496,0.061017389674041245
validation,val_fpr02,0,190,7,0,62,0.972972972972973,0.8985507246376812,1.0,0.9465648854961832,0.03553299492385787,0.9822335025380711,259,62,0.31,0.9992631406582609,0.9977104261719897,0.013450988887837608,0.05418401995392473
validation,val_fpr02,1,263,11,0,62,0.9672619047619048,0.8493150684931506,1.0,0.9185185185185185,0.040145985401459854,0.9799270072992701,336,62,0.31,0.9986461031316224,0.9944344654826958,0.015373826890998456,0.054687500054408436
validation,val_fpr02,2,267,11,0,62,0.9676470588235294,0.8493150684931506,1.0,0.9185185185185185,0.039568345323741004,0.9802158273381295,340,62,0.31,0.9990717103736366,0.9961512812614944,0.01527740518291051,0.05256590840101359
validation,val_fpr02,3,293,8,3,59,0.9696969696969697,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.026578073089700997,0.9625174150680528,363,62,0.31,0.9968920801628979,0.9862362965302106,0.019355594127361923,0.05890616490097846
validation,val_fpr02,4,169,0,7,55,0.9696969696969697,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,231,62,0.31,0.9991410574537125,0.9977758821242807,0.027077517036728067,0.08539184174229315
validation,val_fpr02,5,207,0,8,54,0.9702602230483272,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,269,62,0.31,1.0,1.0,0.026939967984652074,0.08025919790321115
validation,val_fpr02,6,245,0,1,61,0.996742671009772,1.0,0.9838709677419355,0.991869918699187,0.0,0.9919354838709677,307,62,0.31,1.0,1.0,0.009064216732002185,0.036029675827873364
validation,val_fpr02,7,217,0,5,57,0.982078853046595,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,279,62,0.31,0.9998513453248105,0.9994838379333696,0.021856544293543445,0.07083232831682344
validation,val_fpr02,8,249,4,0,62,0.9873015873015873,0.9393939393939394,1.0,0.96875,0.015810276679841896,0.9920948616600791,315,62,0.31,0.9996174933061328,0.9984791399915671,0.011904814813449216,0.05033609521837337
validation,val_fpr02,9,274,6,4,58,0.9707602339181286,0.90625,0.9354838709677419,0.9206349206349206,0.02142857142857143,0.9570276497695852,342,62,0.31,0.996831797235023,0.9868691200318683,0.01936408274743496,0.061017389674041245
test_all,fixed,0,993,0,9,18,0.9911764705882353,1.0,0.6666666666666666,0.8,0.0,0.8333333333333333,1020,27,0.5,0.9978367088135466,0.9491703026540177,0.007076867439119858,0.024846792765177924
test_all,fixed,1,867,0,11,22,0.9877777777777778,1.0,0.6666666666666666,0.8,0.0,0.8333333333333333,900,33,0.5,0.9999300968159099,0.9982683982683982,0.007939863106821243,0.0240290753309551
test_all,fixed,2,987,10,5,52,0.9857685009487666,0.8387096774193549,0.9122807017543859,0.8739495798319328,0.010030090270812437,0.9511253057417868,1054,57,0.5,0.997870805398652,0.9702448617736589,0.009910669993684954,0.03575425727826955
test_all,fixed,3,625,0,15,28,0.9775449101796407,1.0,0.6511627906976745,0.7887323943661971,0.0,0.8255813953488372,668,43,0.5,1.0,1.0000000000000002,0.01685604224082883,0.05109967206117738
test_all,fixed,4,861,0,22,12,0.9754189944134078,1.0,0.35294117647058826,0.5217391304347826,0.0,0.6764705882352942,895,34,0.5,0.9782059165129466,0.7604540986064795,0.021452461988328612,0.08653787193792734
test_all,fixed,5,865,3,0,36,0.9966814159292036,0.9230769230769231,1.0,0.96,0.0034562211981566822,0.9982718894009217,904,36,0.5,1.0,1.0,0.004314533262263677,0.018747056506653443
test_all,fixed,6,266,0,0,0,1.0,0.0,0.0,0.0,0.0,0.5,266,0,0.5,,,4.331240342383828e-07,0.0004809244768174752
test_all,fixed,7,896,15,4,27,0.9798301486199575,0.6428571428571429,0.8709677419354839,0.7397260273972602,0.01646542261251372,0.9272511596614851,942,31,0.5,0.9963174108565561,0.932018995284642,0.011131308568211786,0.035307140298587246
