epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,6.169941446643179e-09,7.963294734736337e-08,,0.0,6452080,20,6452080,6452080,0,3.9927990740002315,3.9894725479989575,0.4964714859997912,0.00206269299997075,5.181664,12690,10,10,
2,0.3836645294618477,,,,6.0944516100391866e-09,7.841114069151445e-08,,0.0,6452080,20,6452080,6452080,0,3.8212231529996643,3.8181187580012192,0.4439269630001945,0.001979423000193492,5.181664,12690,10,10,
3,0.29441353756919064,,,,6.150374876057185e-09,7.90641081493959e-08,,0.0,6452080,20,6452080,6452080,0,3.922215937999681,3.9193325140013258,0.45242333300029713,0.001807757000278798,5.181664,12690,10,10,
4,0.26117111400848925,,,,6.1811054052896e-09,7.933006429539091e-08,,0.0,6452080,20,6452080,6452080,0,3.9797015160002047,3.976689867998175,0.4536105770002905,0.0018735049998213071,5.181664,12690,10,10,
5,0.22376939393360978,0.18246056768295982,0.9256823413350871,0.7883895131086143,6.07773564809122e-09,7.784066013982738e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8286911790000886,3.825310525999157,0.43566319000001386,0.0020252579997759312,5.181664,12690,10,10,
6,0.21213666991537417,,,,6.135348229463489e-09,7.843732419132721e-08,,0.0,6452080,20,6452080,6452080,0,3.818299458000183,3.815032475001317,0.43975541799954954,0.0021073739999337704,5.181664,12690,10,10,
7,0.18560565997711587,,,,6.171486877093457e-09,7.869375195923567e-08,,0.0,6452080,20,6452080,6452080,0,3.858191853999415,3.85510129999966,0.45065704899934644,0.0019287969998913468,5.181664,12690,10,10,
8,0.1770814285665005,,,,6.244188277548801e-09,7.95040691059512e-08,,0.0,6452080,20,6452080,6452080,0,3.8901459099997737,3.8869975109992083,0.4606968309999502,0.0020359310001367703,5.181664,12690,10,10,
9,0.15041516696795448,,,,6.178600742146045e-09,7.852435857103046e-08,,0.0,6452080,20,6452080,6452080,0,3.9409862190004787,3.9378155989988954,0.4504485739998927,0.0019838940006593475,5.181664,12690,10,10,
10,0.1576382636106809,0.12432438891811952,0.9463992107859257,0.8543342269883825,6.125715046323421e-09,7.779605937230372e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.933904376999635,3.9306169649989897,0.4437771899993095,0.0020937870003763237,5.181664,12690,10,10,
