split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1238,35,4,244,0.9743589743589743,0.8745519713261649,0.9838709677419355,0.9259962049335864,0.02749410840534171,0.9781884296682969,1521,248,0.5,0.9971428933431316,0.9863124443388985,0.020977277209487707,0.06873816400463384
train,fixed,1,1051,15,4,244,0.9855403348554034,0.9420849420849421,0.9838709677419355,0.9625246548323472,0.014071294559099437,0.9848998365914181,1314,248,0.5,0.9992245657568238,0.9970936133492196,0.012738639451078624,0.04800323615889356
train,fixed,2,1022,5,17,231,0.9827450980392157,0.9788135593220338,0.9314516129032258,0.9545454545454546,0.004868549172346641,0.9632915318654396,1275,248,0.5,0.9982528190470208,0.9937308034560083,0.013029601030635022,0.04749350035060485
train,fixed,3,831,10,18,230,0.9742883379247016,0.9583333333333334,0.9274193548387096,0.9426229508196722,0.011890606420927468,0.957764374208891,1089,248,0.5,0.9974540677380999,0.9917041025570026,0.01801358628451645,0.06048488628424048
train,fixed,4,893,22,17,231,0.9664660361134996,0.9130434782608695,0.9314516129032258,0.9221556886227545,0.024043715846994537,0.9537039485281156,1163,248,0.5,0.9956812973735236,0.9857053885532642,0.022310014260943204,0.07235062127078784
train,fixed,5,870,18,22,226,0.9647887323943662,0.9262295081967213,0.9112903225806451,0.9186991869918699,0.02027027027027027,0.9455100261551874,1136,248,0.5,0.9958042720139495,0.986024773812701,0.022276412800082745,0.07196943410399635
train,fixed,6,843,17,23,225,0.9638989169675091,0.9297520661157025,0.907258064516129,0.9183673469387755,0.019767441860465116,0.943745311327832,1108,248,0.5,0.9933749062265566,0.9814118519689329,0.025156904407450036,0.08858077130806485
train,fixed,7,1095,20,12,236,0.9765223771093177,0.921875,0.9516129032258065,0.9365079365079365,0.017937219730941704,0.9668378417474324,1363,248,0.5,0.9969767105453493,0.9886250304811987,0.017392021648243588,0.058348890321863224
train,fixed,8,1023,16,17,231,0.9743589743589743,0.9352226720647774,0.9314516129032258,0.9333333333333333,0.015399422521655439,0.9580260951907851,1287,248,0.5,0.9966313763233879,0.986474041165662,0.018636297152949108,0.06056148342265482
train,fixed,9,1179,7,16,232,0.9839609483960948,0.9707112970711297,0.9354838709677419,0.9527720739219713,0.005902192242833052,0.9647908393624545,1434,248,0.5,0.9985822499048033,0.9937674567831344,0.012665629694528658,0.04682595965390531
train,val_f1,0,1214,59,3,245,0.9592373438527285,0.805921052631579,0.9879032258064516,0.8876811594202898,0.046347211311861744,0.9707780072472949,1521,248,0.36000000000000004,0.9971428933431316,0.9863124443388985,0.020977277209487707,0.06873816400463384
train,val_f1,1,1036,30,3,245,0.9748858447488584,0.8909090909090909,0.9879032258064516,0.9369024856596558,0.028142589118198873,0.9798803183441264,1314,248,0.36000000000000004,0.9992245657568238,0.9970936133492196,0.012738639451078624,0.04800323615889356
train,val_f1,2,1016,11,9,239,0.984313725490196,0.956,0.9637096774193549,0.9598393574297188,0.010710808179162609,0.9764994346200961,1275,248,0.36000000000000004,0.9982528190470208,0.9937308034560083,0.013029601030635022,0.04749350035060485
train,val_f1,3,824,17,12,236,0.9733700642791552,0.932806324110672,0.9516129032258065,0.9421157684630739,0.020214030915576695,0.9656994361551149,1089,248,0.36000000000000004,0.9974540677380999,0.9917041025570026,0.01801358628451645,0.06048488628424048
train,val_f1,4,884,31,12,236,0.9630266552020637,0.8838951310861424,0.9516129032258065,0.916504854368932,0.033879781420765025,0.9588665609025208,1163,248,0.36000000000000004,0.9956812973735236,0.9857053885532642,0.022310014260943204,0.07235062127078784
train,val_f1,5,865,23,15,233,0.9665492957746479,0.91015625,0.9395161290322581,0.9246031746031746,0.0259009009009009,0.9568076140656786,1136,248,0.36000000000000004,0.9958042720139495,0.986024773812701,0.022276412800082745,0.07196943410399635
train,val_f1,6,828,32,14,234,0.9584837545126353,0.8796992481203008,0.9435483870967742,0.9105058365758755,0.037209302325581395,0.9531695423855964,1108,248,0.36000000000000004,0.9933749062265566,0.9814118519689329,0.025156904407450036,0.08858077130806485
train,val_f1,7,1077,38,10,238,0.9647835656639765,0.8623188405797102,0.9596774193548387,0.9083969465648855,0.034080717488789235,0.9627983509330247,1363,248,0.36000000000000004,0.9969767105453493,0.9886250304811987,0.017392021648243588,0.058348890321863224
train,val_f1,8,1015,24,10,238,0.9735819735819736,0.9083969465648855,0.9596774193548387,0.9333333333333333,0.023099133782483156,0.9682891427861777,1287,248,0.36000000000000004,0.9966313763233879,0.986474041165662,0.018636297152949108,0.06056148342265482
train,val_f1,9,1169,17,11,237,0.9804741980474198,0.9330708661417323,0.9556451612903226,0.9442231075697212,0.01433389544688027,0.9706556329217212,1434,248,0.36000000000000004,0.9985822499048033,0.9937674567831344,0.012665629694528658,0.04682595965390531
train,val_fpr02,0,1208,65,3,245,0.9552925706771861,0.7903225806451613,0.9879032258064516,0.8781362007168458,0.05106048703849175,0.9684213693839799,1521,248,0.31,0.9971428933431316,0.9863124443388985,0.020977277209487707,0.06873816400463384
train,val_fpr02,1,1028,38,2,246,0.969558599695586,0.8661971830985915,0.9919354838709677,0.924812030075188,0.03564727954971857,0.9781441021606245,1314,248,0.31,0.9992245657568238,0.9970936133492196,0.012738639451078624,0.04800323615889356
train,val_fpr02,2,1012,15,9,239,0.9811764705882353,0.9409448818897638,0.9637096774193549,0.952191235059761,0.014605647517039922,0.9745520149511575,1275,248,0.31,0.9982528190470208,0.9937308034560083,0.013029601030635022,0.04749350035060485
train,val_fpr02,3,820,21,10,238,0.9715335169880625,0.918918918918919,0.9596774193548387,0.9388560157790927,0.02497027348394768,0.9673535729354455,1089,248,0.31,0.9974540677380999,0.9917041025570026,0.01801358628451645,0.06048488628424048
train,val_fpr02,4,881,34,11,237,0.9613069647463457,0.8745387453874539,0.9556451612903226,0.9132947976878613,0.03715846994535519,0.9592433456724837,1163,248,0.31,0.9956812973735236,0.9857053885532642,0.022310014260943204,0.07235062127078784
train,val_fpr02,5,863,25,12,236,0.9674295774647887,0.9042145593869731,0.9516129032258065,0.9273084479371316,0.028153153153153154,0.9617298750363267,1136,248,0.31,0.9958042720139495,0.986024773812701,0.022276412800082745,0.07196943410399635
train,val_fpr02,6,824,36,11,237,0.9575812274368231,0.8681318681318682,0.9556451612903226,0.9097888675623801,0.04186046511627907,0.9568923480870217,1108,248,0.31,0.9933749062265566,0.9814118519689329,0.025156904407450036,0.08858077130806485
train,val_fpr02,7,1071,44,9,239,0.9611151870873074,0.8445229681978799,0.9637096774193549,0.9001883239171374,0.039461883408071746,0.9621238970056416,1363,248,0.31,0.9969767105453493,0.9886250304811987,0.017392021648243588,0.058348890321863224
train,val_fpr02,8,1011,28,8,240,0.972027972027972,0.8955223880597015,0.967741935483871,0.9302325581395349,0.026948989412897015,0.970396473035487,1287,248,0.31,0.9966313763233879,0.986474041165662,0.018636297152949108,0.06056148342265482
train,val_fpr02,9,1163,23,8,240,0.9783821478382148,0.9125475285171103,0.967741935483871,0.9393346379647749,0.0193929173693086,0.9741745090572812,1434,248,0.31,0.9985822499048033,0.9937674567831344,0.012665629694528658,0.04682595965390531
validation,fixed,0,194,3,1,61,0.9845559845559846,0.953125,0.9838709677419355,0.9682539682539683,0.015228426395939087,0.9843212706729982,259,62,0.5,0.9993450139184542,0.9979544417889892,0.012666088234336586,0.05039590604297112
validation,fixed,1,270,4,3,59,0.9791666666666666,0.9365079365079365,0.9516129032258065,0.944,0.014598540145985401,0.9685071815399106,336,62,0.5,0.9982340475629857,0.9928872866939725,0.014581742087234987,0.050778410706258506
validation,fixed,2,272,6,2,60,0.9764705882352941,0.9090909090909091,0.967741935483871,0.9375,0.02158273381294964,0.9730796008354607,340,62,0.5,0.998781619865398,0.9948764414696831,0.013511530642796534,0.045857615266311706
validation,fixed,3,296,5,5,57,0.9724517906336089,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.016611295681063124,0.9513717715143071,363,62,0.5,0.9970528346372307,0.9869697182355186,0.018454340130861027,0.05617493659678229
validation,fixed,4,169,0,10,52,0.9567099567099567,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,231,62,0.5,0.9985684290895209,0.9963180873522429,0.03209555176872586,0.10408468019810048
validation,fixed,5,207,0,12,50,0.9553903345724907,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,269,62,0.5,1.0,1.0,0.026342502216619143,0.07844786335520731
validation,fixed,6,245,0,6,56,0.9804560260586319,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,307,62,0.5,0.9998683344305465,0.9994959677419355,0.01101290734555038,0.04038358407803442
validation,fixed,7,217,0,9,53,0.967741935483871,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,279,62,0.5,0.9991080719488628,0.9971418249819372,0.019401071683295436,0.06458753256003
validation,fixed,8,252,1,2,60,0.9904761904761905,0.9836065573770492,0.967741935483871,0.975609756097561,0.003952569169960474,0.9818946831569553,315,62,0.5,0.9998087466530665,0.9992358220603538,0.009579507894951513,0.04176524841106021
validation,fixed,9,276,4,8,54,0.9649122807017544,0.9310344827586207,0.8709677419354839,0.9,0.014285714285714285,0.9283410138248849,342,62,0.5,0.9949884792626729,0.9801760290336659,0.0245095379460148,0.08236599323650397
validation,val_f1,0,192,5,0,62,0.9806949806949807,0.9253731343283582,1.0,0.9612403100775194,0.025380710659898477,0.9873096446700508,259,62,0.36000000000000004,0.9993450139184542,0.9979544417889892,0.012666088234336586,0.05039590604297112
validation,val_f1,1,267,7,2,60,0.9732142857142857,0.8955223880597015,0.967741935483871,0.9302325581395349,0.025547445255474453,0.9710972451141983,336,62,0.36000000000000004,0.9982340475629857,0.9928872866939725,0.014581742087234987,0.050778410706258506
validation,val_f1,2,270,8,0,62,0.9764705882352941,0.8857142857142857,1.0,0.9393939393939394,0.02877697841726619,0.9856115107913669,340,62,0.36000000000000004,0.998781619865398,0.9948764414696831,0.013511530642796534,0.045857615266311706
validation,val_f1,3,294,7,4,58,0.9696969696969697,0.8923076923076924,0.9354838709677419,0.9133858267716536,0.023255813953488372,0.9561140285071268,363,62,0.36000000000000004,0.9970528346372307,0.9869697182355186,0.018454340130861027,0.05617493659678229
validation,val_f1,4,169,0,8,54,0.9653679653679653,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,231,62,0.36000000000000004,0.9985684290895209,0.9963180873522429,0.03209555176872586,0.10408468019810048
validation,val_f1,5,207,0,8,54,0.9702602230483272,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,269,62,0.36000000000000004,1.0,1.0,0.026342502216619143,0.07844786335520731
validation,val_f1,6,245,0,2,60,0.993485342019544,1.0,0.967741935483871,0.9836065573770492,0.0,0.9838709677419355,307,62,0.36000000000000004,0.9998683344305465,0.9994959677419355,0.01101290734555038,0.04038358407803442
validation,val_f1,7,217,0,4,58,0.985663082437276,1.0,0.9354838709677419,0.9666666666666667,0.0,0.967741935483871,279,62,0.36000000000000004,0.9991080719488628,0.9971418249819372,0.019401071683295436,0.06458753256003
validation,val_f1,8,250,3,0,62,0.9904761904761905,0.9538461538461539,1.0,0.9763779527559056,0.011857707509881422,0.9940711462450593,315,62,0.36000000000000004,0.9998087466530665,0.9992358220603538,0.009579507894951513,0.04176524841106021
validation,val_f1,9,275,5,7,55,0.9649122807017544,0.9166666666666666,0.8870967741935484,0.9016393442622951,0.017857142857142856,0.9346198156682027,342,62,0.36000000000000004,0.9949884792626729,0.9801760290336659,0.0245095379460148,0.08236599323650397
validation,val_fpr02,0,190,7,0,62,0.972972972972973,0.8985507246376812,1.0,0.9465648854961832,0.03553299492385787,0.9822335025380711,259,62,0.31,0.9993450139184542,0.9979544417889892,0.012666088234336586,0.05039590604297112
validation,val_fpr02,1,263,11,1,61,0.9642857142857143,0.8472222222222222,0.9838709677419355,0.9104477611940298,0.040145985401459854,0.9718624911702378,336,62,0.31,0.9982340475629857,0.9928872866939725,0.014581742087234987,0.050778410706258506
validation,val_fpr02,2,270,8,0,62,0.9764705882352941,0.8857142857142857,1.0,0.9393939393939394,0.02877697841726619,0.9856115107913669,340,62,0.31,0.998781619865398,0.9948764414696831,0.013511530642796534,0.045857615266311706
validation,val_fpr02,3,294,7,4,58,0.9696969696969697,0.8923076923076924,0.9354838709677419,0.9133858267716536,0.023255813953488372,0.9561140285071268,363,62,0.31,0.9970528346372307,0.9869697182355186,0.018454340130861027,0.05617493659678229
validation,val_fpr02,4,169,0,8,54,0.9653679653679653,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,231,62,0.31,0.9985684290895209,0.9963180873522429,0.03209555176872586,0.10408468019810048
validation,val_fpr02,5,207,0,7,55,0.9739776951672863,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,269,62,0.31,1.0,1.0,0.026342502216619143,0.07844786335520731
validation,val_fpr02,6,245,0,2,60,0.993485342019544,1.0,0.967741935483871,0.9836065573770492,0.0,0.9838709677419355,307,62,0.31,0.9998683344305465,0.9994959677419355,0.01101290734555038,0.04038358407803442
validation,val_fpr02,7,217,0,2,60,0.992831541218638,1.0,0.967741935483871,0.9836065573770492,0.0,0.9838709677419355,279,62,0.31,0.9991080719488628,0.9971418249819372,0.019401071683295436,0.06458753256003
validation,val_fpr02,8,248,5,0,62,0.9841269841269841,0.9253731343283582,1.0,0.9612403100775194,0.019762845849802372,0.9901185770750989,315,62,0.31,0.9998087466530665,0.9992358220603538,0.009579507894951513,0.04176524841106021
validation,val_fpr02,9,275,5,6,56,0.9678362573099415,0.9180327868852459,0.9032258064516129,0.9105691056910569,0.017857142857142856,0.942684331797235,342,62,0.31,0.9949884792626729,0.9801760290336659,0.0245095379460148,0.08236599323650397
test_all,fixed,0,992,1,8,19,0.9911764705882353,0.95,0.7037037037037037,0.8085106382978723,0.0010070493454179255,0.8513483271791429,1020,27,0.5,0.996456678229085,0.9327918213632727,0.006914825126567149,0.025429686477275257
test_all,fixed,1,867,0,11,22,0.9877777777777778,1.0,0.6666666666666666,0.8,0.0,0.8333333333333333,900,33,0.5,0.999965048407955,0.999108734402852,0.007910130993173198,0.02350334450911884
test_all,fixed,2,986,11,6,51,0.9838709677419355,0.8225806451612904,0.8947368421052632,0.8571428571428571,0.011033099297893681,0.9418518714036848,1054,57,0.5,0.996832603072375,0.9533679728037666,0.010756660885528267,0.035873221722261234
