epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5616230378200732,,,,7.372694454943485e-09,9.52478558247094e-08,,0.0,12904160,40,12904160,12904160,0,3.872072799000307,3.865802834989154,0.2622604099997261,0.003889587002049666,10.343328,12690,20,20,
2,0.46996333193064654,,,,7.548063507556435e-09,9.743072837409272e-08,,0.0,12904160,40,12904160,12904160,0,3.8411085670013563,3.834142180010531,0.24033595500077354,0.004250639001838863,10.343328,12690,20,20,
3,0.3793225295290778,,,,7.127535894824177e-09,9.179490945143698e-08,,0.0,12904160,40,12904160,12904160,0,3.9413241149995883,3.9351952969991544,0.2547643860016251,0.00374552900029812,10.343328,12690,20,20,
4,0.29736981192888906,,,,7.582540817452355e-09,9.752140073260307e-08,,0.0,12904160,40,12904160,12904160,0,3.8851053930011403,3.878970746998675,0.24989101200117148,0.0037874430017836858,10.343328,12690,20,20,
5,0.3061974365901575,0.201509395092863,0.9227227885563959,0.7896150402864817,7.3823063218014795e-09,9.491834873642802e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.688550277998729,3.6825445579961524,0.23240992299906793,0.0036289460003899876,10.343328,12690,20,20,
6,0.2813815054640596,,,,7.56667972723335e-09,9.724933391908053e-08,,0.0,12904160,40,12904160,12904160,0,3.8340148739989672,3.8279112549971614,0.2462017449979612,0.0037309170002117753,10.343328,12690,20,20,
7,0.25770661599260003,,,,7.643149224634271e-09,9.816665880180153e-08,,0.0,12904160,40,12904160,12904160,0,3.7610352330011665,3.750881389994902,0.23966323800050304,0.007760352000332205,10.343328,12690,20,20,
8,0.24845859623611793,,,,7.633168763732101e-09,9.795335387252635e-08,,0.0,12904160,40,12904160,12904160,0,3.77051250400109,3.7643760060054774,0.24172192099649692,0.003693328999361256,10.343328,12690,20,20,
9,0.23883442015652082,,,,7.286556691354917e-09,9.342424789338111e-08,,0.0,12904160,40,12904160,12904160,0,3.6197377940006845,3.6139769029978197,0.22886555200238945,0.003461583000898827,10.343328,12690,20,20,
10,0.22663975447068255,0.16132444522967596,0.9378493916474844,0.8394222599830077,7.410468239044121e-09,9.492320884874061e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.660203495001042,3.6544340910004394,0.21836685599919292,0.003376244003447937,10.343328,12690,20,20,
11,0.2165354800987092,,,,7.730148965379158e-09,9.892227836871825e-08,,0.0,12904160,40,12904160,12904160,0,3.8101797470008023,3.8039800580008887,0.25530120500116027,0.0037949550023768097,10.343328,12690,20,20,
12,0.20815711622959832,,,,7.596050899394413e-09,9.710578297017491e-08,,0.0,12904160,40,12904160,12904160,0,3.670011631002126,3.6638285089975398,0.22276582600170514,0.003865477003273554,10.343328,12690,20,20,
13,0.19448527580376035,,,,7.608947250048459e-09,9.717015814203478e-08,,0.0,12904160,40,12904160,12904160,0,3.735720044998743,3.729515725004603,0.3059760760006611,0.0035940679990744684,10.343328,12690,20,20,
14,0.19438669888739699,,,,7.50323536635733e-09,9.572539738655905e-08,,0.0,12904160,40,12904160,12904160,0,3.667211750998831,3.6610905910092697,0.23657325500244042,0.003764263998164097,10.343328,12690,20,20,
15,0.18704102744099085,0.12451148575103851,0.9533048339362052,0.8826446280991735,7.374520549774388e-09,9.398307554420171e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.791060601000936,3.785106278010062,0.23618045699913637,0.0036495390013442375,10.343328,12690,20,20,
16,0.17722539235005152,,,,7.458045736541408e-09,9.495153818761537e-08,,0.0,12904160,40,12904160,12904160,0,3.681618801001605,3.67562437900051,0.2414143209971371,0.0036390560017025564,10.343328,12690,20,20,
17,0.17566483539381034,,,,7.627232179174825e-09,9.701772540893217e-08,,0.0,12904160,40,12904160,12904160,0,3.835042243998032,3.828890274009609,0.23783768599969335,0.003738068997336086,10.343328,12690,20,20,
18,0.16714582936562836,,,,7.484049824313388e-09,9.51016900785362e-08,,0.0,12904160,40,12904160,12904160,0,3.8662556599992968,3.8601353499980178,0.23217569799817284,0.003651842998806387,10.343328,12690,20,20,
19,0.1675657971619598,,,,7.630716503115309e-09,9.688717739209096e-08,,0.0,12904160,40,12904160,12904160,0,3.9046026809992327,3.8983729510036937,0.2501896569992823,0.003737256000022171,10.343328,12690,20,20,
20,0.1680473993618971,0.10637814319591331,0.9579085827030582,0.8929765886287625,7.688720771170665e-09,9.756939789440366e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.913516766999237,3.9072759059927193,0.27391539399832254,0.0038588749994232785,10.343328,12690,20,20,
21,0.15956010996059372,,,,7.443955230002075e-09,9.437444958848573e-08,,0.0,12904160,40,12904160,12904160,0,3.749118866999197,3.7430038059937942,0.256286956002441,0.0037658330002159346,10.343328,12690,20,20,
22,0.16608229407372788,,,,7.2816779272955046e-09,9.227318997773182e-08,,0.0,12904160,40,12904160,12904160,0,4.117635897000582,4.111263572991447,0.2486727349969442,0.0038034669996704906,10.343328,12690,20,20,
23,0.15959630534985172,,,,7.737451568345932e-09,9.795724764671832e-08,,0.0,12904160,40,12904160,12904160,0,3.970197171998734,3.962378730007913,0.27327724600036163,0.0047451210011786316,10.343328,12690,20,20,
24,0.155345912306712,,,,7.419852732226673e-09,9.388762833850706e-08,,0.0,12904160,40,12904160,12904160,0,3.7464143659999536,3.740188452997245,0.2596744160000526,0.003755020999960834,10.343328,12690,20,20,
25,0.1434145702011695,0.09655980563478897,0.963170009865176,0.9069767441860465,7.477510166609136e-09,9.453327010078283e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.6895842699996138,3.6833736389889964,0.22758836199864163,0.003872498000419,10.343328,12690,20,20,
26,0.158982692465702,,,,7.331145024380703e-09,9.266211264957747e-08,,0.0,12904160,40,12904160,12904160,0,4.029400392999378,4.020301519998611,0.26029431099959766,0.00658017000023392,10.343328,12690,20,20,
27,0.14156994830152317,,,,7.756381315005001e-09,9.79455023752962e-08,,0.0,12904160,40,12904160,12904160,0,3.8717884059988137,3.8656866479977907,0.2680658549979853,0.0037108050019014627,10.343328,12690,20,20,
28,0.1476146370461147,,,,7.613471630918411e-09,9.610972995233169e-08,,0.0,12904160,40,12904160,12904160,0,3.8523218970003654,3.8462848490016768,0.23941586000000825,0.0036218500026734546,10.343328,12690,20,20,
29,0.14296839270911438,,,,7.580655214667331e-09,9.561922098555442e-08,,0.0,12904160,40,12904160,12904160,0,3.796877995999239,3.7904612440033816,0.23876884099809104,0.004019167998194462,10.343328,12690,20,20,
30,0.14350782895987327,0.08337687608329153,0.9681025978296613,0.9212022745735174,7.39210737066287e-09,9.320698524106774e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.8854460070033383,3.8788189700062503,0.26246435600114637,0.004106885997316567,10.343328,12690,20,20,
31,0.14069463299363827,,,,7.690853287556365e-09,9.69126432437406e-08,,0.0,12904160,40,12904160,12904160,0,3.7438065290007216,3.7374974209960783,0.25345409700094024,0.003895571000612108,10.343328,12690,20,20,
32,0.13847637876595206,,,,7.573361493484754e-09,9.536834255641224e-08,,0.0,12904160,40,12904160,12904160,0,3.668352690001484,3.662198697005806,0.23219416800202453,0.003768336999200983,10.343328,12690,20,20,
33,0.13729114731740627,,,,7.495533083101691e-09,9.432987013724414e-08,,0.0,12904160,40,12904160,12904160,0,3.797428456000489,3.790568524003902,0.23111362399868085,0.004114512001251569,10.343328,12690,20,20,
34,0.13996188810495544,,,,7.485835951115405e-09,9.414286239461944e-08,,0.0,12904160,40,12904160,12904160,0,3.94158978699852,3.9354647759973886,0.24665259399989736,0.003753266999410698,10.343328,12690,20,20,
35,0.14023208497561962,0.07687088824671502,0.9681025978296613,0.9212022745735174,7.483793140750095e-09,9.40730870979678e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.856321767998452,3.850101853993692,0.23693402000208152,0.003801744998781942,10.343328,12690,20,20,
36,0.13877938453604202,,,,7.553424552497745e-09,9.488942254165522e-08,,0.0,12904160,40,12904160,12904160,0,3.752168166996853,3.746492236990889,0.24329229399882024,0.0034412019995215815,10.343328,12690,20,20,
37,0.14551074246982781,,,,7.529822987351054e-09,9.455398242153024e-08,,0.0,12904160,40,12904160,12904160,0,3.711330406000343,3.704726854986802,0.24970521800059942,0.004118421999010025,10.343328,12690,20,20,
38,0.12864621786570207,,,,7.728637285708828e-09,9.697463099200831e-08,,0.0,12904160,40,12904160,12904160,0,3.701487395002914,3.6954839260070003,0.23827153599995654,0.003673310999147361,10.343328,12690,20,20,
39,0.13702623494042052,,,,7.467196638799578e-09,9.365473374600697e-08,,0.0,12904160,40,12904160,12904160,0,3.6412278689967934,3.6351477979951596,0.2380173890014703,0.0036878870014334098,10.343328,12690,20,20,
40,0.1330869481623339,0.0770704504112536,0.9681025978296613,0.9188284518828452,7.53131423891773e-09,9.439164472269113e-08,0.0,0.0,12904160,40,12904160,12904160,0,3.836032957999123,3.8298670680087525,0.2357568289990013,0.0037472210024134256,10.343328,12690,20,20,
