split,node,engines,windows,positive,positive_fraction
train,0,4,844,124,0.14691943127962084
train,1,4,677,124,0.1831610044313146
train,2,4,690,124,0.17971014492753623
train,3,4,624,124,0.1987179487179487
train,4,4,769,124,0.16124837451235371
train,5,4,506,124,0.2450592885375494
train,6,4,523,124,0.23709369024856597
train,7,4,566,124,0.21908127208480566
train,8,4,636,124,0.1949685534591195
train,9,4,527,124,0.23529411764705882
train,10,4,594,124,0.20875420875420875
train,11,4,542,124,0.22878228782287824
train,12,4,659,124,0.18816388467374812
train,13,4,449,124,0.27616926503340755
train,14,4,701,124,0.1768901569186876
train,15,4,662,124,0.18731117824773413
train,16,4,644,124,0.19254658385093168
train,17,4,643,124,0.19284603421461896
train,18,4,626,124,0.19808306709265175
train,19,4,808,124,0.15346534653465346
validation,0,1,140,31,0.22142857142857142
validation,1,1,145,31,0.21379310344827587
validation,2,1,158,31,0.1962025316455696
validation,3,1,182,31,0.17032967032967034
validation,4,1,143,31,0.21678321678321677
validation,5,1,105,31,0.29523809523809524
validation,6,1,158,31,0.1962025316455696
validation,7,1,129,31,0.24031007751937986
validation,8,1,142,31,0.21830985915492956
validation,9,1,238,31,0.13025210084033614
validation,10,1,119,31,0.2605042016806723
validation,11,1,191,31,0.16230366492146597
validation,12,1,182,31,0.17032967032967034
validation,13,1,181,31,0.1712707182320442
validation,14,1,88,31,0.3522727272727273
validation,15,1,164,31,0.18902439024390244
validation,16,1,149,31,0.2080536912751678
validation,17,1,150,31,0.20666666666666667
validation,18,1,173,31,0.1791907514450867
validation,19,1,104,31,0.2980769230769231
test,0,5,612,10,0.016339869281045753
test,1,5,532,23,0.043233082706766915
test,2,5,583,37,0.0634648370497427
test,3,5,289,22,0.07612456747404844
test,4,5,409,21,0.05134474327628362
test,5,5,654,36,0.05504587155963303
test,6,5,221,0,0.0
test,7,5,487,28,0.057494866529774126
test,8,5,582,47,0.08075601374570447
test,9,5,273,0,0.0
test,10,5,408,17,0.041666666666666664
test,11,5,368,10,0.02717391304347826
test,12,5,471,20,0.04246284501061571
test,13,4,379,21,0.055408970976253295
test,14,4,486,13,0.026748971193415638
test,15,4,250,0,0.0
test,16,4,45,0,0.0
test,17,4,455,3,0.006593406593406593
test,18,4,391,24,0.061381074168797956
test,19,4,360,0,0.0
