split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,708,12,2,122,0.9834123222748815,0.9104477611940298,0.9838709677419355,0.9457364341085271,0.016666666666666666,0.9836021505376344,844,124,0.5,0.9989247311827958,0.9944183891227154,0.015551573884242243,0.05965245465904451
train,fixed,1,533,20,6,118,0.9615952732644018,0.855072463768116,0.9516129032258065,0.9007633587786259,0.03616636528028933,0.9577232689727586,677,124,0.5,0.9938313014058217,0.9749224794826352,0.02906074883190052,0.09359684957029271
train,fixed,2,556,10,2,122,0.9826086956521739,0.9242424242424242,0.9838709677419355,0.953125,0.0176678445229682,0.9831015616094836,690,124,0.5,0.9993018351761086,0.9969829112964181,0.014342692038464364,0.05821479856007439
train,fixed,3,490,10,3,121,0.9791666666666666,0.9236641221374046,0.9758064516129032,0.9490196078431372,0.02,0.9779032258064516,624,124,0.5,0.9974032258064516,0.9903309203314287,0.021266757516214117,0.07550668508275565
train,fixed,4,637,8,3,121,0.9856957087126138,0.937984496124031,0.9758064516129032,0.9565217391304348,0.012403100775193798,0.9817016754188548,769,124,0.5,0.9991497874468617,0.995747137162568,0.011938115658824223,0.04899900709088152
train,fixed,5,382,0,13,111,0.974308300395257,1.0,0.8951612903225806,0.9446808510638298,0.0,0.9475806451612903,506,124,0.5,0.9975510893430164,0.9938645347808479,0.019177913322389047,0.06995240731949871
train,fixed,6,399,0,17,107,0.9674952198852772,1.0,0.8629032258064516,0.9264069264069265,0.0,0.9314516129032258,523,124,0.5,0.998524537149325,0.9954791032259726,0.023375921438435074,0.08065719165870852
train,fixed,7,434,8,0,124,0.9858657243816255,0.9393939393939394,1.0,0.96875,0.01809954751131222,0.9909502262443439,566,124,0.5,0.9994526346518756,0.9979961704896411,0.014464974761587618,0.0595302015912485
train,fixed,8,491,21,15,109,0.9433962264150944,0.8384615384615385,0.8790322580645161,0.8582677165354331,0.041015625,0.919008316532258,636,124,0.5,0.9911321824596774,0.9676279767771119,0.03273426356862968,0.10117624164704773
train,fixed,9,397,6,4,120,0.9810246679316889,0.9523809523809523,0.967741935483871,0.96,0.01488833746898263,0.9764267990074442,527,124,0.5,0.9983790922916834,0.9949402081449932,0.017630546397948813,0.06982101144866386
train,fixed,10,458,12,15,109,0.9545454545454546,0.9008264462809917,0.8790322580645161,0.889795918367347,0.02553191489361702,0.9267501715854496,594,124,0.5,0.9916781056966368,0.9693986184435902,0.030901067361913653,0.1001890129192667
train,fixed,11,408,10,10,114,0.9630996309963099,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.023923444976076555,0.9477156968668004,542,124,0.5,0.9956011730205279,0.9858833729417775,0.024870250582861457,0.08494353249491451
train,fixed,12,522,13,2,122,0.9772382397572079,0.9037037037037037,0.9838709677419355,0.9420849420849421,0.024299065420560748,0.9797859511606875,659,124,0.5,0.9988091649080495,0.9952291508027729,0.01654626672988566,0.06114238825082271
train,fixed,13,321,4,19,105,0.9487750556792873,0.963302752293578,0.8467741935483871,0.9012875536480687,0.012307692307692308,0.9172332506203473,449,124,0.5,0.9865508684863524,0.9714147680472196,0.042566856039088274,0.14723889712608976
