split,node,engines,windows,positive,positive_fraction
train,0,2,456,62,0.13596491228070176
train,1,2,388,62,0.15979381443298968
train,2,2,284,62,0.21830985915492956
train,3,2,393,62,0.15776081424936386
train,4,2,356,62,0.17415730337078653
train,5,2,334,62,0.18562874251497005
train,6,2,365,62,0.16986301369863013
train,7,2,259,62,0.23938223938223938
train,8,2,331,62,0.18731117824773413
train,9,2,438,62,0.1415525114155251
train,10,2,269,62,0.23048327137546468
train,11,2,237,62,0.2616033755274262
train,12,2,299,62,0.20735785953177258
train,13,2,224,62,0.2767857142857143
train,14,2,296,62,0.20945945945945946
train,15,2,270,62,0.22962962962962963
train,16,2,311,62,0.19935691318327975
train,17,2,325,62,0.19076923076923077
train,18,2,300,62,0.20666666666666667
train,19,2,227,62,0.27312775330396477
train,20,2,234,62,0.26495726495726496
train,21,2,360,62,0.17222222222222222
train,22,2,333,62,0.18618618618618618
train,23,2,209,62,0.2966507177033493
train,24,2,309,62,0.20064724919093851
train,25,2,350,62,0.17714285714285713
train,26,2,219,62,0.2831050228310502
train,27,2,230,62,0.26956521739130435
train,28,2,366,62,0.16939890710382513
train,29,2,335,62,0.18507462686567164
train,30,2,330,62,0.18787878787878787
train,31,2,332,62,0.18674698795180722
train,32,2,287,62,0.21602787456445993
train,33,2,357,62,0.17366946778711484
train,34,2,251,62,0.24701195219123506
train,35,2,392,62,0.15816326530612246
train,36,2,278,62,0.22302158273381295
train,37,2,348,62,0.1781609195402299
train,38,2,405,62,0.15308641975308643
train,39,2,403,62,0.15384615384615385
validation,0,1,140,31,0.22142857142857142
validation,1,1,145,31,0.21379310344827587
validation,2,1,158,31,0.1962025316455696
validation,3,1,182,31,0.17032967032967034
validation,4,1,143,31,0.21678321678321677
validation,5,1,105,31,0.29523809523809524
validation,6,1,158,31,0.1962025316455696
validation,7,1,129,31,0.24031007751937986
validation,8,1,142,31,0.21830985915492956
validation,9,1,238,31,0.13025210084033614
validation,10,1,119,31,0.2605042016806723
validation,11,1,191,31,0.16230366492146597
validation,12,1,182,31,0.17032967032967034
validation,13,1,181,31,0.1712707182320442
validation,14,1,88,31,0.3522727272727273
validation,15,1,164,31,0.18902439024390244
validation,16,1,149,31,0.2080536912751678
validation,17,1,150,31,0.20666666666666667
validation,18,1,173,31,0.1791907514450867
validation,19,1,104,31,0.2980769230769231
test,0,3,423,10,0.02364066193853428
test,1,3,312,0,0.0
test,2,3,328,14,0.042682926829268296
test,3,3,128,0,0.0
test,4,3,263,10,0.03802281368821293
test,5,3,527,20,0.03795066413662239
test,6,3,70,0,0.0
test,7,3,256,23,0.08984375
test,8,3,291,11,0.037800687285223365
test,9,3,190,0,0.0
test,10,3,284,14,0.04929577464788732
test,11,3,174,0,0.0
test,12,3,277,3,0.010830324909747292
test,13,2,224,21,0.09375
test,14,2,289,0,0.0
test,15,2,197,0,0.0
test,16,2,12,0,0.0
test,17,2,182,3,0.016483516483516484
test,18,2,253,24,0.09486166007905138
test,19,2,195,0,0.0
test,20,2,189,0,0.0
test,21,2,220,23,0.10454545454545454
test,22,2,255,23,0.09019607843137255
test,23,2,161,22,0.13664596273291926
test,24,2,146,11,0.07534246575342465
test,25,2,127,16,0.12598425196850394
test,26,2,151,0,0.0
test,27,2,231,5,0.021645021645021644
test,28,2,291,36,0.12371134020618557
test,29,2,83,0,0.0
test,30,2,124,3,0.024193548387096774
test,31,2,194,10,0.05154639175257732
test,32,2,194,17,0.08762886597938144
test,33,2,155,0,0.0
test,34,2,197,13,0.06598984771573604
test,35,2,53,0,0.0
test,36,2,33,0,0.0
test,37,2,273,0,0.0
test,38,2,138,0,0.0
test,39,2,165,0,0.0
