epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4718879854197053,,,,1.862452858603092e-09,2.3986435948586404e-08,,0.0,3226040,10,3226040,3226040,0,3.8268238640011987,3.824781349998375,0.8927598949994717,0.001321774998359615,2.6008319999999996,12690,5,5,
2,0.26485556684392875,,,,1.781344516338379e-09,2.285370115373553e-08,,0.0,3226040,10,3226040,3226040,0,3.909057259999827,3.907102617999044,0.9482432619988685,0.0011131920000480022,2.6008319999999996,12690,5,5,
3,0.21283960937459506,,,,1.7435448640412687e-09,2.2287348855343225e-08,,0.0,3226040,10,3226040,3226040,0,3.765293972002837,3.763436334003927,0.8776655389992811,0.001162805001513334,2.6008319999999996,12690,5,5,
4,0.17294120936016175,,,,1.719593467619518e-09,2.187907632844599e-08,,0.0,3226040,10,3226040,3226040,0,3.827331222000794,3.8255521049977688,0.9205743540005642,0.0011283810017630458,2.6008319999999996,12690,5,5,
5,0.1593275543341624,0.12825380099695344,0.9447550147977639,0.8489208633093526,1.7210021185931623e-09,2.1840444119902713e-08,0.0,0.0,3226040,10,3226040,3226040,0,4.010468505999597,4.0086859469956835,0.9367772669975238,0.0011187399977643508,2.6008319999999996,12690,5,5,
6,0.1301172132530351,,,,1.7679775421441946e-09,2.2371024144263174e-08,,0.0,3226040,10,3226040,3226040,0,3.843689744000585,3.8418752270008554,0.9048626790026901,0.0010979769976984244,2.6008319999999996,12690,5,5,
7,0.12766550568253177,,,,1.7587983291988962e-09,2.224456707722311e-08,,0.0,3226040,10,3226040,3226040,0,3.826675278996845,3.8248354320021463,0.9483335539989639,0.0011096299967903178,2.6008319999999996,12690,5,5,
8,0.12037606128732685,,,,1.7992590750637305e-09,2.2700413992993163e-08,,0.0,3226040,10,3226040,3226040,0,3.777877233998879,3.776078676000907,0.9089646899992658,0.001119641001423588,2.6008319999999996,12690,5,5,
9,0.1195277761135346,,,,1.7785890538135618e-09,2.241021945792454e-08,,0.0,3226040,10,3226040,3226040,0,3.888237183000456,3.8862828540004557,0.9145159350009635,0.0012290140002733096,2.6008319999999996,12690,5,5,
10,0.13615649638900557,0.10042055792746993,0.9588951002959553,0.8896734333627537,1.7802215257489706e-09,2.2409938793543915e-08,0.0,0.0,3226040,10,3226040,3226040,0,3.829101781000645,3.8272817809956905,0.9236670850004884,0.0011346520004735794,2.6008319999999996,12690,5,5,
11,0.10630703396760269,,,,1.7713037703259715e-09,2.223777961773976e-08,,0.0,3226040,10,3226040,3226040,0,3.7252207999990787,3.723358265004208,0.8815925310009334,0.0011283150015515275,2.6008319999999996,12690,5,5,
12,0.112783839693094,,,,1.7471956104131436e-09,2.1905215419337765e-08,,0.0,3226040,10,3226040,3226040,0,3.81546142300067,3.813653051001893,0.868270200000552,0.001173857002868317,2.6008319999999996,12690,5,5,
