split,node,engines,windows,positive,positive_fraction
train,0,16,2835,496,0.17495590828924162
train,1,16,2364,496,0.2098138747884941
train,2,16,2299,496,0.21574597651152674
train,3,16,2471,496,0.20072845002023473
train,4,16,2721,496,0.1822859242925395
validation,0,4,528,124,0.23484848484848486
validation,1,4,643,124,0.19284603421461896
validation,2,4,619,124,0.20032310177705978
validation,3,4,678,124,0.18289085545722714
validation,4,4,573,124,0.2164048865619546
test,0,19,1924,63,0.032744282744282746
test,1,19,1166,33,0.02830188679245283
test,2,19,1996,88,0.04408817635270541
test,3,18,1641,114,0.06946983546617916
test,4,18,1528,34,0.02225130890052356
