split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2311,28,33,463,0.9784832451499118,0.9429735234215886,0.9334677419354839,0.9381965552178319,0.011970927746900385,0.9607484070942918,2835,496,0.5,0.9975166875836103,0.9884685822608883,0.01569640389108348,0.05344624432727169
train,fixed,1,1852,16,36,460,0.9780033840947546,0.9663865546218487,0.9274193548387096,0.9465020576131687,0.008565310492505354,0.9594270221731022,2364,496,0.5,0.9978813376390135,0.9924741587524796,0.016079134585028708,0.055858550734683855
train,fixed,2,1796,7,34,462,0.982166159199652,0.9850746268656716,0.9314516129032258,0.9575129533678757,0.003882418191902385,0.9637845973556617,2299,496,0.5,0.9983595888572809,0.994510358747638,0.015198696157013677,0.054389279593188525
train,fixed,3,1968,7,44,452,0.9793605827600161,0.9847494553376906,0.9112903225806451,0.9465968586387434,0.0035443037974683543,0.9538730093915884,2471,496,0.5,0.997932829726419,0.992683875545647,0.016482827647556535,0.05744813446825134
train,fixed,4,2207,18,51,445,0.9746416758544653,0.9611231101511879,0.8971774193548387,0.9280500521376434,0.008089887640449439,0.9445437658571947,2721,496,0.5,0.9974202609641175,0.9882962568801369,0.01755081109679438,0.058327621241745876
train,val_f1,0,2289,50,15,481,0.9770723104056437,0.9058380414312618,0.969758064516129,0.9367088607594937,0.021376656690893545,0.9741907039126178,2835,496,0.34,0.9975166875836103,0.9884685822608883,0.01569640389108348,0.05344624432727169
train,val_f1,1,1833,35,19,477,0.9771573604060914,0.931640625,0.9616935483870968,0.9464285714285714,0.01873661670235546,0.9714784658423706,2364,496,0.34,0.9978813376390135,0.9924741587524796,0.016079134585028708,0.055858550734683855
train,val_f1,2,1758,45,16,480,0.973466724662897,0.9142857142857143,0.967741935483871,0.940254652301665,0.024958402662229616,0.9713917664108207,2299,496,0.34,0.9983595888572809,0.994510358747638,0.015198696157013677,0.054389279593188525
train,val_f1,3,1948,27,21,475,0.9805746661270741,0.9462151394422311,0.9576612903225806,0.9519038076152304,0.013670886075949367,0.9719952021233156,2471,496,0.34,0.997932829726419,0.992683875545647,0.016482827647556535,0.05744813446825134
train,val_f1,4,2194,31,27,469,0.9786843072399853,0.938,0.9455645161290323,0.9417670682730924,0.013932584269662922,0.9658159659296847,2721,496,0.34,0.9974202609641175,0.9882962568801369,0.01755081109679438,0.058327621241745876
