epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5312112030914353,,,,6.033650912229405e-09,7.783137334627099e-08,,0.0,6452080,20,6452080,6452080,0,3.806564764000541,3.8034843429995817,0.4415098780000335,0.0019169580000379938,5.181664,12628,10,10,
2,0.39321560057322147,,,,6.027205845526851e-09,7.746889707505034e-08,,0.0,6452080,20,6452080,6452080,0,3.2897499220007376,3.286236771999029,0.37255807200017443,0.002240411000457243,5.181664,12628,10,10,
3,0.2875224121208015,,,,6.074180269877161e-09,7.794750445100362e-08,,0.0,6452080,20,6452080,6452080,0,3.528910889999679,3.5257292799969946,0.4323139359994457,0.001993815999412618,5.181664,12628,10,10,
4,0.2569052336578034,,,,6.157791609950891e-09,7.889880038192132e-08,,0.0,6452080,20,6452080,6452080,0,3.2868531619997157,3.28363324700058,0.365647345999605,0.0020087039993086364,5.181664,12628,10,10,
5,0.22367153284397107,0.17113182594868426,0.9400580083789881,0.8482871125611745,6.186142709196929e-09,7.903334875436485e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.2551238739997643,3.251970676999008,0.3746344600003795,0.001989526999750524,5.181664,12628,10,10,
6,0.20443872126890508,,,,6.23032958557701e-09,7.940043644794059e-08,,0.0,6452080,20,6452080,6452080,0,3.165243372000077,3.162048311000035,0.37614755100003094,0.0020419619995664107,5.181664,12628,10,10,
7,0.18275477534020812,,,,6.2271450218531754e-09,7.916354860526553e-08,,0.0,6452080,20,6452080,6452080,0,3.259748579999723,3.2565830019984787,0.366839792999599,0.0020006670001748716,5.181664,12628,10,10,
8,0.1669085888217527,,,,6.174693201188575e-09,7.834812265627988e-08,,0.0,6452080,20,6452080,6452080,0,3.3051398329998847,3.301239213997178,0.36775547099932737,0.002658364000126312,5.181664,12628,10,10,
9,0.166171035749886,,,,6.274505803816055e-09,7.951931024763326e-08,,0.0,6452080,20,6452080,6452080,0,3.5468032930002664,3.5436491059999753,0.39953674000025785,0.001965665000170702,5.181664,12628,10,10,
10,0.15342587283359604,0.11454278334669721,0.9597164034805027,0.9010292953285828,6.233301874658537e-09,7.890024988910227e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.3493607079999492,3.3459785720015134,0.3851408860000447,0.0021437100003822707,5.181664,12628,10,10,
11,0.14191598494929983,,,,6.347895986635876e-09,8.026403008898342e-08,,0.0,6452080,20,6452080,6452080,0,3.3777119409996885,3.3744895899990297,0.36886208599935344,0.0019828169997708756,5.181664,12628,10,10,
12,0.1453607006481094,,,,6.135930430417602e-09,7.753691022571729e-08,,0.0,6452080,20,6452080,6452080,0,3.41805937800018,3.414787429000171,0.39509495999936917,0.0020189619999655406,5.181664,12628,10,10,
13,0.14449174418396604,,,,6.129291296730344e-09,7.739966889630523e-08,,0.0,6452080,20,6452080,6452080,0,3.1711479799996596,3.168019748000006,0.37418115200034663,0.0019213370005672914,5.181664,12628,10,10,
14,0.13291510706054277,,,,6.351175585450619e-09,8.012124652623243e-08,,0.0,6452080,20,6452080,6452080,0,3.207487728999695,3.204367845001798,0.35158991500065895,0.0019377440003154334,5.181664,12628,10,10,
15,0.13627773667744303,0.09758377021822347,0.9687399291008701,0.9227091633466136,6.260999718676885e-09,7.893742548503724e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.884109683999668,3.8806945070009533,0.45126616099969397,0.002089019999402808,5.181664,12628,10,10,
16,0.1320798659779488,,,,6.261254181794129e-09,7.886843178539493e-08,,0.0,6452080,20,6452080,6452080,0,3.4503016949993253,3.4470391300010306,0.3877597330001663,0.0019289410001874785,5.181664,12628,10,10,
17,0.11929846526895335,,,,6.226417603727441e-09,7.833774162691043e-08,,0.0,6452080,20,6452080,6452080,0,3.562039635000474,3.5587776989987105,0.3957141370001409,0.0019587300002967822,5.181664,12628,10,10,
18,0.12134767077171948,,,,6.210473024736984e-09,7.806750801364615e-08,,0.0,6452080,20,6452080,6452080,0,3.411463477000325,3.408435991999795,0.39328152399957617,0.0018799639992721495,5.181664,12628,10,10,
19,0.10940666816603095,,,,6.229084359432591e-09,7.819240721573806e-08,,0.0,6452080,20,6452080,6452080,0,3.368658086999858,3.365500628998234,0.3656848800001171,0.0019390569996176055,5.181664,12628,10,10,
20,0.12369960195598925,0.09329340726054922,0.9668063164679342,0.9181890389197777,6.252443007781494e-09,7.843614469038585e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.3361921859996073,3.3328453149997586,0.38803054300024087,0.0021112409995112102,5.181664,12628,10,10,
21,0.11703216347057628,,,,6.324063939189273e-09,7.922622557998693e-08,,0.0,6452080,20,6452080,6452080,0,3.5795294869994905,3.5764158710007905,0.4163919220000025,0.0019393490001675673,5.181664,12628,10,10,
22,0.1117605998497874,,,,6.203599856036135e-09,7.763844678265741e-08,,0.0,6452080,20,6452080,6452080,0,3.342094071000247,3.338780690999556,0.37478508000003785,0.0021551709996856516,5.181664,12628,10,10,
23,0.11342385522661617,,,,6.321696943700772e-09,7.902119847358335e-08,,0.0,6452080,20,6452080,6452080,0,3.2774546860000555,3.2745626230007474,0.37031556599959004,0.001816695999877993,5.181664,12628,10,10,
24,0.10991870875684487,,,,6.276330566379329e-09,7.840374394163518e-08,,0.0,6452080,20,6452080,6452080,0,3.553708448999714,3.550778937001269,0.40179864400033694,0.0018297619999430026,5.181664,12628,10,10,
25,0.11345079465264125,0.09050332951011428,0.9635836287463745,0.9127413127413128,6.333618074449987e-09,7.90727057164986e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7640996320005797,3.7608191529998294,0.42447249999986525,0.002056322000498767,5.181664,12628,10,10,
26,0.10450609143128702,,,,6.218885406639174e-09,7.757002862263107e-08,,0.0,6452080,20,6452080,6452080,0,3.3490204380004798,3.3458389400011583,0.37255336300040653,0.0019984519994977745,5.181664,12628,10,10,
27,0.10864400277523592,,,,6.288078058247493e-09,7.837049764702897e-08,,0.0,6452080,20,6452080,6452080,0,3.3644372779999685,3.3608372009994127,0.3909839499992813,0.002251274999252928,5.181664,12628,10,10,
28,0.10439039345997234,,,,6.249622597209736e-09,7.77904318738365e-08,,0.0,6452080,20,6452080,6452080,0,3.31432840799971,3.3113111230004506,0.38872592600000644,0.0019295029997010715,5.181664,12628,10,10,
29,0.10844836324374833,,,,6.259220253213016e-09,7.786296407630289e-08,,0.0,6452080,20,6452080,6452080,0,3.2066817770000853,3.2033091450002757,0.3566465169997173,0.00207562100058567,5.181664,12628,10,10,
30,0.09591432714528368,0.08406167503851611,0.969062197873026,0.9235668789808917,6.1934954942444165e-09,7.69625287944109e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.2739528649999556,3.2705601479992765,0.37508348299979843,0.0021404079998319503,5.181664,12628,10,10,
31,0.09853614903360661,,,,6.321418499766196e-09,7.848369421026291e-08,,0.0,6452080,20,6452080,6452080,0,3.680740830999639,3.677439725000113,0.4354353690005155,0.002093695999974443,5.181664,12628,10,10,
32,0.09940592011401121,,,,6.156142706714718e-09,7.632772991428283e-08,,0.0,6452080,20,6452080,6452080,0,3.316995332999795,3.313928493000276,0.37516268600029434,0.001849239999501151,5.181664,12628,10,10,
33,0.08934082691701069,,,,6.301959398768986e-09,7.803925683447233e-08,,0.0,6452080,20,6452080,6452080,0,3.2753702009995322,3.2720087960005912,0.3763236410004538,0.0020871280003120773,5.181664,12628,10,10,
34,0.09888507668878384,,,,6.395355356403343e-09,7.911994259757194e-08,,0.0,6452080,20,6452080,6452080,0,3.704069108999647,3.700766251999994,0.4398993539998628,0.0020456519996514544,5.181664,12628,10,10,
35,0.09358595715752954,0.08024732309908901,0.9680953915565582,0.9197080291970803,6.328422674783951e-09,7.82063764859231e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.3436036000002787,3.3403665360010564,0.3971014529997774,0.002046442000391835,5.181664,12628,10,10,
