split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1088,22,3,245,0.9815905743740795,0.9176029962546817,0.9879032258064516,0.9514563106796117,0.01981981981981982,0.984041702993316,1358,248,0.5,0.9993497529787853,0.9972315505825948,0.011838909729296857,0.041184914132076096
train,fixed,1,971,10,12,236,0.9820992676973149,0.959349593495935,0.9516129032258065,0.9554655870445344,0.010193679918450561,0.970709611653678,1229,248,0.5,0.9981873335306304,0.9932635993034741,0.013614075772651642,0.0479616056119141
train,fixed,2,999,21,9,239,0.9763406940063092,0.9192307692307692,0.9637096774193549,0.9409448818897638,0.020588235294117647,0.9715607210626186,1268,248,0.5,0.9975015812776723,0.9899988583439114,0.017042840842228495,0.05700287610332759
train,fixed,3,949,17,18,230,0.971169686985173,0.9311740890688259,0.9274193548387096,0.9292929292929293,0.017598343685300208,0.9549105055767046,1214,248,0.5,0.9955044079342817,0.9845830446990051,0.021555437139280195,0.0707762244579042
train,fixed,4,922,34,5,243,0.967607973421927,0.8772563176895307,0.9798387096774194,0.9257142857142857,0.03556485355648536,0.972136928060467,1204,248,0.5,0.9969125388041571,0.9884019282447004,0.023669817587319602,0.07846555381373974
train,fixed,5,1107,29,0,248,0.9790462427745664,0.8953068592057761,1.0,0.9447619047619048,0.025528169014084508,0.9872359154929577,1384,248,0.5,0.999144564970468,0.9959949432282456,0.014826012497181953,0.05191896299287864
train,fixed,6,824,18,9,239,0.9752293577981651,0.9299610894941635,0.9637096774193549,0.9465346534653465,0.021377672209026127,0.9711660026051644,1090,248,0.5,0.9969255229484331,0.9903870959791349,0.01893085850155964,0.06349828089160647
train,fixed,7,1148,26,7,241,0.9767932489451476,0.9026217228464419,0.9717741935483871,0.9359223300970874,0.022146507666098807,0.9748138429411441,1422,248,0.5,0.9979495246469198,0.9911583473894572,0.017646067121744023,0.05740037564892413
train,fixed,8,1034,17,22,226,0.9699769053117783,0.9300411522633745,0.9112903225806451,0.9205702647657841,0.016175071360608945,0.9475576256100181,1299,248,0.5,0.9939727141585587,0.9797172414493133,0.02239969474247636,0.07617062670523247
train,fixed,9,901,11,10,238,0.9818965517241379,0.9558232931726908,0.9596774193548387,0.9577464788732394,0.01206140350877193,0.9738080079230333,1160,248,0.5,0.9981076683644595,0.993678867962656,0.014606534226383713,0.05207004266578735
train,val_f1,0,1105,5,13,235,0.9867452135493373,0.9791666666666666,0.9475806451612904,0.9631147540983607,0.0045045045045045045,0.9715380703283929,1358,248,0.79,0.9993497529787853,0.9972315505825948,0.011838909729296857,0.041184914132076096
train,val_f1,1,977,4,26,222,0.9755899104963385,0.9823008849557522,0.8951612903225806,0.9367088607594937,0.004077471967380225,0.9455419091776003,1229,248,0.79,0.9981873335306304,0.9932635993034741,0.013614075772651642,0.0479616056119141
train,val_f1,2,1011,9,19,229,0.9779179810725552,0.9621848739495799,0.9233870967741935,0.9423868312757202,0.008823529411764706,0.9572817836812144,1268,248,0.79,0.9975015812776723,0.9899988583439114,0.017042840842228495,0.05700287610332759
train,val_f1,3,959,7,35,213,0.9654036243822076,0.9681818181818181,0.8588709677419355,0.9102564102564102,0.007246376811594203,0.9258122954651706,1214,248,0.79,0.9955044079342817,0.9845830446990051,0.021555437139280195,0.0707762244579042
train,val_f1,4,939,17,17,231,0.9717607973421927,0.9314516129032258,0.9314516129032258,0.9314516129032258,0.01778242677824268,0.9568345930624915,1204,248,0.79,0.9969125388041571,0.9884019282447004,0.023669817587319602,0.07846555381373974
train,val_f1,5,1131,5,18,230,0.9833815028901735,0.9787234042553191,0.9274193548387096,0.9523809523809523,0.0044014084507042256,0.9615089731940027,1384,248,0.79,0.999144564970468,0.9959949432282456,0.014826012497181953,0.05191896299287864
train,val_f1,6,837,5,29,219,0.9688073394495413,0.9776785714285714,0.8830645161290323,0.9279661016949152,0.0059382422802850355,0.9385631369243737,1090,248,0.79,0.9969255229484331,0.9903870959791349,0.01893085850155964,0.06349828089160647
train,val_f1,7,1163,11,18,230,0.9796061884669479,0.9543568464730291,0.9274193548387096,0.9406952965235174,0.009369676320272573,0.9590248392592186,1422,248,0.79,0.9979495246469198,0.9911583473894572,0.017646067121744023,0.05740037564892413
train,val_f1,8,1047,4,37,211,0.968437259430331,0.9813953488372092,0.8508064516129032,0.9114470842332614,0.003805899143672693,0.9235002762346153,1299,248,0.79,0.9939727141585587,0.9797172414493133,0.02239969474247636,0.07617062670523247
