epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,1.0149087428007024,,,,6.008463504514339e-09,7.75427082544411e-08,,0.0,6452080,20,6452080,6452080,0,4.076140546000033,4.072934228999429,0.46830791000002137,0.0019223350000174833,5.181664,12681,10,10,
2,0.6578126406182577,,,,6.191495760532462e-09,7.956840875067428e-08,,0.0,6452080,20,6452080,6452080,0,3.972225494999975,3.9687020619999203,0.56874866499993,0.002497553000011976,5.181664,12681,10,10,
3,0.6225759504245557,,,,6.316338563294721e-09,8.119467054257257e-08,,0.0,6452080,20,6452080,6452080,0,4.196825480000143,4.193630927000413,0.5288658920001126,0.0020257860001038352,5.181664,12681,10,10,
4,0.5218951958128228,,,,6.304280208979662e-09,8.08455027367927e-08,,0.0,6452080,20,6452080,6452080,0,3.761615041999903,3.758589149999807,0.4491648549999354,0.0018555730000571202,5.181664,12681,10,10,
5,0.5091217393840279,0.22476821652386672,0.92,0.8291316526610645,6.235822080924436e-09,7.981584815297538e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.8574022739999236,3.8541492110002764,0.43955222399995364,0.002052441999921939,5.181664,12681,10,10,
6,0.40489355707459324,,,,6.17168538497026e-09,7.873038754269146e-08,,0.0,6452080,20,6452080,6452080,0,3.9930860349998056,3.9899123360000885,0.5786049320001894,0.001959487000021909,5.181664,12681,10,10,
7,0.4046412958062038,,,,6.331871471587647e-09,8.061160627903519e-08,,0.0,6452080,20,6452080,6452080,0,3.733841706000021,3.7308983950001675,0.45522504500013383,0.0018279440000696923,5.181664,12681,10,10,
8,0.3781478527047911,,,,6.320145740090766e-09,8.028995068798395e-08,,0.0,6452080,20,6452080,6452080,0,3.90026246299999,3.8970205390000956,0.4423488610000277,0.0020685849999608763,5.181664,12681,10,10,
9,0.3652105338899695,,,,6.271517971612184e-09,7.957414283055186e-08,,0.0,6452080,20,6452080,6452080,0,3.6996503249999932,3.6964215499995134,0.43314951100001053,0.002026727000156825,5.181664,12681,10,10,
10,0.2864255456410941,0.20670764529140662,0.9055737704918033,0.8102766798418972,6.259541773800947e-09,7.928951362146108e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7627738409998983,3.7595530359997156,0.4221194790000027,0.0020002270000532008,5.181664,12681,10,10,
11,0.31341190295833543,,,,6.2079874574294536e-09,7.858378836544944e-08,,0.0,6452080,20,6452080,6452080,0,3.8631019370000104,3.8597484680003618,0.4276669480000237,0.002076706000025297,5.181664,12681,10,10,
12,0.2724144523232866,,,,6.242553585167343e-09,7.891281228467051e-08,,0.0,6452080,20,6452080,6452080,0,4.028676673000064,4.025259690999974,0.5195318390001376,0.0020457299999634415,5.181664,12681,10,10,
13,0.25031197346841955,,,,6.26658325231233e-09,7.912931465625661e-08,,0.0,6452080,20,6452080,6452080,0,4.049973367000121,4.046592258999453,0.4891820899999857,0.00220805900016785,5.181664,12681,10,10,
14,0.28705090026716507,,,,6.2071348061465415e-09,7.830151105281402e-08,,0.0,6452080,20,6452080,6452080,0,3.7148229679999076,3.711740215000191,0.4359859310000047,0.0018861819999074214,5.181664,12681,10,10,
