split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,829,54,0,248,0.9522546419098143,0.8211920529801324,1.0,0.9018181818181819,0.061155152887882216,0.9694224235560589,1131,248,0.5,0.9996894750301392,0.9989357417280931,0.031169578242875227,0.09030841892679416
train,fixed,1,1128,32,10,238,0.9701704545454546,0.8814814814814815,0.9596774193548387,0.918918918918919,0.027586206896551724,0.9660456062291435,1408,248,0.5,0.9974624582869855,0.9896422469542621,0.019006931916782047,0.05996472523745855
train,fixed,2,1025,64,0,248,0.9521316379955124,0.7948717948717948,1.0,0.8857142857142857,0.05876951331496786,0.9706152433425161,1337,248,0.5,0.9987521846026245,0.9948265705373422,0.028617997769707564,0.08513655989166259
train,fixed,3,957,42,2,246,0.9647153167602245,0.8541666666666666,0.9919354838709677,0.917910447761194,0.042042042042042045,0.9749467209144629,1247,248,0.5,0.9985751880913172,0.9947018462787336,0.024045333313040408,0.07341554527627046
train,fixed,4,891,42,0,248,0.9644369178662151,0.8551724137931035,1.0,0.9219330855018587,0.04501607717041801,0.977491961414791,1181,248,0.5,0.9988244649586834,0.9955688607580928,0.024082309950893954,0.07736951440808884
train,fixed,5,806,29,6,242,0.9676823638042474,0.8929889298892989,0.9758064516129032,0.9325626204238922,0.03473053892215569,0.9705379563453738,1083,248,0.5,0.9970349623333977,0.9903817739197411,0.024608509097709102,0.08114897784518446
train,fixed,6,912,31,9,239,0.966414777497901,0.8851851851851852,0.9637096774193549,0.9227799227799228,0.032873806998939555,0.9654179352102077,1191,248,0.5,0.996061813703691,0.9864806072717786,0.02500228723479907,0.08000556866398567
train,fixed,7,919,32,2,246,0.9716430358632193,0.8848920863309353,0.9919354838709677,0.935361216730038,0.033648790746582544,0.9791433465621926,1199,248,0.5,0.9987237542824191,0.9951862371346312,0.019835743176305164,0.06617342428801079
train,fixed,8,1062,75,2,246,0.9444043321299639,0.7663551401869159,0.9919354838709677,0.8646748681898067,0.06596306068601583,0.9629862115924759,1385,248,0.5,0.9960067523477175,0.9823184177128843,0.04035401226351375,0.13098754086381234
train,fixed,9,1209,62,7,241,0.9545753785385122,0.7953795379537953,0.9717741935483871,0.8747731397459165,0.04878048780487805,0.9614968528717545,1519,248,0.5,0.9954918656886881,0.9794003403863364,0.030569665800113548,0.09444074805417238
train,val_f1,0,869,14,2,246,0.9858532272325375,0.9461538461538461,0.9919354838709677,0.968503937007874,0.015855039637599093,0.9880402221166844,1131,248,0.85,0.9996894750301392,0.9989357417280931,0.031169578242875227,0.09030841892679416
