split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,967,62,0,248,0.9514487079091621,0.8,1.0,0.8888888888888888,0.06025267249757046,0.9698736637512148,1277,248,0.5,0.9955484497946644,0.9822584150123379,0.03642499127011696,0.11853431076488931
train,fixed,1,843,31,6,242,0.9670231729055259,0.8864468864468864,0.9758064516129032,0.9289827255278311,0.03546910755148741,0.9701686720307079,1122,248,0.5,0.9963229866391083,0.9874754910640163,0.02519485583352125,0.08193415787446925
train,fixed,2,842,32,5,243,0.9670231729055259,0.8836363636363637,0.9798387096774194,0.9292543021032504,0.036613272311212815,0.9716127186831033,1122,248,0.5,0.9981730272385031,0.9939935341345785,0.01990000022767383,0.0635387789790083
train,fixed,3,1207,68,2,246,0.9540380827314511,0.7834394904458599,0.9919354838709677,0.8754448398576512,0.05333333333333334,0.9693010752688171,1523,248,0.5,0.9987602783048704,0.994887093727679,0.031993317813308275,0.0958815821387802
train,fixed,4,981,29,0,248,0.9769475357710652,0.8953068592057761,1.0,0.9447619047619048,0.028712871287128714,0.9856435643564356,1258,248,0.5,0.9988062919195145,0.9949773592924773,0.016258515345206722,0.05572889708320591
train,fixed,5,858,40,4,244,0.9616055846422339,0.8591549295774648,0.9838709677419355,0.9172932330827067,0.044543429844097995,0.9696637689489187,1146,248,0.5,0.9977907895682161,0.99295427401229,0.026764089712313466,0.08377513743545449
train,fixed,6,950,54,0,248,0.9568690095846646,0.8211920529801324,1.0,0.9018181818181819,0.053784860557768925,0.9731075697211156,1252,248,0.5,0.9988714496851305,0.9956145172100628,0.02800419121971871,0.08555208249177
train,fixed,7,972,60,5,243,0.94921875,0.801980198019802,0.9798387096774194,0.8820326678765881,0.05813953488372093,0.9608495873968492,1280,248,0.5,0.9959169479869968,0.9852412302838002,0.03714063450114434,0.11445841495914637
train,fixed,8,945,36,5,243,0.9666395443449959,0.8709677419354839,0.9798387096774194,0.9222011385199241,0.03669724770642202,0.9715707309854986,1229,248,0.5,0.996798033606261,0.9879096210713157,0.023103361960917636,0.07448220053288672
train,fixed,9,920,57,3,245,0.9510204081632653,0.8112582781456954,0.9879032258064516,0.8909090909090909,0.05834186284544524,0.9647806814805031,1225,248,0.5,0.9977754482121042,0.9922172356412869,0.03380606007766377,0.10423213408343031
train,val_f1,0,996,33,13,235,0.9639780736100235,0.8768656716417911,0.9475806451612904,0.9108527131782945,0.03206997084548105,0.9577553371579046,1277,248,0.8200000000000001,0.9955484497946644,0.9822584150123379,0.03642499127011696,0.11853431076488931
train,val_f1,1,856,18,20,228,0.966131907308378,0.926829268292683,0.9193548387096774,0.9230769230769231,0.020594965675057208,0.9493799365173101,1122,248,0.8200000000000001,0.9963229866391083,0.9874754910640163,0.02519485583352125,0.08193415787446925
train,val_f1,2,869,5,12,236,0.9848484848484849,0.979253112033195,0.9516129032258065,0.9652351738241309,0.005720823798627002,0.9729460397135897,1122,248,0.8200000000000001,0.9981730272385031,0.9939935341345785,0.01990000022767383,0.0635387789790083
train,val_f1,3,1245,30,4,244,0.9776756401838477,0.8905109489051095,0.9838709677419355,0.9348659003831418,0.023529411764705882,0.9801707779886148,1523,248,0.8200000000000001,0.9987602783048704,0.994887093727679,0.031993317813308275,0.0958815821387802
train,val_f1,4,1002,8,7,241,0.9880763116057234,0.9678714859437751,0.9717741935483871,0.9698189134808853,0.007920792079207921,0.9819267007345895,1258,248,0.8200000000000001,0.9988062919195145,0.9949773592924773,0.016258515345206722,0.05572889708320591
train,val_f1,5,880,18,9,239,0.9764397905759162,0.9299610894941635,0.9637096774193549,0.9465346534653465,0.0200445434298441,0.9718325669947554,1146,248,0.8200000000000001,0.9977907895682161,0.99295427401229,0.026764089712313466,0.08377513743545449
train,val_f1,6,987,17,6,242,0.981629392971246,0.9343629343629344,0.9758064516129032,0.9546351084812623,0.01693227091633466,0.9794370903482843,1252,248,0.8200000000000001,0.9988714496851305,0.9956145172100628,0.02800419121971871,0.08555208249177
train,val_f1,7,999,33,10,238,0.96640625,0.8782287822878229,0.9596774193548387,0.9171483622350675,0.03197674418604651,0.9638503375843961,1280,248,0.8200000000000001,0.9959169479869968,0.9852412302838002,0.03714063450114434,0.11445841495914637
train,val_f1,8,969,12,21,227,0.9731489015459723,0.9497907949790795,0.9153225806451613,0.9322381930184805,0.012232415902140673,0.9515450823715104,1229,248,0.8200000000000001,0.996798033606261,0.9879096210713157,0.023103361960917636,0.07448220053288672
train,val_f1,9,954,23,7,241,0.9755102040816327,0.9128787878787878,0.9717741935483871,0.94140625,0.02354145342886387,0.9741163700597617,1225,248,0.8200000000000001,0.9977754482121042,0.9922172356412869,0.03380606007766377,0.10423213408343031
train,val_fpr02,0,996,33,13,235,0.9639780736100235,0.8768656716417911,0.9475806451612904,0.9108527131782945,0.03206997084548105,0.9577553371579046,1277,248,0.8200000000000001,0.9955484497946644,0.9822584150123379,0.03642499127011696,0.11853431076488931
