epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.9954882556385101,,,,6.031366073244726e-09,7.783859956589367e-08,,0.0,6452080,20,6452080,6452080,0,4.3298636669996995,4.326324299001499,0.5373438110000279,0.002170959000068251,5.181664,12690,10,10,
2,0.623907507564084,,,,6.292264931317959e-09,8.087087621788669e-08,,0.0,6452080,20,6452080,6452080,0,4.013447307999741,4.009452182998757,0.43196921500020835,0.002382950000537676,5.181664,12690,10,10,
3,0.5946211755753409,,,,6.10921979671275e-09,7.853440564531411e-08,,0.0,6452080,20,6452080,6452080,0,3.8411301030000686,3.8376752690001013,0.44200715200076957,0.002193721000367077,5.181664,12690,10,10,
4,0.5118104965537675,,,,6.100921545737492e-09,7.82582603164883e-08,,0.0,6452080,20,6452080,6452080,0,3.7404554490003648,3.7373889950004013,0.4382257870001922,0.001969179999832704,5.181664,12690,10,10,
5,0.45046979259378406,0.16030395159839078,0.9408089444261756,0.8578199052132701,6.327963930630176e-09,8.098617598761848e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.766454208000141,3.763169641000786,0.4397105380003268,0.00209127299967804,5.181664,12690,10,10,
6,0.420884900435779,,,,6.109164285561519e-09,7.797506640372376e-08,,0.0,6452080,20,6452080,6452080,0,3.898017571999844,3.8927894509979524,0.44972469299955264,0.002079193999634299,5.181664,12690,10,10,
7,0.35334598217841706,,,,6.124155405018428e-09,7.79507089987419e-08,,0.0,6452080,20,6452080,6452080,0,3.8748256150001907,3.8716840879988013,0.4533501489995615,0.0019588350005506072,5.181664,12690,10,10,
8,0.3217936561366493,,,,6.319079481897916e-09,8.027255660181254e-08,,0.0,6452080,20,6452080,6452080,0,3.871477837000384,3.868418501002452,0.4685592900004849,0.00190422400009993,5.181664,12690,10,10,
9,0.3092383442845079,,,,6.266095198270705e-09,7.953300951157871e-08,,0.0,6452080,20,6452080,6452080,0,4.040495109000403,4.0366239269988,0.4846772310002052,0.0020462359998418833,5.181664,12690,10,10,
10,0.30000012599616954,0.09357310434934397,0.9621834922722788,0.9071832122679581,6.2055947047667814e-09,7.867178197784597e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.0096051010004885,4.005404685998656,0.49303601300016453,0.0019400040000618901,5.181664,12690,10,10,
11,0.28129577062082683,,,,6.189702972392297e-09,7.83871172416184e-08,,0.0,6452080,20,6452080,6452080,0,4.256738197999766,4.25298776100135,0.4936262100000022,0.0022850920004202635,5.181664,12690,10,10,
12,0.2958318511739571,,,,6.231772431419813e-09,7.883964769916929e-08,,0.0,6452080,20,6452080,6452080,0,4.266427507000117,4.263237287001175,0.5164334600003713,0.0020280879998608725,5.181664,12690,10,10,
13,0.26881460000435164,,,,6.280194586594234e-09,7.936675672226556e-08,,0.0,6452080,20,6452080,6452080,0,3.9280529779998687,3.9249103730007846,0.5200192089996563,0.002019874000325217,5.181664,12690,10,10,
14,0.25654308199885134,,,,6.30689278580121e-09,7.964828796502843e-08,,0.0,6452080,20,6452080,6452080,0,3.937273727000502,3.934556246000284,0.44434592700054054,0.0017007890000968473,5.181664,12690,10,10,
15,0.2723753880060159,0.08014821507270366,0.9684314370272936,0.9236883942766295,6.207940828062419e-09,7.831884119013921e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.908918850000191,3.905925383000067,0.48280930500004615,0.0018883279999499791,5.181664,12690,10,10,
16,0.23898840828294104,,,,6.400379781723586e-09,8.064894529979938e-08,,0.0,6452080,20,6452080,6452080,0,3.8586516569994274,3.8554275409987895,0.4498034070002177,0.0020539139995889855,5.181664,12690,10,10,
17,0.24377609068570427,,,,6.288776610574587e-09,7.918813338392283e-08,,0.0,6452080,20,6452080,6452080,0,3.862084551999942,3.8589230909992693,0.43492769000022236,0.0020155779993729084,5.181664,12690,10,10,
18,0.23276579361811947,,,,6.152748088794624e-09,7.740663932054304e-08,,0.0,6452080,20,6452080,6452080,0,3.8507395460001135,3.847592522000923,0.45863624300000083,0.0019059690002904972,5.181664,12690,10,10,
19,0.2378153643869843,,,,6.205296276817762e-09,7.79661775140994e-08,,0.0,6452080,20,6452080,6452080,0,3.7843596550001166,3.7815597669987255,0.4744370779999372,0.0017275649997827713,5.181664,12690,10,10,
20,0.22915374111991088,0.08622516330968746,0.9638276882604406,0.916030534351145,6.239707861510624e-09,7.83889930744408e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.6517551750002895,3.6478540449998036,0.4043001469999581,0.00254229399979522,5.181664,12690,10,10,
21,0.2048386937494932,,,,6.229639026855693e-09,7.81843567665419e-08,,0.0,6452080,20,6452080,6452080,0,3.672707325999909,3.669548221999321,0.41349731700029224,0.0019896230005542748,5.181664,12690,10,10,
22,0.20741785632874757,,,,6.311294153960034e-09,7.914317023960393e-08,,0.0,6452080,20,6452080,6452080,0,3.7363613850002366,3.733556178998697,0.42911541299963574,0.0017868129998532822,5.181664,12690,10,10,
23,0.26711062732234575,,,,6.176000155733163e-09,7.737231300097847e-08,,0.0,6452080,20,6452080,6452080,0,3.861682918999577,3.8583112190017346,0.46825296899987734,0.0019281839995528571,5.181664,12690,10,10,
24,0.22466134736377877,,,,6.391437157304836e-09,8.003183182836437e-08,,0.0,6452080,20,6452080,6452080,0,3.995975238000028,3.992932800001654,0.49028348400042887,0.0018895109997174586,5.181664,12690,10,10,
25,0.2208172603384848,0.08511882650562863,0.963170009865176,0.9154078549848943,6.3124216964638435e-09,7.895926046330715e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7667385239992655,3.7634526859992548,0.45186721099980787,0.0020942990004186868,5.181664,12690,10,10,
26,0.21647717228682373,,,,6.272883101843263e-09,7.837063975557612e-08,,0.0,6452080,20,6452080,6452080,0,3.8440992480000205,3.840589403001104,0.5079227330006688,0.002035084000453935,5.181664,12690,10,10,
27,0.18761527470408607,,,,6.331567714568109e-09,7.901994081294106e-08,,0.0,6452080,20,6452080,6452080,0,3.6667583820008076,3.6635104220003996,0.4054261729997961,0.001999202000661171,5.181664,12690,10,10,
28,0.21580357416813856,,,,6.399933027978477e-09,7.983135219546966e-08,,0.0,6452080,20,6452080,6452080,0,3.7947593660001075,3.7916201830003047,0.4282477669994478,0.0019656290005514165,5.181664,12690,10,10,
29,0.2237328627857908,,,,6.286144937917015e-09,7.834733395384319e-08,,0.0,6452080,20,6452080,6452080,0,3.6570381250003265,3.6541162690009514,0.41918038399944635,0.0017737650005074102,5.181664,12690,10,10,
30,0.20317734933316434,0.0690152881849748,0.9713909898059849,0.9320843091334895,6.2837215430988635e-09,7.823816616792101e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.7365392230003636,3.733660050999788,0.4218815149997681,0.0017780319994926685,5.181664,12690,10,10,
31,0.21111393226902223,,,,6.261595242307294e-09,7.79110749249412e-08,,0.0,6452080,20,6452080,6452080,0,3.9167780539992236,3.913619012997515,0.45005188599952817,0.0019721070002560737,5.181664,12690,10,10,
32,0.19626524388327363,,,,6.359371251818402e-09,7.904863252861105e-08,,0.0,6452080,20,6452080,6452080,0,3.7509322070000053,3.7481592310005,0.44396151499950065,0.0017672969997875043,5.181664,12690,10,10,
33,0.20457829195089375,,,,6.277285358180507e-09,7.796503354029483e-08,,0.0,6452080,20,6452080,6452080,0,3.8847353339997426,3.881701730001623,0.45354485400002886,0.0018576610000309302,5.181664,12690,10,10,
34,0.16716809622046383,,,,6.2435501213542466e-09,7.745457963892477e-08,,0.0,6452080,20,6452080,6452080,0,3.9495013360001394,3.9466212010011077,0.43265230100041663,0.0018288350001967046,5.181664,12690,10,10,
