split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1199,74,2,246,0.9500328731097962,0.76875,0.9919354838709677,0.8661971830985915,0.05813040062843677,0.9669025416212655,1521,248,0.5,0.9969560094265515,0.9850700782275759,0.03245631689789105,0.10796413609349464
train,fixed,1,1017,49,0,248,0.9627092846270928,0.835016835016835,1.0,0.9100917431192661,0.04596622889305816,0.9770168855534709,1314,248,0.5,0.9990543484839315,0.9960994653462699,0.024171674037636363,0.07536712390303839
train,fixed,2,1006,21,3,245,0.9811764705882353,0.9210526315789473,0.9879032258064516,0.953307392996109,0.02044790652385589,0.9837276596412978,1275,248,0.5,0.9988927976882244,0.9958265309862351,0.013838683326502042,0.048951305454809316
train,fixed,3,813,28,4,244,0.970615243342516,0.8970588235294118,0.9838709677419355,0.9384615384615385,0.03329369797859691,0.9752886348816693,1089,248,0.5,0.998062981857236,0.9937792995567257,0.02196653234969794,0.07293947267148705
train,fixed,4,868,47,5,243,0.9552880481513327,0.8379310344827586,0.9798387096774194,0.9033457249070632,0.05136612021857923,0.9642362947294201,1163,248,0.5,0.9960911334390975,0.9867278226150525,0.032194858397662326,0.10132738325551491
train,fixed,5,857,31,4,244,0.9691901408450704,0.8872727272727273,0.9838709677419355,0.9330783938814532,0.03490990990990991,0.9744805289160128,1136,248,0.5,0.9955227404824178,0.9850560379119213,0.02895705116215937,0.0968834942244806
train,fixed,6,812,48,7,241,0.9503610108303249,0.8339100346020761,0.9717741935483871,0.8975791433891993,0.05581395348837209,0.9579801200300075,1108,248,0.5,0.9949924981245312,0.9855118565583114,0.0322165090443906,0.10025099706303478
train,fixed,7,1058,57,5,243,0.954512105649303,0.81,0.9798387096774194,0.8868613138686131,0.051121076233183856,0.9643588167221178,1363,248,0.5,0.9979025025314624,0.9921749700702274,0.026432278091185184,0.07905531368440033
train,fixed,8,1008,31,3,245,0.9735819735819736,0.8876811594202898,0.9879032258064516,0.9351145038167938,0.029836381135707413,0.979033422335372,1287,248,0.5,0.9977762426650936,0.9909543145990337,0.01938009400699802,0.06558803665825197
train,fixed,9,1155,31,4,244,0.9755927475592747,0.8872727272727273,0.9838709677419355,0.9330783938814532,0.026138279932546374,0.9788663439046945,1434,248,0.5,0.9983306587608116,0.99239846739479,0.01934817987798916,0.06627229228767739
train,val_f1,0,1231,42,3,245,0.9704142011834319,0.8536585365853658,0.9879032258064516,0.9158878504672897,0.032992930086410056,0.9774551478600209,1521,248,0.66,0.9969560094265515,0.9850700782275759,0.03245631689789105,0.10796413609349464
train,val_f1,1,1034,32,2,246,0.974124809741248,0.8848920863309353,0.9919354838709677,0.935361216730038,0.0300187617260788,0.9809583610724445,1314,248,0.66,0.9990543484839315,0.9960994653462699,0.024171674037636363,0.07536712390303839
train,val_f1,2,1017,10,6,242,0.9874509803921568,0.9603174603174603,0.9758064516129032,0.968,0.009737098344693282,0.9830346766341049,1275,248,0.66,0.9988927976882244,0.9958265309862351,0.013838683326502042,0.048951305454809316
train,val_f1,3,823,18,8,240,0.9761248852157943,0.9302325581395349,0.967741935483871,0.9486166007905138,0.02140309155766944,0.9731694219631009,1089,248,0.66,0.998062981857236,0.9937792995567257,0.02196653234969794,0.07293947267148705
train,val_f1,4,879,36,9,239,0.9613069647463457,0.8690909090909091,0.9637096774193549,0.9139579349904398,0.03934426229508197,0.9621827075621365,1163,248,0.66,0.9960911334390975,0.9867278226150525,0.032194858397662326,0.10132738325551491
train,val_f1,5,862,26,13,235,0.965669014084507,0.9003831417624522,0.9475806451612904,0.9233791748526523,0.02927927927927928,0.9591506829410055,1136,248,0.66,0.9955227404824178,0.9850560379119213,0.02895705116215937,0.0968834942244806
train,val_f1,6,835,25,10,238,0.9684115523465704,0.9049429657794676,0.9596774193548387,0.9315068493150684,0.029069767441860465,0.9653038259564891,1108,248,0.66,0.9949924981245312,0.9855118565583114,0.0322165090443906,0.10025099706303478
train,val_f1,7,1076,39,7,241,0.9662509170946442,0.8607142857142858,0.9717741935483871,0.9128787878787878,0.03497757847533632,0.9683983075365254,1363,248,0.66,0.9979025025314624,0.9921749700702274,0.026432278091185184,0.07905531368440033
train,val_f1,8,1018,21,11,237,0.9751359751359752,0.9186046511627907,0.9556451612903226,0.9367588932806324,0.02021174205967276,0.967716709615325,1287,248,0.66,0.9977762426650936,0.9909543145990337,0.01938009400699802,0.06558803665825197
train,val_f1,9,1166,20,11,237,0.9783821478382148,0.9221789883268483,0.9556451612903226,0.9386138613861386,0.016863406408094434,0.9693908774411141,1434,248,0.66,0.9983306587608116,0.99239846739479,0.01934817987798916,0.06627229228767739
train,val_fpr02,0,1221,52,2,246,0.9644970414201184,0.825503355704698,0.9919354838709677,0.9010989010989011,0.0408483896307934,0.9755435471200872,1521,248,0.62,0.9969560094265515,0.9850700782275759,0.03245631689789105,0.10796413609349464
