epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.9825569975958093,,,,6.132998553454172e-09,7.90805998462929e-08,,0.0,6452080,20,6452080,6452080,0,3.8698290490001455,3.866200225999819,0.4448126590004904,0.0022502850006276276,5.181664,12628,10,10,
2,0.606054274110142,,,,6.4061458360242796e-09,8.228121117781484e-08,,0.0,6452080,20,6452080,6452080,0,3.5918782480002847,3.588738862000355,0.4157438749998619,0.002017079999859561,5.181664,12628,10,10,
3,0.5907144026623017,,,,6.103452410144428e-09,7.838409032956406e-08,,0.0,6452080,20,6452080,6452080,0,3.575840423000045,3.57264812700123,0.41373173099964333,0.0019165539997629821,5.181664,12628,10,10,
4,0.48310328365283384,,,,6.00988059318297e-09,7.695231118987067e-08,,0.0,6452080,20,6452080,6452080,0,3.172680648000096,3.1696686369996314,0.36540313999921636,0.0019010039995919215,5.181664,12628,10,10,
5,0.45451561352947456,0.2296669518757292,0.9052529809861425,0.8029490616621984,6.210687963914552e-09,7.929120471317219e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.2413219360005314,3.238033639000605,0.37014721499963343,0.002048891999947955,5.181664,12628,10,10,
6,0.4089123311992636,,,,6.284872178241585e-09,7.996123940756661e-08,,0.0,6452080,20,6452080,6452080,0,3.1569182289995297,3.153744596999786,0.3654446230002577,0.0020036169999002595,5.181664,12628,10,10,
7,0.34659705302797883,,,,6.371167593499649e-09,8.08265312457479e-08,,0.0,6452080,20,6452080,6452080,0,3.4264177580007527,3.423407596001198,0.41737675800050056,0.0018585379993965034,5.181664,12628,10,10,
8,0.35172974823661524,,,,6.197983459799161e-09,7.853343930719348e-08,,0.0,6452080,20,6452080,6452080,0,3.6106204400002753,3.6074303659997895,0.3982598889997462,0.0018825409997589304,5.181664,12628,10,10,
9,0.3044240456767102,,,,6.2808367395916775e-09,7.946086810761699e-08,,0.0,6452080,20,6452080,6452080,0,3.484725671999513,3.4814167869999437,0.39269222199982323,0.0020989980002923403,5.181664,12628,10,10,
10,0.2857950150335462,0.1506044812550043,0.9381243957460522,0.8638297872340426,6.281677400465924e-09,7.934440304779855e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.3472862369999348,3.344095543000549,0.38267050400008884,0.0019809420000456157,5.181664,12628,10,10,
11,0.2777317932491157,,,,6.340728830878106e-09,8.007427254597133e-08,,0.0,6452080,20,6452080,6452080,0,3.557517100000041,3.554160335001143,0.4296158609995473,0.0021103270000821794,5.181664,12628,10,10,
12,0.2874549450391474,,,,6.118991979775501e-09,7.714137950642908e-08,,0.0,6452080,20,6452080,6452080,0,3.341502709999986,3.3382817110023097,0.38610541300022305,0.0019264660004409961,5.181664,12628,10,10,
13,0.2988162233215023,,,,6.249194051122231e-09,7.87999283602403e-08,,0.0,6452080,20,6452080,6452080,0,3.3148918609995235,3.311748817998705,0.3744494879992999,0.001967414999853645,5.181664,12628,10,10,
14,0.25814465707213813,,,,6.25313623103807e-09,7.869814311334267e-08,,0.0,6452080,20,6452080,6452080,0,3.7750430280002547,3.770871585998975,0.4296083669996733,0.0026464060001671896,5.181664,12628,10,10,
15,0.24247214157649802,0.12189973527360681,0.9523042217209152,0.8898809523809523,6.288596310355388e-09,7.912806410104167e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.1943336940003064,3.191096791999371,0.36308981999991374,0.0019181319994459045,5.181664,12628,10,10,
16,0.2580716341895045,,,,6.152554465899129e-09,7.731227213980674e-08,,0.0,6452080,20,6452080,6452080,0,3.341054933000123,3.3379965719996108,0.38090103900049144,0.0018930339992948575,5.181664,12628,10,10,
17,0.24685805983837655,,,,6.166048560629633e-09,7.740765539665517e-08,,0.0,6452080,20,6452080,6452080,0,3.5809470120002516,3.5780120599993097,0.4094452959998307,0.0018023180000454886,5.181664,12628,10,10,
18,0.24238940589883273,,,,6.272301789067569e-09,7.867399176575418e-08,,0.0,6452080,20,6452080,6452080,0,3.7639663630006908,3.7608184790005907,0.43361951099996077,0.0019514499999786494,5.181664,12628,10,10,
19,0.22407737365222227,,,,6.289967213746195e-09,7.87784770750477e-08,,0.0,6452080,20,6452080,6452080,0,4.051038544000221,4.0478899210002055,0.4853493910004545,0.0019884479997926974,5.181664,12628,10,10,
20,0.2274836719585398,0.12330562107411427,0.9490815339993555,0.8836524300441826,6.198714874727784e-09,7.755404851650383e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.3075361849996625,3.30453173999922,0.3668292610000208,0.0018535210001573432,5.181664,12628,10,10,
21,0.2191387097636031,,,,6.178670464151992e-09,7.721061479060154e-08,,0.0,6452080,20,6452080,6452080,0,3.405925377999665,3.4026459660008186,0.40784677600004215,0.0020353270001578494,5.181664,12628,10,10,
22,0.20391219186730836,,,,6.268727315017486e-09,7.824400682920896e-08,,0.0,6452080,20,6452080,6452080,0,3.7045632679992195,3.7007162629997765,0.4257284810000783,0.00206607099971734,5.181664,12628,10,10,
23,0.21999838074599065,,,,6.381108530462143e-09,7.955715375373984e-08,,0.0,6452080,20,6452080,6452080,0,3.2919593839997106,3.2886974300017755,0.39471005799987324,0.0019973930002379348,5.181664,12628,10,10,
24,0.2082328723921123,,,,6.294136323248267e-09,7.840422000526814e-08,,0.0,6452080,20,6452080,6452080,0,3.698025116000281,3.694788001001143,0.4160941569998613,0.00203635299931193,5.181664,12628,10,10,
25,0.23638310502517146,0.1260326212234713,0.9448920399613278,0.8765342960288809,6.305736377498761e-09,7.854417560793081e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.418032802000198,3.414926860999003,0.38763541400021495,0.0018928339995909482,5.181664,12628,10,10,
26,0.19581939703746226,,,,6.256929641068609e-09,7.781256528005542e-08,,0.0,6452080,20,6452080,6452080,0,3.6105008859994996,3.6072815850011466,0.41711495900017326,0.002068281999527244,5.181664,12628,10,10,
27,0.22168505077338527,,,,6.352467885051283e-09,7.897239129306399e-08,,0.0,6452080,20,6452080,6452080,0,3.287908485999651,3.2847101650004333,0.37744742200084147,0.002019115000621241,5.181664,12628,10,10,
28,0.1891452375562034,,,,6.35221031330957e-09,7.88569067822209e-08,,0.0,6452080,20,6452080,6452080,0,3.359007858000041,3.355787299999065,0.43482977999974537,0.0019632590001492645,5.181664,12628,10,10,
29,0.21725584653226107,,,,6.357561588288263e-09,7.889755693213374e-08,,0.0,6452080,20,6452080,6452080,0,3.836436245999721,3.8330726099993626,0.4493170140003713,0.002115337999384792,5.181664,12628,10,10,
30,0.21367228036900615,0.12363346410826652,0.9481147276828875,0.8827385287691187,6.367169902432579e-09,7.896115761241163e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.428996429000108,3.4255883249970793,0.3904181049992985,0.002036177000263706,5.181664,12628,10,10,
31,0.196339710276252,,,,6.175907341088305e-09,7.653514444427856e-08,,0.0,6452080,20,6452080,6452080,0,3.406725546999951,3.403647621998971,0.3732902399997329,0.0019120809993182775,5.181664,12628,10,10,
32,0.20162717682198633,,,,6.328529256194315e-09,7.833606474605403e-08,,0.0,6452080,20,6452080,6452080,0,3.4859431140002926,3.4820779849987957,0.41019471199979307,0.0024231060006059124,5.181664,12628,10,10,
33,0.17774860892979386,,,,6.357773862930571e-09,7.861505935125024e-08,,0.0,6452080,20,6452080,6452080,0,3.5479257900005905,3.5446445210009188,0.39670006000051217,0.0020899319997624843,5.181664,12628,10,10,
34,0.17701462028869158,,,,6.247535377923441e-09,7.714486827126166e-08,,0.0,6452080,20,6452080,6452080,0,3.6178477789999306,3.614625160998912,0.4021519100006117,0.0019503349994920427,5.181664,12628,10,10,
35,0.19345308863486296,0.10497185245408402,0.9523042217209152,0.8905325443786982,6.282360853759883e-09,7.755338771175957e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.2639574849999917,3.2603921910013014,0.37935019500037015,0.0022265099996729987,5.181664,12628,10,10,
36,0.20603954147266085,,,,6.332803614839122e-09,7.811304669758101e-08,,0.0,6452080,20,6452080,6452080,0,3.193666468999254,3.190690251999513,0.3733132020006451,0.0018398700003672275,5.181664,12628,10,10,
37,0.1680204274655206,,,,6.29344620861616e-09,7.752996111776156e-08,,0.0,6452080,20,6452080,6452080,0,3.2471464469999773,3.2437585529996795,0.36489959999926214,0.002068472000246402,5.181664,12628,10,10,
38,0.17229004358381378,,,,6.474805580580778e-09,7.969756410375339e-08,,0.0,6452080,20,6452080,6452080,0,3.22991502900004,3.2267031430001225,0.37925600800008397,0.001959334000275703,5.181664,12628,10,10,
39,0.15514006515090842,,,,6.317569134495216e-09,7.766642795559164e-08,,0.0,6452080,20,6452080,6452080,0,3.589290429999892,3.5860421750003297,0.4085308719995737,0.002019859999563778,5.181664,12628,10,10,
40,0.1722899016433962,0.11364124569833267,0.9494038027715115,0.8848129126925899,6.2598908279198895e-09,7.691574666068846e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.2950878460005697,3.2917297200001485,0.372199233000174,0.0021350679999159183,5.181664,12628,10,10,
41,0.17312502947820504,,,,6.297554921985693e-09,7.727234674348438e-08,,0.0,6452080,20,6452080,6452080,0,3.7844028150002487,3.78105648699875,0.4474442500004443,0.0020986740000807913,5.181664,12628,10,10,
42,0.17151078814503304,,,,6.269166519246028e-09,7.685390812639525e-08,,0.0,6452080,20,6452080,6452080,0,3.387136309000198,3.384137819000898,0.3780859930002407,0.0018672899996090564,5.181664,12628,10,10,
43,0.16339970698786438,,,,6.322575796247065e-09,7.740253238353034e-08,,0.0,6452080,20,6452080,6452080,0,3.2084678040000654,3.2051733890011747,0.36472320800021407,0.0021369679998315405,5.181664,12628,10,10,
44,0.1760098243403223,,,,6.2848175552687735e-09,7.692329262454223e-08,,0.0,6452080,20,6452080,6452080,0,3.227995483000086,3.225004260001697,0.3865930140000273,0.0018002980004894198,5.181664,12628,10,10,
45,0.16418036893910315,0.11617978628838194,0.9513374154044473,0.8893772893772893,6.302455002327179e-09,7.703952320525786e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.2250291909995212,3.2220697859984284,0.3691295819999141,0.001832090999414504,5.181664,12628,10,10,
46,0.16115294193718174,,,,6.33976959818483e-09,7.742386287645786e-08,,0.0,6452080,20,6452080,6452080,0,3.43038280699966,3.427237313999285,0.47690263300046354,0.0019471830000838963,5.181664,12628,10,10,
47,0.16515938353931975,,,,6.244089689744214e-09,7.618957909016899e-08,,0.0,6452080,20,6452080,6452080,0,3.318882776999999,3.315728267999475,0.3828950570004963,0.0020104310005990556,5.181664,12628,10,10,
48,0.15936274032678027,,,,6.358807702611102e-09,7.751231834163264e-08,,0.0,6452080,20,6452080,6452080,0,3.5630804219999845,3.5601366399987455,0.4162380990001111,0.0017777569992176723,5.181664,12628,10,10,
49,0.16095170135082476,,,,6.343451097734487e-09,7.725844142214555e-08,,0.0,6452080,20,6452080,6452080,0,3.246737037999992,3.2435280819963737,0.36099545099932584,0.0019891620004273136,5.181664,12628,10,10,
50,0.14413269288473213,0.14479132773962133,0.9458588462777957,0.8775510204081632,6.427830268052048e-09,7.812887048430639e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.1584865830000126,3.1554583259994615,0.3629680100002588,0.0018138630002795253,5.181664,12628,10,10,
