split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1068,42,0,248,0.9690721649484536,0.8551724137931035,1.0,0.9219330855018587,0.03783783783783784,0.981081081081081,1358,248,0.5,0.9994551002615519,0.9975843043680395,0.021133781700584147,0.0663275293232317
train,fixed,1,950,31,3,245,0.9723352318958502,0.8876811594202898,0.9879032258064516,0.9351145038167938,0.03160040774719674,0.9781514090296275,1229,248,0.5,0.9986435829140772,0.9948176738884973,0.019830074186747378,0.06630552857322612
train,fixed,2,975,45,4,244,0.9613564668769716,0.8442906574394463,0.9838709677419355,0.9087523277467412,0.04411764705882353,0.9698766603415561,1268,248,0.5,0.9981301391524352,0.9932013760683268,0.026697126168293797,0.08384318261158712
train,fixed,3,932,34,9,239,0.9645799011532126,0.8754578754578755,0.9637096774193549,0.9174664107485605,0.035196687370600416,0.9642564950243773,1214,248,0.5,0.9950995124557537,0.9818129549483188,0.02687423683050878,0.09525672637816895
train,fixed,4,904,52,2,246,0.9551495016611296,0.825503355704698,0.9919354838709677,0.9010989010989011,0.05439330543933055,0.9687710892158186,1204,248,0.5,0.9944661897691996,0.9793121330441986,0.038610587559700364,0.14347995632162655
train,fixed,5,1089,47,0,248,0.9660404624277457,0.8406779661016949,1.0,0.9134438305709024,0.04137323943661972,0.9793133802816901,1384,248,0.5,0.9987363698318945,0.9942565781948052,0.02242618119867251,0.07086935562404752
train,fixed,6,813,29,3,245,0.9706422018348624,0.8941605839416058,0.9879032258064516,0.9386973180076629,0.0344418052256532,0.9767307102903993,1090,248,0.5,0.9977444257145046,0.9926651636353372,0.0214055889483694,0.069900491665177
train,fixed,7,1108,66,0,248,0.9535864978902954,0.7898089171974523,1.0,0.8825622775800712,0.056218057921635436,0.9718909710391823,1422,248,0.5,0.9975717151178766,0.9888278726912165,0.031679723595637456,0.10753302152807785
train,fixed,8,1018,33,11,237,0.9661277906081601,0.8777777777777778,0.9556451612903226,0.915057915057915,0.03139866793529972,0.9621232466775115,1299,248,0.5,0.9956224486664007,0.9839442099537467,0.02441152647618011,0.07813328105975093
train,fixed,9,880,32,2,246,0.9706896551724138,0.8848920863309353,0.9919354838709677,0.935361216730038,0.03508771929824561,0.9784238822863611,1160,248,0.5,0.997448889360498,0.990536199779591,0.019996017427539925,0.06969650688155378
train,val_f1,0,1101,9,5,243,0.9896907216494846,0.9642857142857143,0.9798387096774194,0.972,0.008108108108108109,0.9858653007846556,1358,248,0.89,0.9994551002615519,0.9975843043680395,0.021133781700584147,0.0663275293232317
train,val_f1,1,972,9,12,236,0.9829129373474369,0.963265306122449,0.9516129032258065,0.9574036511156186,0.009174311926605505,0.9712192956496005,1229,248,0.89,0.9986435829140772,0.9948176738884973,0.019830074186747378,0.06630552857322612
train,val_f1,2,1004,16,10,238,0.9794952681388013,0.937007874015748,0.9596774193548387,0.9482071713147411,0.01568627450980392,0.9719955724225173,1268,248,0.89,0.9981301391524352,0.9932013760683268,0.026697126168293797,0.08384318261158712
train,val_f1,3,951,15,27,221,0.9654036243822076,0.9364406779661016,0.8911290322580645,0.9132231404958677,0.015527950310559006,0.9378005409737528,1214,248,0.89,0.9950995124557537,0.9818129549483188,0.02687423683050878,0.09525672637816895
train,val_f1,4,926,30,17,231,0.9609634551495017,0.8850574712643678,0.9314516129032258,0.9076620825147348,0.03138075313807531,0.9500354298825753,1204,248,0.89,0.9944661897691996,0.9793121330441986,0.038610587559700364,0.14347995632162655
train,val_f1,5,1128,8,22,226,0.9783236994219653,0.9658119658119658,0.9112903225806451,0.9377593360995851,0.007042253521126761,0.9521240345297592,1384,248,0.89,0.9987363698318945,0.9942565781948052,0.02242618119867251,0.07086935562404752
train,val_f1,6,834,8,23,225,0.9715596330275229,0.9656652360515021,0.907258064516129,0.9355509355509356,0.009501187648456057,0.9488784384338365,1090,248,0.89,0.9977444257145046,0.9926651636353372,0.0214055889483694,0.069900491665177
train,val_f1,7,1153,21,10,238,0.9781997187060478,0.918918918918919,0.9596774193548387,0.9388560157790927,0.01788756388415673,0.970894927735341,1422,248,0.89,0.9975717151178766,0.9888278726912165,0.031679723595637456,0.10753302152807785
train,val_f1,8,1043,8,30,218,0.970746728252502,0.9646017699115044,0.8790322580645161,0.919831223628692,0.007611798287345386,0.9357102298885853,1299,248,0.89,0.9956224486664007,0.9839442099537467,0.02441152647618011,0.07813328105975093
train,val_f1,9,904,8,27,221,0.9698275862068966,0.9650655021834061,0.8911290322580645,0.9266247379454927,0.008771929824561403,0.9411785512167515,1160,248,0.89,0.997448889360498,0.990536199779591,0.019996017427539925,0.06969650688155378
train,val_fpr02,0,1109,1,25,223,0.9808541973490427,0.9955357142857143,0.8991935483870968,0.9449152542372882,0.0009009009009009009,0.9491463237430979,1358,248,0.9600000000000001,0.9994551002615519,0.9975843043680395,0.021133781700584147,0.0663275293232317
train,val_fpr02,1,978,3,22,226,0.9796582587469488,0.9868995633187773,0.9112903225806451,0.9475890985324947,0.0030581039755351682,0.954116109302555,1229,248,0.9600000000000001,0.9986435829140772,0.9948176738884973,0.019830074186747378,0.06630552857322612
train,val_fpr02,2,1018,2,20,228,0.9826498422712934,0.991304347826087,0.9193548387096774,0.9539748953974896,0.00196078431372549,0.958697027197976,1268,248,0.9600000000000001,0.9981301391524352,0.9932013760683268,0.026697126168293797,0.08384318261158712
train,val_fpr02,3,956,10,38,210,0.9604612850082372,0.9545454545454546,0.8467741935483871,0.8974358974358975,0.010351966873706004,0.9182111133373405,1214,248,0.9600000000000001,0.9950995124557537,0.9818129549483188,0.02687423683050878,0.09525672637816895
train,val_fpr02,4,935,21,29,219,0.9584717607973422,0.9125,0.8830645161290323,0.8975409836065574,0.021966527196652718,0.9305489944661898,1204,248,0.9600000000000001,0.9944661897691996,0.9793121330441986,0.038610587559700364,0.14347995632162655
train,val_fpr02,5,1136,0,44,204,0.9682080924855492,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,1384,248,0.9600000000000001,0.9987363698318945,0.9942565781948052,0.02242618119867251,0.07086935562404752
train,val_fpr02,6,841,1,37,211,0.9651376146788991,0.9952830188679245,0.8508064516129032,0.9173913043478261,0.0011876484560570072,0.9248094015784232,1090,248,0.9600000000000001,0.9977444257145046,0.9926651636353372,0.0214055889483694,0.069900491665177
train,val_fpr02,7,1161,13,22,226,0.9753867791842475,0.9456066945606695,0.9112903225806451,0.9281314168377823,0.011073253833049404,0.9501085343737978,1422,248,0.9600000000000001,0.9975717151178766,0.9888278726912165,0.031679723595637456,0.10753302152807785
train,val_fpr02,8,1049,2,53,195,0.9576597382602001,0.9898477157360406,0.7862903225806451,0.8764044943820225,0.0019029495718363464,0.8921936865044044,1299,248,0.9600000000000001,0.9956224486664007,0.9839442099537467,0.02441152647618011,0.07813328105975093
train,val_fpr02,9,907,5,45,203,0.9568965517241379,0.9759615384615384,0.8185483870967742,0.8903508771929824,0.005482456140350877,0.9065329654782117,1160,248,0.9600000000000001,0.997448889360498,0.990536199779591,0.019996017427539925,0.06969650688155378
validation,fixed,0,229,19,0,62,0.9387096774193548,0.7654320987654321,1.0,0.8671328671328671,0.07661290322580645,0.9616935483870968,310,62,0.5,0.9988293444328824,0.9955446950376855,0.0454582325639185,0.14985595457177542
validation,fixed,1,270,19,0,62,0.9458689458689459,0.7654320987654321,1.0,0.8671328671328671,0.0657439446366782,0.967128027681661,351,62,0.5,0.9871079361535887,0.9389420340894327,0.04568626426242705,0.1672904347765457
validation,fixed,2,230,18,0,62,0.9419354838709677,0.775,1.0,0.8732394366197183,0.07258064516129033,0.9637096774193548,310,62,0.5,0.9975936524453695,0.991350042608133,0.04563548276695893,0.1563715004950614
validation,fixed,3,260,5,0,62,0.9847094801223242,0.9253731343283582,1.0,0.9612403100775194,0.018867924528301886,0.9905660377358491,327,62,0.5,1.0,1.0,0.013195193160663612,0.053048670463716564
validation,fixed,4,243,12,0,62,0.9621451104100947,0.8378378378378378,1.0,0.9117647058823529,0.047058823529411764,0.9764705882352941,317,62,0.5,0.9991777356103732,0.9968162451084652,0.028293994852108595,0.09229333947583697
validation,fixed,5,285,29,0,62,0.9228723404255319,0.6813186813186813,1.0,0.8104575163398693,0.09235668789808917,0.9538216560509554,376,62,0.5,0.996763920279433,0.9845821890937999,0.06370217066615269,0.24297900720021703
validation,fixed,6,134,20,6,56,0.8796296296296297,0.7368421052631579,0.9032258064516129,0.8115942028985508,0.12987012987012986,0.8866778382907414,216,62,0.5,0.9805194805194806,0.9598483616657779,0.06753294952575457,0.1930521615323735
validation,fixed,7,286,18,4,58,0.9398907103825137,0.7631578947368421,0.9354838709677419,0.8405797101449275,0.05921052631578947,0.9381366723259762,366,62,0.5,0.9854095925297114,0.9274202599101611,0.04872711970173137,0.20402026004415175
validation,fixed,8,200,7,3,59,0.9628252788104089,0.8939393939393939,0.9516129032258065,0.921875,0.033816425120772944,0.9588982390525167,269,62,0.5,0.9971170328814087,0.991294227260434,0.02491203759340451,0.07702321791927616
validation,fixed,9,196,3,5,57,0.9693486590038314,0.95,0.9193548387096774,0.9344262295081968,0.01507537688442211,0.9521397309126276,261,62,0.5,0.9960285297455017,0.9886986952765079,0.022693553748870807,0.0788662760481351
validation,val_f1,0,240,8,0,62,0.9741935483870968,0.8857142857142857,1.0,0.9393939393939394,0.03225806451612903,0.9838709677419355,310,62,0.89,0.9988293444328824,0.9955446950376855,0.0454582325639185,0.14985595457177542
validation,val_f1,1,276,13,3,59,0.9544159544159544,0.8194444444444444,0.9516129032258065,0.8805970149253731,0.04498269896193772,0.9533151021319344,351,62,0.89,0.9871079361535887,0.9389420340894327,0.04568626426242705,0.1672904347765457
validation,val_f1,2,238,10,1,61,0.964516129032258,0.8591549295774648,0.9838709677419355,0.9172932330827067,0.04032258064516129,0.9717741935483871,310,62,0.89,0.9975936524453695,0.991350042608133,0.04563548276695893,0.1563715004950614
validation,val_f1,3,265,0,7,55,0.9785932721712538,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,327,62,0.89,1.0,1.0,0.013195193160663612,0.053048670463716564
validation,val_f1,4,252,3,2,60,0.9842271293375394,0.9523809523809523,0.967741935483871,0.96,0.011764705882352941,0.977988614800759,317,62,0.89,0.9991777356103732,0.9968162451084652,0.028293994852108595,0.09229333947583697
validation,val_f1,5,295,19,0,62,0.949468085106383,0.7654320987654321,1.0,0.8671328671328671,0.06050955414012739,0.9697452229299364,376,62,0.89,0.996763920279433,0.9845821890937999,0.06370217066615269,0.24297900720021703
validation,val_f1,6,154,0,13,49,0.9398148148148148,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,216,62,0.89,0.9805194805194806,0.9598483616657779,0.06753294952575457,0.1930521615323735
validation,val_f1,7,291,13,7,55,0.9453551912568307,0.8088235294117647,0.8870967741935484,0.8461538461538461,0.04276315789473684,0.9221668081494058,366,62,0.89,0.9854095925297114,0.9274202599101611,0.04872711970173137,0.20402026004415175
validation,val_f1,8,205,2,5,57,0.9739776951672863,0.9661016949152542,0.9193548387096774,0.9421487603305785,0.00966183574879227,0.9548465014804426,269,62,0.89,0.9971170328814087,0.991294227260434,0.02491203759340451,0.07702321791927616
