epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,1.0584066676549349,,,,6.05513728046958e-09,7.804723622939491e-08,,0.0,6452080,20,6452080,6452080,0,4.151690775999668,4.1487084069995035,0.5205635239999538,0.0018204289999630419,5.181664,12569,10,10,
2,0.6853417281007224,,,,6.251711592852871e-09,8.018494668249332e-08,,0.0,6452080,20,6452080,6452080,0,3.943521218000569,3.9404489599974113,0.4848796370006312,0.0018878179998864653,5.181664,12569,10,10,
3,0.5776351226427975,,,,5.978767259051665e-09,7.668793955417641e-08,,0.0,6452080,20,6452080,6452080,0,3.755917208000028,3.752633229998537,0.4672189510001772,0.0020126489998801844,5.181664,12569,10,10,
4,0.5037905262552135,,,,6.142841790790499e-09,7.864277762337224e-08,,0.0,6452080,20,6452080,6452080,0,4.0402969209999355,4.037195885999608,0.49600572300005297,0.0019454670000413898,5.181664,12569,10,10,
5,0.42833525581126575,0.22178324762249246,0.9054395951929158,0.7783543365455893,6.019163389936466e-09,7.686253411520738e-08,0.0,0.0,6452080,20,6452080,6452080,0,4.056772894999995,4.053499540998928,0.497566316999837,0.0020355169999675127,5.181664,12569,10,10,
6,0.4001149290732247,,,,6.086932291538005e-09,7.75108333073149e-08,,0.0,6452080,20,6452080,6452080,0,3.862762988999748,3.859533401999215,0.47128961900034483,0.0020229760002621333,5.181664,12569,10,10,
7,0.35764332966911405,,,,6.083272996448841e-09,7.729018136615196e-08,,0.0,6452080,20,6452080,6452080,0,3.86993701099982,3.8667601879978974,0.4879665369999202,0.001979008000489557,5.181664,12569,10,10,
8,0.3161715982128529,,,,6.251839934634518e-09,7.926769285404589e-08,,0.0,6452080,20,6452080,6452080,0,3.797019411999827,3.7941725749997204,0.4767745149993061,0.0017631919999985257,5.181664,12569,10,10,
9,0.3204722097221089,,,,6.330196367088092e-09,8.017424590889277e-08,,0.0,6452080,20,6452080,6452080,0,3.819331119000708,3.816093410998292,0.4491911489994891,0.002020121999521507,5.181664,12569,10,10,
10,0.2790521204753896,0.1200972725589679,0.9544592030360531,0.8875,6.308683353495326e-09,7.979410554526112e-08,0.0,0.0,6452080,20,6452080,6452080,0,3.898896626000351,3.8943739560018003,0.49510309000015695,0.0027795549995062174,5.181664,12569,10,10,
11,0.28747113698460225,,,,6.274019082042059e-09,7.930186995963595e-08,,0.0,6452080,20,6452080,6452080,0,3.877531338999688,3.8745303250007055,0.47904340799959755,0.0018538069998612627,5.181664,12569,10,10,
