split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1078,39,5,243,0.9677655677655678,0.8617021276595744,0.9798387096774194,0.9169811320754717,0.03491495076096687,0.9724618794582263,1365,248,0.5,0.9979423571201663,0.9917579740808584,0.021477625120938718,0.07140969148706676
train,fixed,1,1004,13,11,237,0.9810276679841897,0.948,0.9556451612903226,0.9518072289156626,0.012782694198623401,0.9714312335458496,1265,248,0.5,0.9983189012592381,0.9935823904102874,0.01583546185708811,0.056655609449482204
train,fixed,2,780,45,4,244,0.9543336439888164,0.8442906574394463,0.9838709677419355,0.9087523277467412,0.05454545454545454,0.9646627565982404,1073,248,0.5,0.9960508308895406,0.987820805017479,0.029525083812230995,0.09302312626162111
train,fixed,3,1260,42,0,248,0.9729032258064516,0.8551724137931035,1.0,0.9219330855018587,0.03225806451612903,0.9838709677419355,1550,248,0.5,0.9997615331252168,0.9987921364250764,0.01830629783893736,0.06078323744487631
train,fixed,4,788,38,5,243,0.9599627560521415,0.8647686832740213,0.9798387096774194,0.9187145557655955,0.04600484261501211,0.9669169335312036,1074,248,0.5,0.9957480668593298,0.9866066008764166,0.028571359398254923,0.09395719197327183
train,fixed,5,1182,44,0,248,0.9701492537313433,0.8493150684931506,1.0,0.9185185185185185,0.03588907014681892,0.9820554649265905,1474,248,0.5,0.998394990264695,0.9920639842784839,0.02137357058381305,0.07167753704013012
train,fixed,6,1052,53,3,245,0.9586104951958611,0.8221476510067114,0.9879032258064516,0.8974358974358975,0.04796380090497738,0.9699697124507372,1353,248,0.5,0.9971062618595825,0.9880933050997128,0.029513294592025653,0.09567150308754738
train,fixed,7,778,33,13,235,0.9565627950897073,0.8768656716417911,0.9475806451612904,0.9108527131782945,0.040690505548705305,0.9534450698062925,1059,248,0.5,0.9953561910822958,0.9857057888923106,0.026773552483554935,0.08578825301558508
train,fixed,8,978,41,6,242,0.9629044988161011,0.8551236749116607,0.9758064516129032,0.911487758945386,0.040235525024533855,0.9677854632941847,1267,248,0.5,0.9977088543480326,0.9923525260892467,0.022965747020316535,0.07073308947166343
train,fixed,9,820,21,13,235,0.9687786960514233,0.91796875,0.9475806451612904,0.9325396825396826,0.02497027348394768,0.9613051858386714,1089,248,0.5,0.9967156994361551,0.9901995785986534,0.020263507696411703,0.06509489736385568
train,val_f1,0,1090,27,8,240,0.9743589743589743,0.898876404494382,0.967741935483871,0.9320388349514563,0.024171888988361683,0.9717850232477547,1365,248,0.6,0.9979423571201663,0.9917579740808584,0.021477625120938718,0.07140969148706676
train,val_f1,1,1011,6,19,229,0.9802371541501976,0.9744680851063829,0.9233870967741935,0.94824016563147,0.0058997050147492625,0.9587436958797222,1265,248,0.6,0.9983189012592381,0.9935823904102874,0.01583546185708811,0.056655609449482204
train,val_f1,2,790,35,6,242,0.961789375582479,0.8736462093862816,0.9758064516129032,0.9219047619047619,0.04242424242424243,0.9666911045943304,1073,248,0.6,0.9960508308895406,0.987820805017479,0.029525083812230995,0.09302312626162111
train,val_f1,3,1270,32,0,248,0.9793548387096774,0.8857142857142857,1.0,0.9393939393939394,0.02457757296466974,0.9877112135176651,1550,248,0.6,0.9997615331252168,0.9987921364250764,0.01830629783893736,0.06078323744487631
train,val_f1,4,797,29,6,242,0.9674115456238361,0.8929889298892989,0.9758064516129032,0.9325626204238922,0.035108958837772396,0.9703487463875654,1074,248,0.6,0.9957480668593298,0.9866066008764166,0.028571359398254923,0.09395719197327183
train,val_f1,5,1191,35,0,248,0.9762550881953868,0.8763250883392226,1.0,0.9340866290018832,0.028548123980424143,0.9857259380097879,1474,248,0.6,0.998394990264695,0.9920639842784839,0.02137357058381305,0.07167753704013012
