epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,0.0007029990665614605,0.009073606692254543,,0.5686517357826233,6452080,20,3871248,6452080,0,4.061331040000368,4.056320981995668,0.47230081700035953,0.0035089640005026013,0.5261664,12681,5,10,1.0
2,0.4536227905866802,,,,0.0012182696955278516,0.01569654792547226,,1.0370994806289673,6452080,20,5484268,6452080,0,3.7372044889998506,3.7322153860041,0.4525948390000849,0.0035882209995179437,0.5261664,12681,7,10,1.0
3,0.31260452439362296,,,,0.0014638826251029968,0.018797725439071655,,0.823265790939331,6452080,20,4839060,6452080,0,3.7279339209999307,3.7238267850007105,0.486253418999695,0.00284402599936584,0.5261664,12681,5,10,1.0
4,0.29838180466469966,,,,0.0014745777007192373,0.018935412168502808,,1.1521813869476318,6452080,20,5484268,6452080,0,4.101348133999636,4.096614399999453,0.4925592029994732,0.003392956999960006,0.5261664,12681,7,10,1.0
5,0.2644029488790516,0.22705846024981532,0.9295081967213115,0.8075201432408237,0.001771530951373279,0.022713424637913704,0.06194444444444445,0.8109405040740967,6452080,20,4516456,6452080,0,3.9552405790000194,3.951075489998402,0.45761037100055546,0.0028240859992365586,0.5261664,12681,4,10,1.0
6,0.2465912262722468,,,,0.0019073490984737873,0.024417517706751823,,1.0894654989242554,6452080,20,5161664,6452080,0,3.799779009001213,3.7953391459977865,0.4505985399991914,0.003169491001244751,0.5261664,12681,7,10,1.0
7,0.2169468729579631,,,,0.002082821913063526,0.026607835665345192,,1.1006284952163696,6452080,20,5161664,6452080,0,3.768407207000564,3.763685899999473,0.4731166760011547,0.003249312998377718,0.5261664,12681,6,10,1.0
8,0.1905381092120093,,,,0.0020854147151112556,0.026578659191727638,,1.4635998010635376,6452080,20,5161664,6452080,0,3.85089244899973,3.844996526999239,0.44997589999911725,0.0030796999999438412,0.5261664,12681,6,10,1.0
9,0.19412910423898797,,,,0.0021680172067135572,0.027592064812779427,,1.1459519863128662,6452080,20,5161664,6452080,0,3.735308854998948,3.7310770350031817,0.4403137660010543,0.0029829079994669883,0.5261664,12681,6,10,1.0
10,0.1703892964622483,0.15198284793437541,0.9560655737704918,0.8926282051282052,0.0021996544674038887,0.027933994308114052,0.03194444444444444,1.0507965087890625,6452080,20,5484268,6452080,0,3.6799460649999673,3.675748684003338,0.4532369110002037,0.002994293001393089,0.5261664,12681,7,10,1.0
11,0.15959390290875747,,,,0.00226330803707242,0.028698399662971497,,1.2315760850906372,6452080,20,4839060,6452080,0,3.6986157039991667,3.6944996019992686,0.46181562499987194,0.0029160660014895257,0.5261664,12681,5,10,1.0
12,0.14532906623687294,,,,0.0022189824376255274,0.028091685846447945,,1.3760195970535278,6452080,20,5161664,6452080,0,3.774400574999163,3.7703186300004745,0.43959635100145533,0.002867789000447374,0.5261664,12681,7,10,0.9999999999999997
13,0.15252299778685532,,,,0.0020467352587729692,0.025883078575134277,,1.260899543762207,6452080,20,6129476,6452080,0,3.848973780999586,3.844683603998419,0.4544728929995472,0.00291789999937464,0.5261664,12681,9,10,0.9673710108634365
14,0.12956087140600558,,,,0.002125687664374709,0.02684001252055168,,1.078320860862732,6452080,20,5161664,6452080,0,3.6820632799990562,3.677825318000032,0.4347127389992238,0.0030664139994769357,0.5261664,12681,6,10,1.0
15,0.14644056004728376,0.1073811388501416,0.9613114754098361,0.9063492063492063,0.0020153664518147707,0.0254313126206398,0.02486111111111111,1.299891710281372,6452080,20,5806872,6452080,0,3.9130068699996627,3.908724622006048,0.4786909150006977,0.0029820859999745153,0.5261664,12681,9,10,0.9673710108634356
16,0.14196964491996072,,,,0.002301896456629038,0.02901751920580864,,0.8594056367874146,6452080,20,4516456,6452080,0,3.796269657999801,3.792050078001921,0.4237815079995926,0.002980531000503106,0.5261664,12681,4,10,1.0
17,0.12937873548487047,,,,0.002235526219010353,0.028148813173174858,,1.2470035552978516,6452080,20,5161664,6452080,0,3.906822168000872,3.9028054540012818,0.4597380080012954,0.0027883530001417967,0.5261664,12681,7,10,1.0
18,0.12990202299833356,,,,0.0024111089296638966,0.030323756858706474,,0.9955308437347412,6452080,20,5161664,6452080,0,4.039976759000638,4.035682136001924,0.4760498700015887,0.0030515190010191873,0.5261664,12681,6,10,1.0
19,0.12315249621350095,,,,0.00238563260063529,0.029978934675455093,,1.1131383180618286,6452080,20,5484268,6452080,0,4.094911442998637,4.09034754700042,0.4962717660000635,0.003279922999354312,0.5261664,12681,7,10,1.0
20,0.11865076036593347,0.10025458177323564,0.9626229508196721,0.9080645161290323,0.002529297722503543,0.03174719959497452,0.02361111111111111,1.03984797000885,6452080,20,5161664,6452080,0,3.904408107000563,3.900122632001512,0.45824101899961533,0.0030388619998120703,0.5261664,12681,6,10,1.0
21,0.1315518145866678,,,,0.002539305482059717,0.03185466676950455,,1.3026906251907349,6452080,20,4193852,6452080,0,3.6815598760003923,3.6769571820022975,0.4386315610008751,0.003366225999343442,0.5261664,12681,4,10,1.0
22,0.1191335103390879,,,,0.0024728395510464907,0.030988460406661034,,1.3168971538543701,6452080,20,4193852,6452080,0,3.840235350000512,3.8359950709964323,0.44265659600023355,0.0029751620004390134,0.5261664,12681,5,10,1.0
23,0.12492981532030234,,,,0.0022466436494141817,0.02813345193862915,,1.3802826404571533,6452080,20,5806872,6452080,0,3.724820206000004,3.720346707994395,0.4415385289994447,0.0031083270005183294,0.5261664,12681,8,10,1.0000000000000002
24,0.1083374515296968,,,,0.002575323451310396,0.03221431374549866,,1.181447982788086,6452080,20,4193852,6452080,0,4.040332862001378,4.036082212003748,0.4943349799996213,0.002984298998853774,0.5261664,12681,4,10,1.0
25,0.10487798114934788,0.0941036635164393,0.9642622950819673,0.9113100081366965,0.002518936526030302,0.03146973252296448,0.03027777777777778,1.4069722890853882,6452080,20,5161664,6452080,0,4.130786747000457,4.1268184519994975,0.4723486689999845,0.0028045540002494818,0.5261664,12681,6,10,1.0
26,0.10694422002843573,,,,0.00261165970005095,0.032602179795503616,,1.297374963760376,6452080,20,3871248,6452080,0,4.132445376999385,4.128242427999794,0.48636807699949713,0.0029552030009654118,0.5261664,12681,4,10,1.0
