split,node,engines,windows,positive,positive_fraction
train,0,8,1131,248,0.21927497789566755
train,1,8,1408,248,0.17613636363636365
train,2,8,1337,248,0.1854899027673897
train,3,8,1247,248,0.19887730553327987
train,4,8,1181,248,0.20999153259949196
train,5,8,1083,248,0.22899353647276086
train,6,8,1191,248,0.20822837951301426
train,7,8,1199,248,0.20683903252710592
train,8,8,1385,248,0.17906137184115523
train,9,8,1519,248,0.16326530612244897
validation,0,2,340,62,0.18235294117647058
validation,1,2,328,62,0.18902439024390244
validation,2,2,349,62,0.17765042979942694
validation,3,2,265,62,0.2339622641509434
validation,4,2,255,62,0.24313725490196078
validation,5,2,277,62,0.22382671480144403
validation,6,2,325,62,0.19076923076923077
validation,7,2,317,62,0.19558359621451105
validation,8,2,404,62,0.15346534653465346
validation,9,2,190,62,0.3263157894736842
test,0,10,903,52,0.05758582502768549
test,1,10,991,57,0.05751765893037336
test,2,10,772,29,0.03756476683937824
test,3,9,737,31,0.04206241519674356
test,4,9,735,28,0.0380952380952381
test,5,9,865,24,0.027745664739884393
test,6,9,740,13,0.01756756756756757
test,7,9,786,13,0.01653944020356234
test,8,9,897,54,0.06020066889632107
test,9,9,829,31,0.03739445114595899
