split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,868,15,7,241,0.9805481874447391,0.94140625,0.9717741935483871,0.9563492063492064,0.01698754246885617,0.9773933255397655,1131,248,0.5,0.9986072041793007,0.995559899241402,0.013713452019947482,0.04841062488428449
train,fixed,1,1160,0,18,230,0.9872159090909091,1.0,0.9274193548387096,0.9623430962343096,0.0,0.9637096774193548,1408,248,0.5,0.9996419632925473,0.9983713970674556,0.009959213382826322,0.03569428930180454
train,fixed,2,1076,13,10,238,0.9827973074046372,0.9482071713147411,0.9596774193548387,0.9539078156312625,0.011937557392102846,0.9738699309813679,1337,248,0.5,0.9986151840990551,0.9944570364099512,0.013932093367442973,0.051791678824001354
train,fixed,3,988,11,12,236,0.9815557337610264,0.9554655870445344,0.9516129032258065,0.9535353535353536,0.011011011011011011,0.9703009461073977,1247,248,0.5,0.9984742807323452,0.994461401553872,0.013248874055337494,0.04751905850632997
train,fixed,4,905,28,8,240,0.9695173581710415,0.8955223880597015,0.967741935483871,0.9302325581395349,0.030010718113612004,0.9688656086851295,1181,248,0.5,0.9973852988970715,0.991179659792964,0.02115718973007602,0.07173445032602338
train,fixed,5,816,19,8,240,0.9750692520775623,0.9266409266409267,0.967741935483871,0.9467455621301775,0.022754491017964073,0.9724937222329535,1083,248,0.5,0.9976385937801815,0.9921346536826107,0.017298205826991705,0.056647487729849635
train,fixed,6,931,12,21,227,0.9722921914357683,0.9497907949790795,0.9153225806451613,0.9322381930184805,0.012725344644750796,0.9512986180002052,1191,248,0.5,0.9974899941846543,0.9908344389684152,0.017926051035480724,0.05632444399735633
train,fixed,7,942,9,6,242,0.987489574645538,0.9641434262948207,0.9758064516129032,0.969939879759519,0.00946372239747634,0.9831713646077134,1199,248,0.5,0.9993300769987449,0.9975791780457228,0.009364112844658394,0.035137009840706626
train,fixed,8,1110,27,20,228,0.9660649819494584,0.8941176470588236,0.9193548387096774,0.9065606361829026,0.023746701846965697,0.9478040684313558,1385,248,0.5,0.9944215110505858,0.976862714813783,0.02443830771067007,0.07650043441806753
train,fixed,9,1260,11,43,205,0.9644502962475313,0.9490740740740741,0.8266129032258065,0.8836206896551724,0.00865460267505901,0.9089791502753737,1519,248,0.5,0.995396690439329,0.9780110981100989,0.022089950043834048,0.07236889591593187
train,val_f1,0,878,5,12,236,0.9849690539345711,0.979253112033195,0.9516129032258065,0.9652351738241309,0.0056625141562853904,0.9729751945347606,1131,248,0.65,0.9986072041793007,0.995559899241402,0.013713452019947482,0.04841062488428449
train,val_f1,1,1160,0,31,217,0.9779829545454546,1.0,0.875,0.9333333333333333,0.0,0.9375,1408,248,0.65,0.9996419632925473,0.9983713970674556,0.009959213382826322,0.03569428930180454
train,val_f1,2,1086,3,19,229,0.9835452505609573,0.9870689655172413,0.9233870967741935,0.9541666666666667,0.0027548209366391185,0.9603161379187772,1337,248,0.65,0.9986151840990551,0.9944570364099512,0.013932093367442973,0.051791678824001354
train,val_f1,3,996,3,16,232,0.9847634322373697,0.9872340425531915,0.9354838709677419,0.9606625258799172,0.003003003003003003,0.9662404339823694,1247,248,0.65,0.9984742807323452,0.994461401553872,0.013248874055337494,0.04751905850632997
train,val_f1,4,914,19,11,237,0.9745977984758679,0.92578125,0.9556451612903226,0.9404761904761905,0.020364415862808145,0.9676403727137572,1181,248,0.65,0.9973852988970715,0.991179659792964,0.02115718973007602,0.07173445032602338
