epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5524046737629573,,,,0.0004923403030261397,0.006354026962071657,,0.7457283735275269,6452080,20,6452080,6452080,0,4.008000066000022,4.002722218001509,0.4706134240004758,0.003775392000534339,0.5261664,12681,10,10,0.8726779962499653
2,0.4432233806956785,,,,0.0008678056765347719,0.01117921806871891,,1.1877413988113403,6452080,20,6452080,6452080,0,3.773448616000678,3.7692714970016823,0.45674832400072773,0.00291508500049531,0.5261664,12681,10,10,0.8726779962499653
3,0.3093665195973841,,,,0.000982567435130477,0.01261954102665186,,0.908973753452301,6452080,20,6452080,6452080,0,3.9321008999995684,3.9275920709987986,0.5152316259991494,0.0032031030004873173,0.5261664,12681,10,10,0.8726779962499653
4,0.3014536651397311,,,,0.0012472481466829777,0.01601668819785118,,1.0950961112976074,6452080,20,6452080,6452080,0,3.9915604990001157,3.9870673439982056,0.48570480099988345,0.0032322910010407213,0.5261664,12681,10,10,0.8726779962499653
5,0.2484930398964082,0.2020348257107298,0.9350819672131148,0.8238434163701067,0.0011827051639556885,0.015161320567131042,0.06638888888888889,1.0071007013320923,6452080,20,6452080,6452080,0,4.137975256000573,4.1335632629998145,0.507854812000005,0.0031261660005839076,0.5261664,12681,10,10,0.8726779962499653
6,0.24526968381085518,,,,0.0013630661414936185,0.017445331439375877,,0.9483584761619568,6452080,20,6452080,6452080,0,4.1591691539997555,4.154269224996824,0.5575104409999767,0.003309130999696208,0.5261664,12681,10,10,0.8726779962499653
7,0.21898482109564724,,,,0.0013725393218919635,0.017528202384710312,,1.0802874565124512,6452080,20,6452080,6452080,0,3.8072357609999017,3.802711136997459,0.4759851629987679,0.0030876420005370164,0.5261664,12681,10,10,0.8726779962499653
8,0.19207952421959273,,,,0.001437505823560059,0.018315067514777184,,1.0559173822402954,6452080,20,6452080,6452080,0,3.91163115100062,3.907136889996764,0.48652607499934675,0.003254276998632122,0.5261664,12681,10,10,0.8726779962499653
9,0.18907883701764752,,,,0.001446595648303628,0.018402744084596634,,1.0962855815887451,6452080,20,6452080,6452080,0,4.07235222700001,4.067832639000699,0.4897250930007431,0.003074983000260545,0.5261664,12681,10,10,0.8726779962499653
10,0.1700372389367914,0.13247655176989737,0.9642622950819673,0.9107289107289107,0.0014474780764430761,0.01838369481265545,0.027083333333333334,0.9711002111434937,6452080,20,6452080,6452080,0,4.127654969999639,4.12310171599529,0.5320408009993116,0.0032517729996470734,0.5261664,12681,10,10,0.8726779962499653
11,0.1561730193118245,,,,0.001412982470355928,0.017921874299645424,,1.167529582977295,6452080,20,6452080,6452080,0,3.9499779699999635,3.9447158930033766,0.46268207899993286,0.003683406999698491,0.5261664,12681,10,10,0.8726779962499653
12,0.15254304869537272,,,,0.0013852753909304738,0.017547382041811943,,1.0489345788955688,6452080,20,6452080,6452080,0,3.960337182999865,3.956129845997566,0.473828008000055,0.0030493289996229578,0.5261664,12681,10,10,0.8726779962499653
13,0.14345060845777868,,,,0.0014414910692721605,0.018237462267279625,,1.1813956499099731,6452080,20,6452080,6452080,0,4.064904890001344,4.060704035000526,0.46293090500148537,0.002939023999715573,0.5261664,12681,10,10,0.8726779962499653
14,0.13997140522626514,,,,0.0014346953248605132,0.01812436245381832,,1.1669625043869019,6452080,20,6452080,6452080,0,3.9778957679991436,3.973317832002067,0.4851285610002378,0.0032128650000231573,0.5261664,12681,10,10,0.8726779962499653
15,0.14050350831086372,0.1030860324261037,0.9649180327868853,0.9093988145639289,0.0014205193147063255,0.017935974523425102,0.021805555555555557,1.2013241052627563,6452080,20,6452080,6452080,0,4.087187193999853,4.082848328998807,0.4796690170005604,0.003075765000176034,0.5261664,12681,10,10,0.8726779962499653
16,0.14028799379180867,,,,0.001524336519651115,0.01922711916267872,,1.206957221031189,6452080,20,6452080,6452080,0,3.752781410999887,3.7483971299989207,0.4383043429988902,0.00316260999898077,0.5261664,12681,10,10,0.8726779962499653
17,0.13034984748606904,,,,0.0015097885625436902,0.019034717231988907,,1.1416934728622437,6452080,20,6452080,6452080,0,3.9180642730007094,3.9138084589940263,0.47115395099899615,0.0029918150012235856,0.5261664,12681,10,10,0.8726779962499653
18,0.12811863814113716,,,,0.0015537719009444118,0.019562872126698494,,1.212830662727356,6452080,20,6452080,6452080,0,3.80070007500035,3.79647564300285,0.4545632660010597,0.0029518490009650122,0.5261664,12681,10,10,0.8726779962499653
19,0.12061607246669408,,,,0.001571204513311386,0.01976597309112549,,1.145391821861267,6452080,20,6452080,6452080,0,3.871753573001115,3.86757139400288,0.47691379800016875,0.0029053359994577477,0.5261664,12681,10,10,0.8726779962499653
20,0.12152347409201796,0.09522412681814442,0.9675409836065574,0.9185185185185185,0.001626328332349658,0.02044062875211239,0.02013888888888889,1.1862221956253052,6452080,20,6452080,6452080,0,4.084971628000858,4.080349034002211,0.5103238579995377,0.0032905319985729875,0.5261664,12681,10,10,0.8726779962499653
21,0.11548105337050082,,,,0.0016503952210769057,0.020730407908558846,,1.1946535110473633,6452080,20,6452080,6452080,0,4.256252962999497,4.251952009997694,0.5010866459997487,0.0030525479996867944,0.5261664,12681,10,10,0.8726779962499653
22,0.12346484009139642,,,,0.0016734966775402427,0.02099701575934887,,1.2580910921096802,6452080,20,6452080,6452080,0,3.9995536639999045,3.9952818600013416,0.4945353500006604,0.0030260250005085254,0.5261664,12681,10,10,0.8726779962499653
23,0.12261376703259444,,,,0.001714732963591814,0.021502388641238213,,1.2942625284194946,6452080,20,6452080,6452080,0,3.8858614380005747,3.8812878860007913,0.45353919100125495,0.003247231999921496,0.5261664,12681,10,10,0.8726779962499653
24,0.11319001945331938,,,,0.001740962266921997,0.02180902101099491,,1.1760845184326172,6452080,20,6452080,6452080,0,3.8746079039992765,3.8681668569988688,0.4858342139996239,0.005212136000409373,0.5261664,12681,10,10,0.8726779962499653
25,0.121332154752816,0.09377167379270245,0.9655737704918033,0.9145646867371847,0.0017503194976598024,0.02190815471112728,0.018194444444444444,1.1338965892791748,6452080,20,6452080,6452080,0,3.9185057659997256,3.9141059559988207,0.5030547860005754,0.003040892999706557,0.5261664,12681,10,10,0.8726779962499653
26,0.11019398347032017,,,,0.001782235107384622,0.022292818874120712,,1.335278868675232,6452080,20,6452080,6452080,0,4.213820058999772,4.20939406999787,0.4942722159994446,0.0029385520010691835,0.5261664,12681,10,10,0.8726779962499653
27,0.1220960668418762,,,,0.0018821294652298093,0.023518089205026627,,1.1859527826309204,6452080,20,6452080,6452080,0,3.9480776310010697,3.943599386997448,0.4634246349996829,0.003197833000740502,0.5261664,12681,10,10,0.8726779962499653
28,0.11347402354392173,,,,0.001846754108555615,0.023054663091897964,,1.2877775430679321,6452080,20,6452080,6452080,0,4.0889679880001495,4.0843617059981625,0.4839337149987841,0.003254244000345352,0.5261664,12681,10,10,0.8726779962499653
29,0.10564277216233027,,,,0.001850625267252326,0.023091932758688927,,1.2656357288360596,6452080,20,6452080,6452080,0,3.815540030000193,3.811427985998307,0.4565633229995001,0.0029311849993973738,0.5261664,12681,10,10,0.8726779962499653
30,0.11080811009634266,0.09017235492905928,0.9652459016393443,0.9146537842190016,0.001852941932156682,0.02309742197394371,0.010277777777777778,1.2291110754013062,6452080,20,6452080,6452080,0,3.789344540999082,3.784872328998972,0.4693294330008939,0.0030829339993942995,0.5261664,12681,10,10,0.8726779962499653
31,0.09920096911165097,,,,0.0018978051375597715,0.02362644486129284,,1.2514032125473022,6452080,20,6452080,6452080,0,4.003443068000706,3.9986618519997137,0.5035808259999612,0.00324007699964568,0.5261664,12681,10,10,0.8726779962499653
32,0.09526732899844914,,,,0.0019418841693550348,0.024146270006895065,,1.425006628036499,6452080,20,6452080,6452080,0,4.087628196000878,4.08316666599967,0.5619669440002326,0.003195797000444145,0.5261664,12681,10,10,0.8726779962499653
33,0.10384114338764214,,,,0.0019432456465438008,0.024146804586052895,,1.4039212465286255,6452080,20,6452080,6452080,0,3.9130467859995406,3.9084003179978026,0.4794535189994349,0.003263841001171386,0.5261664,12681,10,10,0.8726779962499653
34,0.09596393341449405,,,,0.001957021187990904,0.024295147508382797,,1.3475919961929321,6452080,20,6452080,6452080,0,4.179182324000067,4.17492862600011,0.4802172059989971,0.0030224460006138543,0.5261664,12681,10,10,0.8726779962499653
35,0.09855425070236762,0.08023611820059547,0.9678688524590164,0.9192751235584844,0.002006402239203453,0.02488749660551548,0.0125,1.3753139972686768,6452080,20,6452080,6452080,0,4.071018462000211,4.0666063870012295,0.5061072789994796,0.0031123990011110436,0.5261664,12681,10,10,0.8726779962499653
36,0.09816145109773662,,,,0.0019136720802634954,0.023713398724794388,,1.2270216941833496,6452080,20,6452080,6452080,0,4.024447120000332,4.019930274000217,0.4833014080013527,0.0031601080008840654,0.5261664,12681,10,10,0.8726779962499653
37,0.09729025664787894,,,,0.0019762676674872637,0.02447490021586418,,1.3744256496429443,6452080,20,6452080,6452080,0,3.823065939999651,3.8188750759982213,0.4567673500005185,0.002921236999100074,0.5261664,12681,10,10,0.8726779962499653
38,0.09566870945363168,,,,0.0019846372306346893,0.024556946009397507,,1.2786424160003662,6452080,20,6452080,6452080,0,3.8504490750001423,3.8461061110010633,0.47206164700037334,0.0030962309992901282,0.5261664,12681,10,10,0.8726779962499653
39,0.09450656552345765,,,,0.0019814136903733015,0.024490976706147194,,1.2246025800704956,6452080,20,6452080,6452080,0,3.762055244000294,3.7573015930011024,0.45107893900058116,0.003330068000650499,0.5261664,12681,10,10,0.8726779962499653
40,0.0895174855082694,0.07077365626793927,0.9757377049180328,0.9393442622950819,0.0019976336043328047,0.02466759830713272,0.017361111111111112,1.3009693622589111,6452080,20,6452080,6452080,0,4.301095668999551,4.296972719999758,0.4964893460000894,0.0029680699990422,0.5261664,12681,10,10,0.8726779962499653
41,0.09079317914621561,,,,0.001977307489141822,0.024387307465076447,,1.3592830896377563,6452080,20,6452080,6452080,0,4.0800654999984545,4.075680480000301,0.4736961729995528,0.003063243999349652,0.5261664,12681,10,10,0.8726779962499653
42,0.08732084168955617,,,,0.0020260601304471493,0.024963241070508957,,1.4241639375686646,6452080,20,6452080,6452080,0,4.027511047001099,4.023636638996322,0.4909040570000798,0.002745859999777167,0.5261664,12681,10,10,0.8726779962499653
43,0.09098458970886976,,,,0.002067594788968563,0.025448033586144447,,1.3604700565338135,6452080,20,6452080,6452080,0,3.7856933620005293,3.781180673002382,0.45780285299952084,0.003226306000215118,0.5261664,12681,10,10,0.8726779962499653
44,0.08486740687081275,,,,0.002107823733240366,0.025923896580934525,,1.414710521697998,6452080,20,6452080,6452080,0,3.744386629001383,3.739976848002698,0.44727149900063523,0.003131739000309608,0.5261664,12681,10,10,0.8726779962499653
45,0.08714596084084422,0.07392070578432097,0.9695081967213115,0.9271730618637432,0.002138847718015313,0.026271678507328033,0.007638888888888889,1.3993592262268066,6452080,20,6452080,6452080,0,3.7937627819992485,3.7893857680010115,0.44370966300084547,0.0030941929999244167,0.5261664,12681,10,10,0.8726779962499653
46,0.0909308969214733,,,,0.0021205644588917494,0.026035446673631668,,1.3704739809036255,6452080,20,6452080,6452080,0,3.7400277760007157,3.735422739997375,0.4465131270007987,0.003277567000623094,0.5261664,12681,10,10,0.8726779962499653
47,0.08764681659739197,,,,0.0021450116764754057,0.026294035837054253,,1.419095754623413,6452080,20,6452080,6452080,0,4.029151173999708,4.024572232998253,0.4926048549987172,0.003273868998803664,0.5261664,12681,10,10,0.8726779962499653
