epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5612791801748186,,,,0.0007286866311915219,0.009406372904777527,,1.433296799659729,6452080,20,6452080,6452080,0,3.51052134100064,3.505805279000924,0.5888641550009197,0.003433519999816781,0.5261664,12681,10,10,0.8726779962499653
2,0.45052379022412536,,,,0.0012992717092856765,0.01673487387597561,,2.5212628841400146,6452080,20,6452080,6452080,0,3.4616618609998113,3.4571206839937076,0.6047111520001636,0.003206528999726288,0.5261664,12681,10,10,0.8726779962499653
3,0.31336190295710575,,,,0.001347745070233941,0.017302198335528374,,1.0782191753387451,6452080,20,6452080,6452080,0,3.3327359760005493,3.3286453790005908,0.5445109470001626,0.002818879000187735,0.5261664,12681,10,10,0.8726779962499653
4,0.295764725550868,,,,0.0014854572946205735,0.019065268337726593,,1.2334067821502686,6452080,20,6452080,6452080,0,3.2636438669997005,3.259412298000825,0.5220916520011087,0.003018842000528821,0.5261664,12681,10,10,0.8726779962499653
5,0.25815697404054166,0.1926319114114071,0.9298360655737705,0.8274193548387097,0.001546991290524602,0.01982933096587658,0.05444444444444444,1.1461564302444458,6452080,20,6452080,6452080,0,3.353937189000135,3.349579342000652,0.5547133529998973,0.003137033998427796,0.5261664,12681,10,10,0.8726779962499653
6,0.2588344777943721,,,,0.0017087580636143684,0.021878309547901154,,1.164785623550415,6452080,20,6452080,6452080,0,3.365985566000745,3.361305533999257,0.5318174869989889,0.0033235450009669876,0.5261664,12681,10,10,0.8726779962499653
7,0.2070120916322152,,,,0.0016855781432241201,0.021536314859986305,,1.304033637046814,6452080,20,6452080,6452080,0,3.4018446850004693,3.3975124190019415,0.576500079001562,0.0031026489996293094,0.5261664,12681,10,10,0.8726779962499653
8,0.21043434193667027,,,,0.0017152478685602546,0.021890787407755852,,1.3634814023971558,6452080,20,6452080,6452080,0,3.4597471699999005,3.455655689998821,0.5530281209994428,0.00290497000059986,0.5261664,12681,10,10,0.8726779962499653
9,0.19495224152893129,,,,0.0017749948892742395,0.022614547982811928,,1.254058837890625,6452080,20,6452080,6452080,0,3.373210915000527,3.368947422000929,0.5768530679997639,0.0030541659998561954,0.5261664,12681,10,10,0.8726779962499653
10,0.17947461212865276,0.14815669624645292,0.9452459016393443,0.8636734693877551,0.0019390537636354566,0.02465972490608692,0.035694444444444445,1.2667551040649414,6452080,20,6452080,6452080,0,3.449184746001265,3.4447678470023675,0.5543309910008247,0.0031932149995554937,0.5261664,12681,10,10,0.8726779962499653
11,0.17041814546775957,,,,0.0019352362724021077,0.024567456915974617,,1.328625202178955,6452080,20,6452080,6452080,0,3.5191553160002513,3.514557809996404,0.6054360059988539,0.002964878998682252,0.5261664,12681,10,10,0.8726779962499653
12,0.1625535630649341,,,,0.002095842035487294,0.026562104001641273,,1.3886690139770508,6452080,20,6452080,6452080,0,3.4843277749987465,3.4798571019964584,0.5697807630003808,0.003223916999559151,0.5261664,12681,10,10,0.8726779962499653
13,0.16117533593006877,,,,0.002082496415823698,0.02636474370956421,,1.3175183534622192,6452080,20,6452080,6452080,0,3.4176751490012975,3.4133268629993836,0.5743049169996084,0.0030622169997513993,0.5261664,12681,10,10,0.8726779962499653
14,0.15080672610388662,,,,0.002231284976005554,0.028197864070534706,,1.404157280921936,6452080,20,6452080,6452080,0,3.5437562609986344,3.535005498000828,0.5813069070009078,0.006382872999893152,0.5261664,12681,10,10,0.8726779962499653
15,0.14587793354538509,0.13012541911753522,0.9449180327868852,0.865814696485623,0.0022448785603046417,0.028333665803074837,0.03805555555555556,1.5406559705734253,6452080,20,6452080,6452080,0,3.5830892810008663,3.5787687590000132,0.580983281999579,0.003066497998588602,0.5261664,12681,10,10,0.8726779962499653
16,0.1508402300888904,,,,0.002239247551187873,0.028236575424671173,,1.4552114009857178,6452080,20,6452080,6452080,0,3.376963878999959,3.371445036997102,0.556872946999647,0.003947174998756964,0.5261664,12681,10,10,0.8726779962499653
17,0.13570822427909673,,,,0.0023986874148249626,0.030201759189367294,,1.5389586687088013,6452080,20,6452080,6452080,0,3.4136788670002716,3.409279392000826,0.5456328920008673,0.003087463001065771,0.5261664,12681,10,10,0.8726779962499653
