split,node,engines,windows,positive,positive_fraction
train,0,8,890,248,0.2786516853932584
train,1,8,1706,248,0.14536928487690504
train,2,8,762,248,0.32545931758530183
train,3,8,2091,248,0.11860353897656624
train,4,8,1445,248,0.17162629757785466
train,5,8,1210,248,0.2049586776859504
train,6,8,1167,248,0.2125107112253642
train,7,8,1301,248,0.19062259800153727
train,8,8,1009,248,0.24578790882061446
train,9,8,1100,248,0.22545454545454546
validation,0,2,340,62,0.18235294117647058
validation,1,2,328,62,0.18902439024390244
validation,2,2,349,62,0.17765042979942694
validation,3,2,265,62,0.2339622641509434
validation,4,2,255,62,0.24313725490196078
validation,5,2,277,62,0.22382671480144403
validation,6,2,325,62,0.19076923076923077
validation,7,2,317,62,0.19558359621451105
validation,8,2,404,62,0.15346534653465346
validation,9,2,190,62,0.3263157894736842
test,0,10,903,52,0.05758582502768549
test,1,10,991,57,0.05751765893037336
test,2,10,772,29,0.03756476683937824
test,3,9,737,31,0.04206241519674356
test,4,9,735,28,0.0380952380952381
test,5,9,865,24,0.027745664739884393
test,6,9,740,13,0.01756756756756757
test,7,9,786,13,0.01653944020356234
test,8,9,897,54,0.06020066889632107
test,9,9,829,31,0.03739445114595899
