split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,853,30,3,245,0.9708222811671088,0.8909090909090909,0.9879032258064516,0.9369024856596558,0.03397508493771234,0.9769640704343696,1131,248,0.5,0.9985843714609286,0.9953670214170505,0.01956266557243764,0.06523489059816859
train,fixed,1,1157,3,19,229,0.984375,0.9870689655172413,0.9233870967741935,0.9541666666666667,0.002586206896551724,0.9604004449388208,1408,248,0.5,0.999047552836485,0.9958339581437622,0.011377420057317778,0.041245448116202794
train,fixed,2,1069,20,13,235,0.975317875841436,0.9215686274509803,0.9475806451612904,0.9343936381709742,0.018365472910927456,0.9646075861251815,1337,248,0.5,0.9967971503895258,0.9883882668953089,0.018541252878510356,0.06424888828892546
train,fixed,3,993,6,31,217,0.9703287890938251,0.9730941704035875,0.875,0.921443736730361,0.006006006006006006,0.934496996996997,1247,248,0.5,0.9972432109528884,0.9896663511168645,0.019526889623876824,0.0643091676938237
train,fixed,4,912,21,14,234,0.9703640982218459,0.9176470588235294,0.9435483870967742,0.9304174950298211,0.022508038585209004,0.9605201742557826,1181,248,0.5,0.997234035196902,0.9904916597977936,0.018977296205897436,0.06637315083477406
train,fixed,5,831,4,10,238,0.987072945521699,0.9834710743801653,0.9596774193548387,0.9714285714285714,0.004790419161676647,0.9774435000965811,1083,248,0.5,0.9994736333784046,0.9982683857338572,0.011332438551120233,0.04488269825972742
train,fixed,6,941,2,22,226,0.9798488664987406,0.9912280701754386,0.9112903225806451,0.9495798319327731,0.0021208907741251328,0.95458471590326,1191,248,0.5,0.9980800807306811,0.9934474866957212,0.015331653922109851,0.053617320359417735
train,fixed,7,942,9,18,230,0.9774812343619683,0.9623430962343096,0.9274193548387096,0.944558521560575,0.00946372239747634,0.9589778162206166,1199,248,0.5,0.9983039924018859,0.993679573457493,0.017337396508252407,0.07051924847406042
train,fixed,8,1093,44,9,239,0.9617328519855596,0.8445229681978799,0.9637096774193549,0.9001883239171374,0.03869832893579595,0.9625056742417795,1385,248,0.5,0.9963826708656056,0.9856669686827921,0.024694291872665156,0.0778134374311121
train,fixed,9,1247,24,19,229,0.9716919025674786,0.9051383399209486,0.9233870967741935,0.9141716566866267,0.01888276947285602,0.9522521636506687,1519,248,0.5,0.9955838684297353,0.9786507883266333,0.01984298287335617,0.06675414764901315
