epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,0.0005099509726278484,0.00658191554248333,,0.7814024090766907,6452080,20,6452080,6452080,0,3.913011654999991,3.908158390999688,0.47506790199997795,0.0036275190000196744,0.5261664,12681,10,10,0.8726779962499653
2,0.4541909771258384,,,,0.0009215755853801966,0.011873803101480007,,1.3004206418991089,6452080,20,6452080,6452080,0,3.7474524550000297,3.7433655130004126,0.46603317900007823,0.0029604720000406815,0.5261664,12681,10,10,0.8726779962499653
3,0.3111694684841244,,,,0.0010604565031826496,0.013614942319691181,,0.9467652440071106,6452080,20,6452080,6452080,0,3.6010776390000956,3.596912826999983,0.4260507939999343,0.003022112000053312,0.5261664,12681,10,10,0.8726779962499653
4,0.30184525914969185,,,,0.0012068306095898151,0.015494187362492085,,1.3201018571853638,6452080,20,6452080,6452080,0,3.811222290999922,3.8070838309998862,0.4322052759999906,0.0030215120000320894,0.5261664,12681,10,10,0.8726779962499653
5,0.2596845696722382,0.19506725273201705,0.9350819672131148,0.8166666666666667,0.0012367521412670612,0.015852976590394974,0.04416666666666667,0.9486263394355774,6452080,20,6452080,6452080,0,3.7848867679999785,3.7807532799997716,0.4590561489999345,0.0028915329999108508,0.5261664,12681,10,10,0.8726779962499653
6,0.24185389709868715,,,,0.001411154167726636,0.018060455098748207,,1.0544593334197998,6452080,20,6452080,6452080,0,3.8524542919999476,3.8483721420000165,0.4707267539999975,0.0029075350000766775,0.5261664,12681,10,10,0.8726779962499653
7,0.21660266277918652,,,,0.00150499667506665,0.019222114235162735,,1.1453946828842163,6452080,20,6452080,6452080,0,4.024998545000017,4.020887716000061,0.48318199400000594,0.002921860000014931,0.5261664,12681,10,10,0.8726779962499653
8,0.20366863146254474,,,,0.0015855215024203062,0.02020692452788353,,1.042829990386963,6452080,20,6452080,6452080,0,3.891699172000017,3.887380492000034,0.45438652000007096,0.0031825629999957528,0.5261664,12681,10,10,0.8726779962499653
9,0.1895311585393494,,,,0.0016211887123063207,0.020623601973056793,,1.140912413597107,6452080,20,6452080,6452080,0,3.685406407999949,3.681073824999885,0.4828456970000161,0.00316299100006745,0.5261664,12681,10,10,0.8726779962499653
10,0.16538149123113827,0.14934767033113266,0.9498360655737705,0.874487284659557,0.0016710548661649227,0.021213212981820107,0.03625,1.0344479084014893,6452080,20,6452080,6452080,0,4.029039707999914,4.024697054999706,0.47477217399989513,0.0031812959999797386,0.5261664,12681,10,10,0.8726779962499653
11,0.1637547356485692,,,,0.001646043499931693,0.020870724692940712,,1.1188256740570068,6452080,20,6452080,6452080,0,4.017560303999971,4.013112441000089,0.5096697700000732,0.003132355999923675,0.5261664,12681,10,10,0.8726779962499653
12,0.1470327599405654,,,,0.0017179304268211126,0.021740863099694252,,1.2647649049758911,6452080,20,6452080,6452080,0,3.906631940000011,3.9024516309999626,0.45969516800005294,0.0030524499999273758,0.5261664,12681,10,10,0.8726779962499653
13,0.14590975039831616,,,,0.0016650627367198467,0.021051710471510887,,1.1977566480636597,6452080,20,6452080,6452080,0,4.065338806999989,4.061145342000259,0.4602167379999855,0.0030097119999936695,0.5261664,12681,10,10,0.8726779962499653
14,0.14035518956698742,,,,0.0016267728060483932,0.02054509148001671,,1.1964200735092163,6452080,20,6452080,6452080,0,3.7129803469999842,3.7087728100001414,0.4264707920000319,0.0030681709999953455,0.5261664,12681,10,10,0.8726779962499653
15,0.1404895877536957,0.10039833232540704,0.9652459016393443,0.9112227805695142,0.0016673995414748788,0.021038809791207314,0.02652777777777778,1.206490159034729,6452080,20,6452080,6452080,0,3.7990685760000815,3.7949096100003317,0.4147130650000008,0.0029294109999682405,0.5261664,12681,10,10,0.8726779962499653
16,0.1381008722683787,,,,0.0017157073598355055,0.02162412740290165,,1.147788166999817,6452080,20,6452080,6452080,0,4.152970144000051,4.148206751999965,0.4974644220000073,0.003443298000092909,0.5261664,12681,10,10,0.8726779962499653
17,0.13998129524393288,,,,0.001709925476461649,0.021544495597481728,,1.231163501739502,6452080,20,6452080,6452080,0,4.031350976999988,4.027000691999888,0.4560447100000147,0.0031514160000369884,0.5261664,12681,10,10,0.8726779962499653
18,0.12941841525284672,,,,0.0017673596739768982,0.02223232388496399,,1.2094203233718872,6452080,20,6452080,6452080,0,4.034679607999919,4.03046684100002,0.46087648699995043,0.003052021000030436,0.5261664,12681,10,10,0.8726779962499653
19,0.12067397989698189,,,,0.001776697812601924,0.02232191525399685,,1.316758632659912,6452080,20,6452080,6452080,0,3.9624615750000203,3.95826302699993,0.47472684499996376,0.003062051000028987,0.5261664,12681,10,10,0.8726779962499653
20,0.12242715684509056,0.08198460247006206,0.9740983606557377,0.93476465730801,0.0018024990567937493,0.022627614438533783,0.014861111111111111,1.2630436420440674,6452080,20,6452080,6452080,0,3.774751250999998,3.7705741700001454,0.42563080100001116,0.0029307460000609353,0.5261664,12681,10,10,0.8726779962499653
21,0.1339598274194131,,,,0.001733031589537859,0.021735412999987602,,1.2911913394927979,6452080,20,6452080,6452080,0,3.75355644199999,3.7487084440000444,0.43774511900005564,0.0035084139999526087,0.5261664,12681,10,10,0.8726779962499653
22,0.12190144058969983,,,,0.001732556731440127,0.02171621471643448,,1.2564703226089478,6452080,20,6452080,6452080,0,3.664253765000012,3.660430417000157,0.4071262659999775,0.0027604460000247855,0.5261664,12681,10,10,0.8726779962499653
23,0.12819855397046387,,,,0.0017425125697627664,0.021820321679115295,,1.3035084009170532,6452080,20,6452080,6452080,0,3.7619280239999853,3.7575241440002856,0.45737404200008314,0.003207542999916768,0.5261664,12681,10,10,0.8726779962499653
24,0.11128489891111146,,,,0.0018350851023569703,0.02295863814651966,,1.1962754726409912,6452080,20,6452080,6452080,0,3.831461332999993,3.827224887999705,0.44620344199995543,0.003051927000001342,0.5261664,12681,10,10,0.8726779962499653
25,0.11453594231691042,0.08729092401019374,0.9701639344262295,0.9242298084929226,0.0018265964463353157,0.022829735651612282,0.025,1.2957874536514282,6452080,20,6452080,6452080,0,3.8345502930000066,3.830270492000068,0.46776428099997247,0.0031026300000576157,0.5261664,12681,10,10,0.8726779962499653
26,0.10638509578395568,,,,0.0018573810812085867,0.0231898445636034,,1.2660393714904785,6452080,20,6452080,6452080,0,3.7595265039999504,3.7557045089999974,0.4415182380000715,0.0027518250000184707,0.5261664,12681,10,10,0.8726779962499653
27,0.10626086771869207,,,,0.0018477243138477206,0.02304466813802719,,1.280306339263916,6452080,20,6452080,6452080,0,3.534375773000079,3.5301695630002996,0.40841987499993593,0.002984517999948366,0.5261664,12681,10,10,0.8726779962499653
28,0.10911253091562667,,,,0.001872581196948886,0.023332230746746063,,1.2778815031051636,6452080,20,6452080,6452080,0,3.94444097600001,3.939989979000188,0.46712007000007816,0.003159423999932187,0.5261664,12681,10,10,0.8726779962499653
29,0.10743559917079257,,,,0.0019192995969206095,0.02390354871749878,,1.2583826780319214,6452080,20,6452080,6452080,0,3.7142491849999715,3.7099340390001316,0.4455902710000146,0.0031251670000074228,0.5261664,12681,10,10,0.8726779962499653
30,0.09951087722166424,0.07543185624376876,0.9754098360655737,0.9372384937238494,0.0018929402576759458,0.023546434938907623,0.014027777777777778,1.3457168340682983,6452080,20,6452080,6452080,0,3.694530787999952,3.6903915050000933,0.4414873189999753,0.0029394979999324278,0.5261664,12681,10,10,0.8726779962499653
