split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,870,13,7,241,0.982316534040672,0.9488188976377953,0.9717741935483871,0.9601593625498008,0.014722536806342015,0.9785258283710225,1131,248,0.5,0.9987031015964637,0.9957008427783671,0.01418836498404269,0.05247985821537152
train,fixed,1,1160,0,18,230,0.9872159090909091,1.0,0.9274193548387096,0.9623430962343096,0.0,0.9637096774193548,1408,248,0.5,0.9983523359288098,0.9934077711339813,0.012708951635928495,0.046067811638970384
train,fixed,2,1064,25,14,234,0.9708302169035153,0.9034749034749034,0.9435483870967742,0.9230769230769231,0.02295684113865932,0.9602957729790574,1337,248,0.5,0.9955567404247756,0.9833912441022636,0.021694388309094623,0.07058346265145271
train,fixed,3,989,10,33,215,0.9655172413793104,0.9555555555555556,0.8669354838709677,0.9090909090909091,0.01001001001001001,0.9284627369304789,1247,248,0.5,0.9960121411734315,0.9847066282541865,0.022945354043303872,0.07179619587410813
train,fixed,4,924,9,14,234,0.9805249788314987,0.9629629629629629,0.9435483870967742,0.9531568228105907,0.00964630225080386,0.9669510424229852,1181,248,0.5,0.998534903018359,0.9948963669497062,0.013909727921574718,0.052835950473789486
train,fixed,5,825,10,10,238,0.9815327793167128,0.9596774193548387,0.9596774193548387,0.9596774193548387,0.011976047904191617,0.9738506857253235,1083,248,0.5,0.9986285493529071,0.9953919343801068,0.014092983388594637,0.05297063374145764
train,fixed,6,936,7,23,225,0.9748110831234257,0.9698275862068966,0.907258064516129,0.9375,0.007423117709437964,0.9499174734033455,1191,248,0.5,0.99752847808983,0.991432938297337,0.017135509540645872,0.05832067687411666
train,fixed,7,936,15,12,236,0.9774812343619683,0.9402390438247012,0.9516129032258065,0.9458917835671342,0.015772870662460567,0.967920016281673,1199,248,0.5,0.997918150673315,0.9922563675540318,0.015464872985524217,0.05216181768077768
train,fixed,8,1111,26,12,236,0.9725631768953069,0.9007633587786259,0.9516129032258065,0.9254901960784314,0.022867194371152155,0.9643728544273271,1385,248,0.5,0.9959429171276988,0.9825082212155902,0.02149605993304907,0.0712568410914173
train,fixed,9,1262,9,50,198,0.9611586570111915,0.9565217391304348,0.7983870967741935,0.8703296703296703,0.007081038552321007,0.8956530291109362,1519,248,0.5,0.9949144691759092,0.9761293506821626,0.02465294797365993,0.07757699369757418
train,val_f1,0,877,6,12,236,0.9840848806366048,0.9752066115702479,0.9516129032258065,0.963265306122449,0.006795016987542469,0.9724089431191321,1131,248,0.61,0.9987031015964637,0.9957008427783671,0.01418836498404269,0.05247985821537152
train,val_f1,1,1160,0,27,221,0.9808238636363636,1.0,0.8911290322580645,0.9424307036247335,0.0,0.9455645161290323,1408,248,0.61,0.9983523359288098,0.9934077711339813,0.012708951635928495,0.046067811638970384
train,val_f1,2,1070,19,21,227,0.9700822737471952,0.9227642276422764,0.9153225806451613,0.9190283400809717,0.017447199265381085,0.9489376906898901,1337,248,0.61,0.9955567404247756,0.9833912441022636,0.021694388309094623,0.07058346265145271
train,val_f1,3,992,7,39,209,0.9631114675220529,0.9675925925925926,0.842741935483871,0.9008620689655172,0.007007007007007007,0.917867464238432,1247,248,0.61,0.9960121411734315,0.9847066282541865,0.022945354043303872,0.07179619587410813
train,val_f1,4,932,1,19,229,0.983065198983912,0.9956521739130435,0.9233870967741935,0.9581589958158996,0.0010718113612004287,0.9611576427064965,1181,248,0.61,0.998534903018359,0.9948963669497062,0.013909727921574718,0.052835950473789486
train,val_f1,5,830,5,19,229,0.9778393351800554,0.9786324786324786,0.9233870967741935,0.950207468879668,0.005988023952095809,0.9586995364110489,1083,248,0.61,0.9986285493529071,0.9953919343801068,0.014092983388594637,0.05297063374145764
train,val_f1,6,942,1,27,221,0.9764903442485307,0.9954954954954955,0.8911290322580645,0.9404255319148936,0.0010604453870625664,0.9450342934355009,1191,248,0.61,0.99752847808983,0.991432938297337,0.017135509540645872,0.05832067687411666
train,val_f1,7,941,10,14,234,0.9799833194328608,0.9590163934426229,0.9435483870967742,0.9512195121951219,0.010515247108307046,0.9665165699942335,1199,248,0.61,0.997918150673315,0.9922563675540318,0.015464872985524217,0.05216181768077768
train,val_f1,8,1117,20,18,230,0.9725631768953069,0.92,0.9274193548387096,0.9236947791164659,0.01759014951627089,0.9549146026612194,1385,248,0.61,0.9959429171276988,0.9825082212155902,0.02149605993304907,0.0712568410914173
train,val_f1,9,1264,7,57,191,0.9578670177748518,0.9646464646464646,0.7701612903225806,0.8565022421524664,0.0055074744295830055,0.8823269079464988,1519,248,0.61,0.9949144691759092,0.9761293506821626,0.02465294797365993,0.07757699369757418
train,val_fpr02,0,876,7,11,237,0.9840848806366048,0.9713114754098361,0.9556451612903226,0.9634146341463414,0.007927519818799546,0.9738588207357615,1131,248,0.5800000000000001,0.9987031015964637,0.9957008427783671,0.01418836498404269,0.05247985821537152
train,val_fpr02,1,1160,0,26,222,0.9815340909090909,1.0,0.8951612903225806,0.9446808510638298,0.0,0.9475806451612903,1408,248,0.5800000000000001,0.9983523359288098,0.9934077711339813,0.012708951635928495,0.046067811638970384
train,val_fpr02,2,1069,20,20,228,0.9700822737471952,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.018365472910927456,0.950494682899375,1337,248,0.5800000000000001,0.9955567404247756,0.9833912441022636,0.021694388309094623,0.07058346265145271
train,val_fpr02,3,992,7,37,211,0.9647153167602245,0.9678899082568807,0.8508064516129032,0.9055793991416309,0.007007007007007007,0.9218997223029481,1247,248,0.5800000000000001,0.9960121411734315,0.9847066282541865,0.022945354043303872,0.07179619587410813
train,val_fpr02,4,930,3,16,232,0.9839119390347163,0.9872340425531915,0.9354838709677419,0.9606625258799172,0.003215434083601286,0.9661342184420703,1181,248,0.5800000000000001,0.998534903018359,0.9948963669497062,0.013909727921574718,0.052835950473789486
train,val_fpr02,5,830,5,16,232,0.9806094182825484,0.9789029535864979,0.9354838709677419,0.9567010309278351,0.005988023952095809,0.964747923507823,1083,248,0.5800000000000001,0.9986285493529071,0.9953919343801068,0.014092983388594637,0.05297063374145764
train,val_fpr02,6,941,2,25,223,0.9773299748110831,0.9911111111111112,0.8991935483870968,0.9429175475687104,0.0021208907741251328,0.9485363288064859,1191,248,0.5800000000000001,0.99752847808983,0.991432938297337,0.017135509540645872,0.05832067687411666
train,val_fpr02,7,940,11,12,236,0.9808173477898249,0.9554655870445344,0.9516129032258065,0.9535353535353536,0.011566771819137749,0.9700230657033344,1199,248,0.5800000000000001,0.997918150673315,0.9922563675540318,0.015464872985524217,0.05216181768077768
train,val_fpr02,8,1114,23,18,230,0.9703971119133574,0.9090909090909091,0.9274193548387096,0.9181636726546906,0.020228671943711522,0.9535953414474991,1385,248,0.5800000000000001,0.9959429171276988,0.9825082212155902,0.02149605993304907,0.0712568410914173
train,val_fpr02,9,1263,8,54,194,0.9591836734693877,0.9603960396039604,0.782258064516129,0.8622222222222222,0.006294256490952006,0.8879819040125885,1519,248,0.5800000000000001,0.9949144691759092,0.9761293506821626,0.02465294797365993,0.07757699369757418
validation,fixed,0,275,3,2,60,0.9852941176470589,0.9523809523809523,0.967741935483871,0.96,0.01079136690647482,0.9784752842886981,340,62,0.5,0.9993037827802275,0.9970146764775338,0.009726178811443931,0.03841503559122188
