split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,373,4,7,117,0.9780439121756487,0.9669421487603306,0.9435483870967742,0.9551020408163265,0.010610079575596816,0.9664691537605887,501,124,0.5,0.9987379139214512,0.9961510963967223,0.014432270781890005,0.054358201724311446
train,fixed,1,476,30,6,118,0.9428571428571428,0.7972972972972973,0.9516129032258065,0.8676470588235294,0.05928853754940711,0.9461621828381996,630,124,0.5,0.9949317863062603,0.9842372300259485,0.03319248421331296,0.10516052018373312
train,fixed,2,662,0,40,84,0.9491094147582697,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,786,124,0.5,0.9978315953610759,0.9884767464034374,0.03316095590446107,0.09976402292294387
train,fixed,3,498,0,17,107,0.9726688102893891,1.0,0.8629032258064516,0.9264069264069265,0.0,0.9314516129032258,622,124,0.5,0.9967126570799326,0.9880548942384597,0.022893658288568645,0.07672081454970102
train,fixed,4,523,6,21,103,0.9586523736600306,0.944954128440367,0.8306451612903226,0.8841201716738197,0.011342155009451797,0.9096515031404354,653,124,0.5,0.9944051466552839,0.9774095580471867,0.027573275502709674,0.08710226442145128
train,fixed,5,545,15,0,124,0.9780701754385965,0.8920863309352518,1.0,0.9429657794676806,0.026785714285714284,0.9866071428571428,684,124,0.5,0.9980702764976959,0.9913228030533716,0.01921924544459885,0.06845529710271303
train,fixed,6,545,30,7,117,0.9470672389127325,0.7959183673469388,0.9435483870967742,0.8634686346863468,0.05217391304347826,0.945687237026648,699,124,0.5,0.9895792426367461,0.9604740994286481,0.04016527075411209,0.12910732424436433
train,fixed,7,419,5,6,118,0.9799270072992701,0.959349593495935,0.9516129032258065,0.9554655870445344,0.01179245283018868,0.9699102251978089,548,124,0.5,0.9984403530127814,0.9948463334790535,0.014465682794672528,0.05201457832312243
train,fixed,8,488,27,4,120,0.9514866979655712,0.8163265306122449,0.967741935483871,0.8856088560885609,0.05242718446601942,0.9576573755089257,639,124,0.5,0.9962417788913248,0.9867214148441537,0.031847241375455755,0.09983579868187185
train,fixed,9,416,2,7,117,0.9833948339483395,0.9831932773109243,0.9435483870967742,0.9629629629629629,0.004784688995215311,0.9693818490507795,542,124,0.5,0.9985916036425375,0.9957147162171835,0.01509095632462304,0.06071368346584152
train,fixed,10,449,3,8,116,0.9809027777777778,0.9747899159663865,0.9354838709677419,0.9547325102880658,0.00663716814159292,0.9644233514130744,576,124,0.5,0.9983585498144447,0.9944836261907535,0.01540332963434049,0.057281159032762444
train,fixed,11,362,21,0,124,0.9585798816568047,0.8551724137931035,1.0,0.9219330855018587,0.05483028720626632,0.9725848563968669,507,124,0.5,0.9990945843510486,0.9972947478306566,0.028533276470430653,0.10091573135164014
train,fixed,12,430,8,21,103,0.9483985765124555,0.9279279279279279,0.8306451612903226,0.8765957446808511,0.0182648401826484,0.9061901605538372,562,124,0.5,0.9901679186920018,0.970475862771184,0.03398752530064773,0.11246524126691981
train,fixed,13,504,1,20,104,0.9666136724960255,0.9904761904761905,0.8387096774193549,0.9082969432314411,0.0019801980198019802,0.9183647396997765,629,124,0.5,0.9969179175982115,0.9886387147655619,0.025039275981810986,0.08503056303193313
train,fixed,14,394,0,17,107,0.9671814671814671,1.0,0.8629032258064516,0.9264069264069265,0.0,0.9314516129032258,518,124,0.5,0.9997134435893238,0.9990891056192408,0.021857491645330355,0.07135696303677252
train,fixed,15,557,0,18,106,0.973568281938326,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,681,124,0.5,0.9997683442404587,0.9989586767683283,0.015133376880406071,0.053045266803878305
train,fixed,16,519,1,19,105,0.968944099378882,0.9905660377358491,0.8467741935483871,0.9130434782608695,0.0019230769230769232,0.922425558312655,644,124,0.5,0.9984491315136477,0.9935475940730856,0.019028038642157213,0.06236903259347472
train,fixed,17,592,25,0,124,0.9662618083670715,0.8322147651006712,1.0,0.9084249084249084,0.04051863857374392,0.979740680713128,741,124,0.5,0.9957128666283265,0.9777003851207706,0.025550424934803386,0.08588071266332048
train,fixed,18,795,49,0,124,0.9493801652892562,0.7167630057803468,1.0,0.835016835016835,0.058056872037914695,0.9709715639810427,968,124,0.5,0.9984711817764867,0.9901697695572851,0.028790226090007236,0.08506287864961616
train,fixed,19,421,6,16,108,0.9600725952813067,0.9473684210526315,0.8709677419354839,0.907563025210084,0.01405152224824356,0.9284581098436202,551,124,0.5,0.9901034977713983,0.9741012293678134,0.0299811754502139,0.10754211522310836
train,val_f1,0,372,5,4,120,0.9820359281437125,0.96,0.967741935483871,0.963855421686747,0.013262599469496022,0.9772396680071875,501,124,0.42000000000000004,0.9987379139214512,0.9961510963967223,0.014432270781890005,0.054358201724311446
train,val_f1,1,470,36,5,119,0.9349206349206349,0.7677419354838709,0.9596774193548387,0.8530465949820788,0.07114624505928854,0.9442655871477751,630,124,0.42000000000000004,0.9949317863062603,0.9842372300259485,0.03319248421331296,0.10516052018373312
train,val_f1,2,662,0,31,93,0.960559796437659,1.0,0.75,0.8571428571428571,0.0,0.875,786,124,0.42000000000000004,0.9978315953610759,0.9884767464034374,0.03316095590446107,0.09976402292294387
train,val_f1,3,497,1,14,110,0.9758842443729904,0.990990990990991,0.8870967741935484,0.9361702127659575,0.002008032128514056,0.9425443710325172,622,124,0.42000000000000004,0.9967126570799326,0.9880548942384597,0.022893658288568645,0.07672081454970102
train,val_f1,4,521,8,17,107,0.9617151607963247,0.9304347826086956,0.8629032258064516,0.895397489539749,0.015122873345935728,0.9238901762302579,653,124,0.42000000000000004,0.9944051466552839,0.9774095580471867,0.027573275502709674,0.08710226442145128
train,val_f1,5,541,19,0,124,0.9722222222222222,0.8671328671328671,1.0,0.9288389513108615,0.033928571428571426,0.9830357142857142,684,124,0.42000000000000004,0.9980702764976959,0.9913228030533716,0.01921924544459885,0.06845529710271303
train,val_f1,6,541,34,6,118,0.9427753934191703,0.7763157894736842,0.9516129032258065,0.855072463768116,0.059130434782608696,0.9462412342215989,699,124,0.42000000000000004,0.9895792426367461,0.9604740994286481,0.04016527075411209,0.12910732424436433
train,val_f1,7,417,7,5,119,0.9781021897810219,0.9444444444444444,0.9596774193548387,0.952,0.01650943396226415,0.9715839926962873,548,124,0.42000000000000004,0.9984403530127814,0.9948463334790535,0.014465682794672528,0.05201457832312243
train,val_f1,8,483,32,3,121,0.945226917057903,0.7908496732026143,0.9758064516129032,0.8736462093862816,0.062135922330097085,0.9568352646414031,639,124,0.42000000000000004,0.9962417788913248,0.9867214148441537,0.031847241375455755,0.09983579868187185
train,val_f1,9,413,5,5,119,0.981549815498155,0.9596774193548387,0.9596774193548387,0.9596774193548387,0.011961722488038277,0.9738578484334002,542,124,0.42000000000000004,0.9985916036425375,0.9957147162171835,0.01509095632462304,0.06071368346584152
train,val_f1,10,448,4,5,119,0.984375,0.967479674796748,0.9596774193548387,0.9635627530364372,0.008849557522123894,0.9754139309163574,576,124,0.42000000000000004,0.9983585498144447,0.9944836261907535,0.01540332963434049,0.057281159032762444
train,val_f1,11,355,28,0,124,0.9447731755424064,0.8157894736842105,1.0,0.8985507246376812,0.0731070496083551,0.9634464751958225,507,124,0.42000000000000004,0.9990945843510486,0.9972947478306566,0.028533276470430653,0.10091573135164014
train,val_f1,12,430,8,19,105,0.9519572953736655,0.9292035398230089,0.8467741935483871,0.8860759493670886,0.0182648401826484,0.9142546766828694,562,124,0.42000000000000004,0.9901679186920018,0.970475862771184,0.03398752530064773,0.11246524126691981
train,val_f1,13,503,2,18,106,0.9682034976152624,0.9814814814814815,0.8548387096774194,0.9137931034482759,0.0039603960396039604,0.9254391568189078,629,124,0.42000000000000004,0.9969179175982115,0.9886387147655619,0.025039275981810986,0.08503056303193313
train,val_f1,14,394,0,14,110,0.972972972972973,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,518,124,0.42000000000000004,0.9997134435893238,0.9990891056192408,0.021857491645330355,0.07135696303677252
train,val_f1,15,557,0,15,109,0.9779735682819384,1.0,0.8790322580645161,0.9356223175965666,0.0,0.939516129032258,681,124,0.42000000000000004,0.9997683442404587,0.9989586767683283,0.015133376880406071,0.053045266803878305
train,val_f1,16,518,2,15,109,0.9736024844720497,0.9819819819819819,0.8790322580645161,0.9276595744680851,0.0038461538461538464,0.9375930521091811,644,124,0.42000000000000004,0.9984491315136477,0.9935475940730856,0.019028038642157213,0.06236903259347472
train,val_f1,17,586,31,0,124,0.9581646423751687,0.8,1.0,0.8888888888888888,0.050243111831442464,0.9748784440842788,741,124,0.42000000000000004,0.9957128666283265,0.9777003851207706,0.025550424934803386,0.08588071266332048
train,val_f1,18,789,55,0,124,0.9431818181818182,0.6927374301675978,1.0,0.8184818481848185,0.06516587677725119,0.9674170616113744,968,124,0.42000000000000004,0.9984711817764867,0.9901697695572851,0.028790226090007236,0.08506287864961616
train,val_f1,19,418,9,13,111,0.9600725952813067,0.925,0.8951612903225806,0.9098360655737705,0.02107728337236534,0.9370420034751077,551,124,0.42000000000000004,0.9901034977713983,0.9741012293678134,0.0299811754502139,0.10754211522310836
