split,node,engines,windows,positive,positive_fraction
train,0,2,244,62,0.2540983606557377
train,1,2,257,62,0.24124513618677043
train,2,2,359,62,0.17270194986072424
train,3,2,271,62,0.22878228782287824
train,4,2,520,62,0.11923076923076924
train,5,2,266,62,0.23308270676691728
train,6,2,339,62,0.18289085545722714
train,7,2,283,62,0.21908127208480566
train,8,2,304,62,0.20394736842105263
train,9,2,349,62,0.17765042979942694
train,10,2,420,62,0.14761904761904762
train,11,2,264,62,0.23484848484848486
train,12,2,270,62,0.22962962962962963
train,13,2,429,62,0.1445221445221445
train,14,2,332,62,0.18674698795180722
train,15,2,216,62,0.28703703703703703
train,16,2,344,62,0.18023255813953487
train,17,2,295,62,0.21016949152542372
train,18,2,217,62,0.2857142857142857
train,19,2,325,62,0.19076923076923077
train,20,2,285,62,0.21754385964912282
train,21,2,291,62,0.21305841924398625
train,22,2,259,62,0.23938223938223938
train,23,2,248,62,0.25
train,24,2,328,62,0.18902439024390244
train,25,2,234,62,0.26495726495726496
train,26,2,373,62,0.16621983914209115
train,27,2,256,62,0.2421875
train,28,2,224,62,0.2767857142857143
train,29,2,294,62,0.2108843537414966
train,30,2,385,62,0.16103896103896104
train,31,2,296,62,0.20945945945945946
train,32,2,265,62,0.2339622641509434
train,33,2,379,62,0.16358839050131926
train,34,2,446,62,0.13901345291479822
train,35,2,295,62,0.21016949152542372
train,36,2,526,62,0.11787072243346007
train,37,2,442,62,0.14027149321266968
train,38,2,255,62,0.24313725490196078
train,39,2,296,62,0.20945945945945946
validation,0,1,181,31,0.1712707182320442
validation,1,1,164,31,0.18902439024390244
validation,2,1,210,31,0.14761904761904762
validation,3,1,121,31,0.256198347107438
validation,4,1,109,31,0.28440366972477066
validation,5,1,168,31,0.18452380952380953
validation,6,1,143,31,0.21678321678321677
validation,7,1,164,31,0.18902439024390244
validation,8,1,244,31,0.12704918032786885
validation,9,1,86,31,0.36046511627906974
validation,10,1,159,31,0.1949685534591195
validation,11,1,164,31,0.18902439024390244
validation,12,1,139,31,0.22302158273381295
validation,13,1,144,31,0.2152777777777778
validation,14,1,146,31,0.21232876712328766
validation,15,1,109,31,0.28440366972477066
validation,16,1,182,31,0.17032967032967034
validation,17,1,153,31,0.20261437908496732
validation,18,1,160,31,0.19375
validation,19,1,104,31,0.2980769230769231
test,0,3,419,49,0.11694510739856802
test,1,3,409,23,0.05623471882640587
test,2,3,162,0,0.0
test,3,3,223,28,0.12556053811659193
test,4,3,271,10,0.03690036900369004
test,5,3,282,0,0.0
test,6,3,219,0,0.0
test,7,3,382,10,0.02617801047120419
test,8,3,273,10,0.03663003663003663
test,9,3,173,0,0.0
test,10,3,251,0,0.0
test,11,3,212,34,0.16037735849056603
test,12,3,362,26,0.0718232044198895
test,13,2,136,0,0.0
test,14,2,203,2,0.009852216748768473
test,15,2,241,0,0.0
test,16,2,219,0,0.0
test,17,2,160,3,0.01875
test,18,2,157,0,0.0
test,19,2,298,31,0.1040268456375839
test,20,2,30,0,0.0
test,21,2,158,0,0.0
test,22,2,145,0,0.0
test,23,2,183,3,0.01639344262295082
test,24,2,118,0,0.0
test,25,2,249,24,0.0963855421686747
test,26,2,177,13,0.07344632768361582
test,27,2,116,0,0.0
test,28,2,333,23,0.06906906906906907
test,29,2,171,0,0.0
test,30,2,203,3,0.014778325123152709
test,31,2,212,0,0.0
test,32,2,103,3,0.02912621359223301
test,33,2,195,0,0.0
test,34,2,143,16,0.11188811188811189
test,35,2,93,0,0.0
test,36,2,125,0,0.0
test,37,2,128,0,0.0
test,38,2,134,21,0.15671641791044777
test,39,2,187,0,0.0
