split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,163,19,0,62,0.9221311475409836,0.7654320987654321,1.0,0.8671328671328671,0.1043956043956044,0.9478021978021978,244,62,0.5,0.9974299893654732,0.9925856938565194,0.05248022889376939,0.17333299717582068
train,fixed,1,179,16,0,62,0.9377431906614786,0.7948717948717948,1.0,0.8857142857142857,0.08205128205128205,0.9589743589743589,257,62,0.5,1.0,1.0,0.03599701423904432,0.11477324385735453
train,fixed,2,272,25,0,62,0.9303621169916435,0.7126436781609196,1.0,0.8322147651006712,0.08417508417508418,0.9579124579124579,359,62,0.5,0.9904963614641035,0.9580843788423303,0.057059654214457765,0.19951397511926552
train,fixed,3,195,14,0,62,0.948339483394834,0.8157894736842105,1.0,0.8985507246376812,0.06698564593301436,0.9665071770334928,271,62,0.5,0.9996913103874056,0.9989954374449691,0.033992414505662344,0.12195236645731733
train,fixed,4,426,32,0,62,0.9384615384615385,0.6595744680851063,1.0,0.7948717948717948,0.06986899563318777,0.965065502183406,520,62,0.5,0.9961262149598535,0.9722150839910293,0.043772716464108,0.14320318903614293
train,fixed,5,203,1,7,55,0.9699248120300752,0.9821428571428571,0.8870967741935484,0.9322033898305084,0.004901960784313725,0.9410974067046174,266,62,0.5,0.9973118279569892,0.9917361423245548,0.024941069204745404,0.0953584907556571
train,fixed,6,265,12,0,62,0.9646017699115044,0.8378378378378378,1.0,0.9117647058823529,0.04332129963898917,0.9783393501805054,339,62,0.5,0.998078490741819,0.9920191078027665,0.029233533960732607,0.10654496605411531
train,fixed,7,213,8,11,51,0.9328621908127208,0.864406779661017,0.8225806451612904,0.8429752066115702,0.03619909502262444,0.893190775069333,283,62,0.5,0.9848927163917677,0.9535627915700174,0.04291360270553433,0.135159204099389
train,fixed,8,242,0,6,56,0.9802631578947368,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,304,62,0.5,0.9999333511063716,0.9997439836149513,0.019735573738465392,0.08256927537608517
train,fixed,9,287,0,19,43,0.9455587392550143,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,349,62,0.5,0.9987636281892772,0.9946248251547107,0.034276138379672694,0.10611858010949046
train,fixed,10,353,5,4,58,0.9785714285714285,0.9206349206349206,0.9354838709677419,0.928,0.013966480446927373,0.9607586952604072,420,62,0.5,0.997972607677059,0.9888944557810024,0.017614084064196723,0.07100215505611622
train,fixed,11,189,13,0,62,0.9507575757575758,0.8266666666666667,1.0,0.9051094890510949,0.06435643564356436,0.9678217821782178,264,62,0.5,0.9936122644522516,0.9809099723090644,0.04730782403484787,0.1669297230715437
train,fixed,12,208,0,18,44,0.9333333333333333,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,270,62,0.5,0.9954249379652605,0.9860114205996894,0.04720243643737469,0.15502269723613935
train,fixed,13,331,36,0,62,0.916083916083916,0.6326530612244898,1.0,0.775,0.09809264305177112,0.9509536784741144,429,62,0.5,0.9990770853476312,0.9947507309791437,0.055375738532374645,0.16934621610483988
train,fixed,14,268,2,2,60,0.9879518072289156,0.967741935483871,0.967741935483871,0.967741935483871,0.007407407407407408,0.9801672640382317,332,62,0.5,0.9996415770609319,0.9985104501233533,0.012619507591319929,0.055731035411456416
train,fixed,15,154,0,16,46,0.9259259259259259,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,216,62,0.5,0.9998952660242983,0.9997439836149513,0.05162775927176187,0.15615445632818362
train,fixed,16,230,52,0,62,0.8488372093023255,0.543859649122807,1.0,0.7045454545454546,0.18439716312056736,0.9078014184397163,344,62,0.5,0.9996568291008923,0.9985104501233533,0.0983925079290159,0.29985418427282284
train,fixed,17,233,0,15,47,0.9491525423728814,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,295,62,0.5,0.9943929115326041,0.980729792128884,0.042000210338558136,0.14161376065568881
train,fixed,18,155,0,20,42,0.9078341013824884,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,217,62,0.5,0.9810613943808533,0.9598674666726617,0.07368256057115961,0.25989479708631946
train,fixed,19,263,0,16,46,0.9507692307692308,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,325,62,0.5,0.9922727830246535,0.9759767435972704,0.03511450673527623,0.11858306117036663
train,fixed,20,223,0,8,54,0.9719298245614035,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,285,62,0.5,0.9976855200347172,0.992181848599117,0.02777425738124663,0.1051234143342434
train,fixed,21,229,0,19,43,0.9347079037800687,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,291,62,0.5,1.0,1.0,0.04199140394727929,0.12543680308692576
