epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.515865086654169,,,,0.0005669618840329349,0.007305721752345562,,0.8919622302055359,3226040,10,3226040,3226040,0,4.116676265999558,4.113492472997677,0.9084088029994746,0.002298960000189254,0.5261664,12681,5,5,0.539344662916632
2,0.30988914077873114,,,,0.0006728111184202135,0.008626076392829418,,0.7924717664718628,3226040,10,3226040,3226040,0,3.9962692860008246,3.993894517998342,0.9622823549998429,0.0016428260005341144,0.5261664,12681,5,5,0.539344662916632
3,0.27101073475694576,,,,0.00071975018363446,0.009216631762683392,,0.8821394443511963,3226040,10,3226040,3226040,0,4.14406389099895,4.141495118999956,1.0026310079992982,0.0018415820013615303,0.5261664,12681,5,5,0.539344662916632
4,0.21906165562294083,,,,0.0007969065336510539,0.010158402845263481,,0.9516233205795288,3226040,10,3226040,3226040,0,3.8527807889986434,3.8505166730010387,0.8824978320008086,0.0016209870009333827,0.5261664,12681,5,5,0.539344662916632
5,0.16583997590039226,0.12158199886016573,0.959672131147541,0.905165767154973,0.0009024313185364008,0.011434988118708134,0.00875,1.13502037525177,3226040,10,3226040,3226040,0,3.9016651090005325,3.899148268999852,0.9647718830001395,0.0017791530008253176,0.5261664,12681,5,5,0.539344662916632
6,0.1520346452450992,,,,0.0009381656418554485,0.01185539085417986,,1.0302140712738037,3226040,10,3226040,3226040,0,3.82176729099956,3.819352505999632,0.9637567720001243,0.0017491349990450544,0.5261664,12681,5,5,0.539344662916632
7,0.16942469501431853,,,,0.001059307367540896,0.013378193601965904,,1.1260745525360107,3226040,10,3226040,3226040,0,3.861520662998373,3.8590482129984593,0.8703190129999712,0.0017973529993469128,0.5261664,12681,5,5,0.539344662916632
8,0.13364286686729904,,,,0.0008885677671059966,0.011182420887053013,,1.037451148033142,3226040,10,3226040,3226040,0,3.697772162000547,3.6955549720005365,0.85132245999921,0.0015941800011205487,0.5261664,12681,5,5,0.539344662916632
9,0.12634283901312235,,,,0.0009706002310849726,0.012190605513751507,,1.2763971090316772,3226040,10,3226040,3226040,0,3.7163135909995617,3.7139918210014002,0.848238405000302,0.0016671089997544186,0.5261664,12681,5,5,0.539344662916632
10,0.1404949656910817,0.1072883047121899,0.9681967213114754,0.9186923721709975,0.0009089219965972006,0.01139945536851883,0.00875,0.9844536781311035,3226040,10,3226040,3226040,0,3.7032667020012013,3.7008699270008947,0.8958794720001606,0.0016962819991022116,0.5261664,12681,5,5,0.539344662916632
