split,node,engines,windows,positive,positive_fraction
train,0,8,1288,248,0.19254658385093168
train,1,8,1174,248,0.21124361158432708
train,2,8,1040,248,0.23846153846153847
train,3,8,768,248,0.3229166666666667
train,4,8,1362,248,0.18208516886930984
train,5,8,1123,248,0.22083704363312556
train,6,8,2041,248,0.12150906418422341
train,7,8,895,248,0.2770949720670391
train,8,8,1213,248,0.2044517724649629
train,9,8,1530,248,0.16209150326797386
validation,0,2,378,62,0.164021164021164
validation,1,2,342,62,0.18128654970760233
validation,2,2,405,62,0.15308641975308643
validation,3,2,288,62,0.2152777777777778
validation,4,2,200,62,0.31
validation,5,2,265,62,0.2339622641509434
validation,6,2,445,62,0.1393258426966292
validation,7,2,289,62,0.21453287197231835
validation,8,2,327,62,0.18960244648318042
validation,9,2,358,62,0.17318435754189945
test,0,10,867,40,0.0461361014994233
test,1,10,967,54,0.055842812823164424
test,2,10,883,23,0.026047565118912798
test,3,9,689,0,0.0
test,4,9,978,121,0.12372188139059305
test,5,9,844,8,0.009478672985781991
test,6,9,773,10,0.0129366106080207
test,7,9,480,0,0.0
test,8,9,1057,49,0.046357615894039736
test,9,9,717,27,0.03765690376569038
