split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1017,23,5,243,0.9782608695652174,0.9135338345864662,0.9798387096774194,0.9455252918287937,0.022115384615384617,0.9788616625310174,1288,248,0.5,0.9979993796526055,0.9917101601741036,0.01607490742433355,0.05546805366132865
train,fixed,1,922,4,23,225,0.9770017035775128,0.982532751091703,0.907258064516129,0.9433962264150944,0.004319654427645789,0.9514692050442416,1174,248,0.5,0.9986544624817111,0.9950403812109644,0.015286245213605642,0.050529658400800884
train,fixed,2,781,11,10,238,0.9798076923076923,0.9558232931726908,0.9596774193548387,0.9577464788732394,0.013888888888888888,0.972894265232975,1040,248,0.5,0.9981213343108505,0.9947075922898351,0.014402514106523129,0.05074336391979618
train,fixed,3,520,0,65,183,0.9153645833333334,1.0,0.7379032258064516,0.8491879350348028,0.0,0.8689516129032258,768,248,0.5,0.9940989454094293,0.9883393507249388,0.06755461247549271,0.23304589581463478
train,fixed,4,1055,59,1,247,0.9559471365638766,0.8071895424836601,0.9959677419354839,0.8916967509025271,0.05296229802513465,0.9715027219551746,1362,248,0.5,0.9986245439277235,0.9943267603301876,0.0312698786319353,0.09745376484229444
train,fixed,5,875,0,53,195,0.9528049866429208,1.0,0.7862903225806451,0.8803611738148984,0.0,0.8931451612903225,1123,248,0.5,0.999410138248848,0.9979641852434012,0.032458590526332896,0.09708769626799275
train,fixed,6,1695,98,0,248,0.951984321411073,0.7167630057803468,1.0,0.835016835016835,0.05465699944227551,0.9726715002788622,2041,248,0.5,0.9984167821096378,0.9892805429134921,0.030582405554864345,0.09310960809971713
train,fixed,7,647,0,86,162,0.9039106145251397,1.0,0.6532258064516129,0.7902439024390244,0.0,0.8266129032258065,895,248,0.5,0.9987223911851224,0.9968137352133953,0.06430711011944791,0.1890532821107422
train,fixed,8,952,13,14,234,0.9777411376751854,0.9473684210526315,0.9435483870967742,0.9454545454545454,0.013471502590673576,0.9650384422530504,1213,248,0.5,0.9981907070031757,0.9931287453548044,0.015588829512826476,0.058478783378161654
train,fixed,9,1241,41,4,244,0.9705882352941176,0.856140350877193,0.9838709677419355,0.9155722326454033,0.031981279251170044,0.9759448442453827,1530,248,0.5,0.9978737859191786,0.989914266361359,0.020115258483439397,0.06449458624979772
train,val_f1,0,1028,12,13,235,0.9805900621118012,0.951417004048583,0.9475806451612904,0.9494949494949495,0.011538461538461539,0.9680210918114145,1288,248,0.68,0.9979993796526055,0.9917101601741036,0.01607490742433355,0.05546805366132865
train,val_f1,1,924,2,36,212,0.9676320272572402,0.9906542056074766,0.8548387096774194,0.9177489177489178,0.0021598272138228943,0.9263394412317982,1174,248,0.68,0.9986544624817111,0.9950403812109644,0.015286245213605642,0.050529658400800884
train,val_f1,2,788,4,17,231,0.9798076923076923,0.9829787234042553,0.9314516129032258,0.9565217391304348,0.005050505050505051,0.9632005539263604,1040,248,0.68,0.9981213343108505,0.9947075922898351,0.014402514106523129,0.05074336391979618
train,val_f1,3,520,0,77,171,0.8997395833333334,1.0,0.6895161290322581,0.8162291169451074,0.0,0.844758064516129,768,248,0.68,0.9940989454094293,0.9883393507249388,0.06755461247549271,0.23304589581463478
train,val_f1,4,1071,43,2,246,0.9669603524229075,0.8512110726643599,0.9919354838709677,0.9162011173184358,0.03859964093357271,0.9766679214686975,1362,248,0.68,0.9986245439277235,0.9943267603301876,0.0312698786319353,0.09745376484229444
train,val_f1,5,875,0,68,180,0.9394479073909172,1.0,0.7258064516129032,0.8411214953271028,0.0,0.8629032258064516,1123,248,0.68,0.999410138248848,0.9979641852434012,0.032458590526332896,0.09708769626799275
train,val_f1,6,1733,60,0,248,0.9706026457618814,0.8051948051948052,1.0,0.8920863309352518,0.03346346904629113,0.9832682654768544,2041,248,0.68,0.9984167821096378,0.9892805429134921,0.030582405554864345,0.09310960809971713
train,val_f1,7,647,0,105,143,0.88268156424581,1.0,0.5766129032258065,0.731457800511509,0.0,0.7883064516129032,895,248,0.68,0.9987223911851224,0.9968137352133953,0.06430711011944791,0.1890532821107422
train,val_f1,8,960,5,25,223,0.9752679307502061,0.9780701754385965,0.8991935483870968,0.9369747899159664,0.0051813471502590676,0.9470061006184188,1213,248,0.68,0.9981907070031757,0.9931287453548044,0.015588829512826476,0.058478783378161654
train,val_f1,9,1257,25,11,237,0.9764705882352941,0.9045801526717557,0.9556451612903226,0.9294117647058824,0.01950078003120125,0.9680721906295606,1530,248,0.68,0.9978737859191786,0.989914266361359,0.020115258483439397,0.06449458624979772
train,val_fpr02,0,1036,4,37,211,0.968167701863354,0.9813953488372092,0.8508064516129032,0.9114470842332614,0.0038461538461538464,0.9234801488833747,1288,248,0.86,0.9979993796526055,0.9917101601741036,0.01607490742433355,0.05546805366132865
train,val_fpr02,1,926,0,58,190,0.9505962521294719,1.0,0.7661290322580645,0.867579908675799,0.0,0.8830645161290323,1174,248,0.86,0.9986544624817111,0.9950403812109644,0.015286245213605642,0.050529658400800884
train,val_fpr02,2,792,0,32,216,0.9692307692307692,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,1040,248,0.86,0.9981213343108505,0.9947075922898351,0.014402514106523129,0.05074336391979618
train,val_fpr02,3,520,0,93,155,0.87890625,1.0,0.625,0.7692307692307693,0.0,0.8125,768,248,0.86,0.9940989454094293,0.9883393507249388,0.06755461247549271,0.23304589581463478
train,val_fpr02,4,1091,23,4,244,0.9801762114537445,0.9138576779026217,0.9838709677419355,0.9475728155339805,0.02064631956912029,0.9816123240864076,1362,248,0.86,0.9986245439277235,0.9943267603301876,0.0312698786319353,0.09745376484229444
train,val_fpr02,5,875,0,92,156,0.9180765805877115,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,1123,248,0.86,0.999410138248848,0.9979641852434012,0.032458590526332896,0.09708769626799275
train,val_fpr02,6,1779,14,22,226,0.9823615874571289,0.9416666666666667,0.9112903225806451,0.9262295081967213,0.007808142777467931,0.9517410899015886,2041,248,0.86,0.9984167821096378,0.9892805429134921,0.030582405554864345,0.09310960809971713
train,val_fpr02,7,647,0,140,108,0.8435754189944135,1.0,0.43548387096774194,0.6067415730337079,0.0,0.717741935483871,895,248,0.86,0.9987223911851224,0.9968137352133953,0.06430711011944791,0.1890532821107422
train,val_fpr02,8,965,0,51,197,0.9579554822753503,1.0,0.7943548387096774,0.8853932584269663,0.0,0.8971774193548387,1213,248,0.86,0.9981907070031757,0.9931287453548044,0.015588829512826476,0.058478783378161654
train,val_fpr02,9,1280,2,34,214,0.9764705882352941,0.9907407407407407,0.8629032258064516,0.9224137931034483,0.0015600624024961,0.9306715817019777,1530,248,0.86,0.9978737859191786,0.989914266361359,0.020115258483439397,0.06449458624979772
validation,fixed,0,298,18,8,54,0.9312169312169312,0.75,0.8709677419354839,0.8059701492537313,0.056962025316455694,0.9070028583095141,378,62,0.5,0.9825438954675377,0.9322030695480678,0.05278464805136892,0.16877297546452621
validation,fixed,1,262,18,8,54,0.9239766081871345,0.75,0.8709677419354839,0.8059701492537313,0.06428571428571428,0.9033410138248847,342,62,0.5,0.97713133640553,0.9220462618421148,0.06636287144744762,0.2762201514300763
validation,fixed,2,303,40,0,62,0.9012345679012346,0.6078431372549019,1.0,0.7560975609756098,0.11661807580174927,0.9416909620991254,405,62,0.5,0.9972256183579422,0.9862588294673852,0.08272251527603852,0.3091166048829958
validation,fixed,3,220,6,0,62,0.9791666666666666,0.9117647058823529,1.0,0.9538461538461539,0.02654867256637168,0.9867256637168141,288,62,0.5,0.9998572652012561,0.9994838379333697,0.015998298003241075,0.05847844851853883
validation,fixed,4,138,0,12,50,0.94,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,200,62,0.5,0.9915848527349229,0.982436572073456,0.04614207879585492,0.14106758677213516
validation,fixed,5,203,0,18,44,0.9320754716981132,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,265,62,0.5,0.9888765294771968,0.9690775967279003,0.05431864812439953,0.21465959633755316
validation,fixed,6,368,15,0,62,0.9662921348314607,0.8051948051948052,1.0,0.8920863309352518,0.0391644908616188,0.9804177545691906,445,62,0.5,0.9985681799039838,0.9907751470865542,0.02247268089494924,0.07052900974143961
validation,fixed,7,227,0,10,52,0.9653979238754326,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,289,62,0.5,0.9958789256785562,0.9863153016113066,0.027991968095001332,0.09208621790270523
validation,fixed,8,242,23,8,54,0.9051987767584098,0.7012987012987013,0.8709677419354839,0.7769784172661871,0.08679245283018867,0.8920876445526476,327,62,0.5,0.9859403530127815,0.9557015229899786,0.04458197799409718,0.1287543163131084
validation,fixed,9,292,4,9,53,0.9636871508379888,0.9298245614035088,0.8548387096774194,0.8907563025210085,0.013513513513513514,0.9206625980819529,358,62,0.5,0.9864864864864865,0.953751015798971,0.03140098185887585,0.105005089927805
validation,val_f1,0,301,15,9,53,0.9365079365079365,0.7794117647058824,0.8548387096774194,0.8153846153846154,0.04746835443037975,0.9036851776235197,378,62,0.68,0.9825438954675377,0.9322030695480678,0.05278464805136892,0.16877297546452621
validation,val_f1,1,263,17,9,53,0.9239766081871345,0.7571428571428571,0.8548387096774194,0.803030303030303,0.060714285714285714,0.8970622119815668,342,62,0.68,0.97713133640553,0.9220462618421148,0.06636287144744762,0.2762201514300763
validation,val_f1,2,309,34,0,62,0.9160493827160494,0.6458333333333334,1.0,0.7848101265822784,0.09912536443148688,0.9504373177842566,405,62,0.68,0.9972256183579422,0.9862588294673852,0.08272251527603852,0.3091166048829958
validation,val_f1,3,225,1,0,62,0.9965277777777778,0.9841269841269841,1.0,0.992,0.004424778761061947,0.997787610619469,288,62,0.68,0.9998572652012561,0.9994838379333697,0.015998298003241075,0.05847844851853883
validation,val_f1,4,138,0,17,45,0.915,1.0,0.7258064516129032,0.8411214953271028,0.0,0.8629032258064516,200,62,0.68,0.9915848527349229,0.982436572073456,0.04614207879585492,0.14106758677213516
validation,val_f1,5,203,0,21,41,0.9207547169811321,1.0,0.6612903225806451,0.7961165048543689,0.0,0.8306451612903225,265,62,0.68,0.9888765294771968,0.9690775967279003,0.05431864812439953,0.21465959633755316
validation,val_f1,6,374,9,0,62,0.9797752808988764,0.8732394366197183,1.0,0.9323308270676691,0.02349869451697128,0.9882506527415144,445,62,0.68,0.9985681799039838,0.9907751470865542,0.02247268089494924,0.07052900974143961
validation,val_f1,7,227,0,16,46,0.9446366782006921,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,289,62,0.68,0.9958789256785562,0.9863153016113066,0.027991968095001332,0.09208621790270523
