epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5282098681527075,,,,0.0004418334865476936,0.005705079063773155,,0.7585668563842773,6452080,20,6452080,6452080,0,3.843365663999066,3.8384133300023677,0.4508734490009374,0.0036695140006486326,0.5261664,12434,10,10,0.8726779962499653
2,0.4210596544128391,,,,0.0008009574376046658,0.01031672302633524,,1.0026326179504395,6452080,20,6452080,6452080,0,4.014098521000051,4.009426276999875,0.4815452879993245,0.0033688050007185666,0.5261664,12434,10,10,0.8726779962499653
3,0.2955819263529584,,,,0.0008439040975645185,0.010844646953046322,,1.076681137084961,6452080,20,6452080,6452080,0,3.8664677960005065,3.8621634099963558,0.47310195899990504,0.0030892880004103063,0.5261664,12434,10,10,0.8726779962499653
4,0.26347844304520185,,,,0.000972323352470994,0.01248422171920538,,1.1886039972305298,6452080,20,6452080,6452080,0,3.855213470000308,3.8507395700034976,0.4816118050002842,0.0032537529987166636,0.5261664,12434,10,10,0.8726779962499653
5,0.22909592888062344,0.20921958830844795,0.9153776160145587,0.7838884585592564,0.0010823924094438553,0.01386682316660881,0.03791666666666667,1.1042797565460205,6452080,20,6452080,6452080,0,3.9689127350011404,3.963790452995454,0.4632262399991305,0.0035052200000791345,0.5261664,12434,10,10,0.8726779962499653
6,0.22427092010411842,,,,0.0011896527139469981,0.015211513265967369,,1.0945724248886108,6452080,20,6452080,6452080,0,4.226324492999993,4.221669424001448,0.5003929590002372,0.003345629000250483,0.5261664,12434,10,10,0.8726779962499653
7,0.1837695165267368,,,,0.0013072998262941837,0.016666296869516373,,1.2360230684280396,6452080,20,6452080,6452080,0,3.925896496999485,3.9213200810008857,0.49120903000039107,0.0033225870010937797,0.5261664,12434,10,10,0.8726779962499653
8,0.18140261480984815,,,,0.0013910094276070595,0.017693491652607918,,1.1740602254867554,6452080,20,6452080,6452080,0,3.8715950730002078,3.8673008709974965,0.45508502799930284,0.0031587049998051953,0.5261664,12434,10,10,0.8726779962499653
9,0.16702866936495625,,,,0.0014149954076856375,0.017960740253329277,,1.230843424797058,6452080,20,6452080,6452080,0,3.899149180000677,3.894564611999158,0.48559298899999703,0.0032220160010183463,0.5261664,12434,10,10,0.8726779962499653
10,0.15336173182440266,0.1534924140149443,0.9457082195935699,0.8600469116497264,0.0014851352898404002,0.018820852041244507,0.025,1.271474003791809,6452080,20,6452080,6452080,0,3.8354445959994337,3.831092358002934,0.4908842810000351,0.003147494999211631,0.5261664,12434,10,10,0.8726779962499653
