epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,0.0004329984949436039,0.005590871907770634,,0.7479423880577087,6452080,20,6452080,6452080,0,4.2066706289997455,4.201772497999627,0.553368884000065,0.0034849300000132644,0.5261664,12434,10,10,0.8726779962499653
2,0.41603842107789635,,,,0.0007742856978438795,0.009972239844501019,,0.9892710447311401,6452080,20,6452080,6452080,0,4.073297159000049,4.068855338000503,0.48188434900021093,0.0032590860000709654,0.5261664,12434,10,10,0.8726779962499653
3,0.2836740696266663,,,,0.000841439061332494,0.010811041109263897,,1.125491738319397,6452080,20,6452080,6452080,0,4.02080376899994,4.016439415000605,0.49896100700016177,0.0031197449998217053,0.5261664,12434,10,10,0.8726779962499653
4,0.2565282981373125,,,,0.000982033321633935,0.01260839868336916,,1.2023260593414307,6452080,20,6452080,6452080,0,4.040307067999947,4.036035373000686,0.48582022699974914,0.0031214239998007542,0.5261664,12434,10,10,0.8726779962499653
5,0.23445921472218903,0.231852594490059,0.8983924780103124,0.7429009976976209,0.0011226386995986104,0.014386416412889957,0.052222222222222225,1.0952792167663574,6452080,20,6452080,6452080,0,4.050092166000013,4.045189757000571,0.4953827699996509,0.0035527300001376716,0.5261664,12434,10,10,0.8726779962499653
6,0.22169714291905313,,,,0.0012656302424147725,0.016188565641641617,,1.1743043661117554,6452080,20,6452080,6452080,0,4.20439036200014,4.200139852999655,0.5368439339999895,0.003053608999834978,0.5261664,12434,10,10,0.8726779962499653
7,0.19544363790110414,,,,0.001364035066217184,0.01740306057035923,,1.3070828914642334,6452080,20,6452080,6452080,0,4.000354202999915,3.995868488999349,0.49196796900014306,0.0031334129998867866,0.5261664,12434,10,10,0.8726779962499653
8,0.1823816241009764,,,,0.0014803378144279122,0.018839674070477486,,1.2473949193954468,6452080,20,6452080,6452080,0,3.952528965000056,3.9484595570002057,0.5111865290000424,0.00297538099994199,0.5261664,12434,10,10,0.8726779962499653
9,0.16970489865059038,,,,0.0015498979482799768,0.01967526786029339,,1.258164644241333,6452080,20,6452080,6452080,0,4.219391696999992,4.214267562999794,0.5213387530002365,0.003568857999653119,0.5261664,12434,10,10,0.8726779962499653
10,0.16276174046285474,0.15537938206914523,0.9408553230209281,0.8456057007125891,0.0015882975421845913,0.020127417519688606,0.02236111111111111,1.3050957918167114,6452080,20,6452080,6452080,0,4.116444116000366,4.111480122999637,0.5155189809997864,0.0036699510001199087,0.5261664,12434,10,10,0.8726779962499653
11,0.15056268365965605,,,,0.0016014159191399813,0.02026069536805153,,1.3460928201675415,6452080,20,6452080,6452080,0,4.151667672000258,4.146885059000397,0.4904714360000071,0.0032289639998452913,0.5261664,12434,10,10,0.8726779962499653
12,0.14028996037644503,,,,0.00159747083671391,0.020189441740512848,,1.2585170269012451,6452080,20,6452080,6452080,0,3.98692896700004,3.981410657000197,0.5147749769998882,0.003915425000286632,0.5261664,12434,10,10,0.8726779962499653
13,0.14637263527044148,,,,0.0015866691246628761,0.020032363012433052,,1.291709303855896,6452080,20,6452080,6452080,0,3.84415474799971,3.839848216000064,0.4829997150000054,0.003160254999784229,0.5261664,12434,10,10,0.8726779962499653
14,0.12316446772086014,,,,0.0016277593094855547,0.02052036114037037,,1.3460173606872559,6452080,20,6452080,6452080,0,3.7919371150001098,3.787869347999731,0.48894621499994173,0.002936175000286312,0.5261664,12434,10,10,0.8726779962499653
15,0.13183125317268482,0.13079708304610083,0.94601152562936,0.8615863141524106,0.0016250844346359372,0.02047058381140232,0.015,1.3163996934890747,6452080,20,6452080,6452080,0,3.9805471470003795,3.9751164939989394,0.46644388300001083,0.003862511000079394,0.5261664,12434,10,10,0.8726779962499653
16,0.1332887792647031,,,,0.0016554855974391103,0.020827265456318855,,1.3567765951156616,6452080,20,6452080,6452080,0,4.010246441999698,4.0055333410005005,0.49279646300010427,0.0034188159997938783,0.5261664,12434,10,10,0.8726779962499653
17,0.1281481811313159,,,,0.001681629684753716,0.02114717662334442,,1.335683822631836,6452080,20,6452080,6452080,0,3.8913626349999504,3.886946332999287,0.4648708509998869,0.0032528179999644635,0.5261664,12434,10,10,0.8726779962499653
18,0.11954659501455667,,,,0.0016962187364697456,0.021304965019226074,,1.2540168762207031,6452080,20,6452080,6452080,0,4.0127871310000955,4.008429437999439,0.49225462200001857,0.003184830000009242,0.5261664,12434,10,10,0.8726779962499653
19,0.1264287340127165,,,,0.0017357763135805726,0.021789930760860443,,1.414922833442688,6452080,20,6452080,6452080,0,3.854802728999857,3.8502277139996295,0.4595364970000446,0.003304805999960081,0.5261664,12434,10,10,0.8726779962499653
20,0.11493788903547839,0.1292346313273357,0.9463148316651502,0.864575363427697,0.001803550636395812,0.022610314190387726,0.016944444444444446,1.388131856918335,6452080,20,6452080,6452080,0,3.8841766559999087,3.8800045759999193,0.48581496299993887,0.003000587999849813,0.5261664,12434,10,10,0.8726779962499653
21,0.10918015757009605,,,,0.0018792303744703531,0.023529961705207825,,1.3695775270462036,6452080,20,6452080,6452080,0,3.8878090600001087,3.8833187899999757,0.4913329929995598,0.003264244000092731,0.5261664,12434,10,10,0.8726779962499653
22,0.11164725083879176,,,,0.001883251708932221,0.023568520322442055,,1.4138561487197876,6452080,20,6452080,6452080,0,3.7631528990000334,3.7591016400001536,0.4579438079999818,0.002903144999891083,0.5261664,12434,10,10,0.8726779962499653
23,0.10504719088286488,,,,0.001928279991261661,0.02410135231912136,,1.356704592704773,6452080,20,6452080,6452080,0,3.941024259000187,3.9366474679995918,0.4730429840001307,0.003202828000212321,0.5261664,12434,10,10,0.8726779962499653
24,0.11069388181299097,,,,0.0019294687081128359,0.024092283099889755,,1.4758994579315186,6452080,20,6452080,6452080,0,4.20581391900032,4.2015584789996865,0.5355938400002742,0.0030832720003672875,0.5261664,12434,10,10,0.8726779962499653
25,0.1031637336316498,0.10284030286550432,0.9581437670609645,0.8890675241157556,0.0019051479175686836,0.02377900294959545,0.029166666666666667,1.34786856174469,6452080,20,6452080,6452080,0,4.106352517000232,4.1019098559995655,0.48828175800008466,0.0031595909999850846,0.5261664,12434,10,10,0.8726779962499653
26,0.10602993669764742,,,,0.001864049700088799,0.02324320189654827,,1.343362808227539,6452080,20,6452080,6452080,0,4.293256895000013,4.288982845999726,0.5742427959999077,0.0031412220000675006,0.5261664,12434,10,10,0.8726779962499653
27,0.11228678319475649,,,,0.0019589848816394806,0.024417800828814507,,1.368098497390747,6452080,20,6452080,6452080,0,4.265304965999803,4.260350420999657,0.54054777500005,0.0035999409997202747,0.5261664,12434,10,10,0.8726779962499653
28,0.09929538074738566,,,,0.0019737430848181248,0.024558797478675842,,1.424362301826477,6452080,20,6452080,6452080,0,4.230845569999929,4.2264620200003264,0.5355784589996802,0.0031362340000669064,0.5261664,12434,10,10,0.8726779962499653
29,0.09892116356697367,,,,0.0020105254370719194,0.025008229538798332,,1.4247967004776,6452080,20,6452080,6452080,0,4.135042586000054,4.128523073999986,0.5184335849999115,0.005221813000389375,0.5261664,12434,10,10,0.8726779962499653
30,0.10268226782441343,0.09218345205022511,0.9636032757051866,0.9021207177814029,0.0020544196013361216,0.025526996701955795,0.024583333333333332,1.366368055343628,6452080,20,6452080,6452080,0,3.8316343229998893,3.827498217000084,0.4543552769996495,0.0029357890002756903,0.5261664,12434,10,10,0.8726779962499653
31,0.09443745858898661,,,,0.002033646684139967,0.025251414626836777,,1.32492995262146,6452080,20,6452080,6452080,0,4.030392629999824,4.025610756000333,0.4794846659997347,0.0033668739997665398,0.5261664,12434,10,10,0.8726779962499653
32,0.10137964891070435,,,,0.002022466855123639,0.02508806623518467,,1.478063941001892,6452080,20,6452080,6452080,0,4.010584705999918,4.006271891999404,0.4972605749999275,0.0031474140000682382,0.5261664,12434,10,10,0.8726779962499653
33,0.09100537928023686,,,,0.002001563087105751,0.024807577952742577,,1.3977179527282715,6452080,20,6452080,6452080,0,3.908422969000185,3.9036299269992014,0.44334887900004105,0.0034489429999666754,0.5261664,12434,10,10,0.8726779962499653
34,0.09049641539945577,,,,0.002010732889175415,0.024906372651457787,,1.5698692798614502,6452080,20,6452080,6452080,0,4.096732625999721,4.092158631000075,0.5089812930000335,0.003344802999890817,0.5261664,12434,10,10,0.8726779962499653
35,0.09235299370693464,0.10896377031862628,0.9511677282377919,0.8723235527359239,0.002037640195339918,0.02521941065788269,0.021527777777777778,1.4717984199523926,6452080,20,6452080,6452080,0,3.937097224000354,3.9323943109998254,0.4681787049999002,0.0034635870001693547,0.5261664,12434,10,10,0.8726779962499653
36,0.0862276027175419,,,,0.0019833047408610582,0.02451939880847931,,1.4394285678863525,6452080,20,6452080,6452080,0,3.9677636020001046,3.9633100610008114,0.4916972720002377,0.0031688499998381303,0.5261664,12434,10,10,0.8726779962499653
37,0.08938260334003365,,,,0.0020262734033167362,0.02503066696226597,,1.4389034509658813,6452080,20,6452080,6452080,0,3.7880954269999165,3.7837771020008404,0.463265180000235,0.003070548999858147,0.5261664,12434,10,10,0.8726779962499653
38,0.09092053445726886,,,,0.0020259241573512554,0.02500581555068493,,1.4123259782791138,6452080,20,6452080,6452080,0,3.8890111119999347,3.8848288399999547,0.47229317600022114,0.0030668260001220915,0.5261664,12434,10,10,0.8726779962499653
39,0.08786598858711527,,,,0.002016168087720871,0.024857955053448677,,1.3764151334762573,6452080,20,6452080,6452080,0,3.95476536499973,3.95057736499939,0.49056723300009253,0.0030479950000881217,0.5261664,12434,10,10,0.8726779962499653
40,0.08438093093609163,0.09707461885413873,0.959356991204125,0.8931419457735247,0.0019827301148325205,0.024426134303212166,0.023194444444444445,1.506430983543396,6452080,20,6452080,6452080,0,3.8983370870000726,3.8940662559994053,0.4846226360000401,0.0030874919998495898,0.5261664,12434,10,10,0.8726779962499653
