split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1005,24,28,220,0.9592795614722005,0.9016393442622951,0.8870967741935484,0.8943089430894309,0.023323615160349854,0.9318865795165993,1277,248,0.5,0.995450484341202,0.9820666999429454,0.022917938166978034,0.06925979638902226
train,fixed,1,854,20,20,228,0.964349376114082,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.02288329519450801,0.9482357717575847,1122,248,0.5,0.9954002731232008,0.9853649581524323,0.024040677234647315,0.07469601826490664
train,fixed,2,867,7,16,232,0.9795008912655971,0.9707112970711297,0.9354838709677419,0.9527720739219713,0.008009153318077803,0.963737358824832,1122,248,0.5,0.9983529563741049,0.9946126832745165,0.013784634586825016,0.0475988947044134
train,fixed,3,1271,4,6,242,0.9934340118187788,0.983739837398374,0.9758064516129032,0.979757085020243,0.003137254901960784,0.9863345983554712,1523,248,0.5,0.9993548387096775,0.9968466533132401,0.008243059466172669,0.0321471621125282
train,fixed,4,1004,6,21,227,0.9785373608903021,0.9742489270386266,0.9153225806451613,0.9438669438669439,0.005940594059405941,0.9546909932928777,1258,248,0.5,0.9986426061961035,0.9944422238666897,0.014343857633782438,0.04596707399125981
train,fixed,5,883,15,8,240,0.9799301919720768,0.9411764705882353,0.967741935483871,0.9542743538767395,0.01670378619153675,0.975519074646167,1146,248,0.5,0.9984688195991092,0.9948326500371832,0.013772308870681763,0.04629664158811388
train,fixed,6,994,10,8,240,0.9856230031948882,0.96,0.967741935483871,0.963855421686747,0.0099601593625498,0.9788908880606606,1252,248,0.5,0.9987429314998071,0.9954535975617766,0.011613581486545125,0.0431091161201218
train,fixed,7,999,33,8,240,0.96796875,0.8791208791208791,0.967741935483871,0.9213051823416507,0.03197674418604651,0.9678825956489123,1280,248,0.5,0.9962881345336334,0.9867119016857004,0.02158580891743427,0.07108352925997978
train,fixed,8,973,8,29,219,0.9698942229454841,0.9647577092511013,0.8830645161290323,0.9221052631578948,0.00815494393476045,0.9374547860971358,1229,248,0.5,0.9965966262207754,0.9874062030912029,0.02149251219977604,0.07015549653305608
train,fixed,9,960,17,12,236,0.976326530612245,0.932806324110672,0.9516129032258065,0.9421157684630739,0.017400204708290685,0.9671063492587579,1225,248,0.5,0.9974370191831479,0.9910147460780336,0.01728187883297281,0.05967895488672381
train,val_f1,0,1000,29,16,232,0.9647611589663273,0.8888888888888888,0.9354838709677419,0.9115913555992141,0.028182701652089408,0.9536505846578263,1277,248,0.41000000000000003,0.995450484341202,0.9820666999429454,0.022917938166978034,0.06925979638902226
