epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,0.0004329984949436039,0.005590871907770634,,0.7479423880577087,6452080,20,6452080,6452080,0,4.038400870998885,4.033324515001368,0.49958001200138824,0.0037363840001489734,0.5261664,12434,10,10,0.8726779962499653
2,0.41603842107789635,,,,0.0007742856978438795,0.009972239844501019,,0.9892710447311401,6452080,20,6452080,6452080,0,3.7390241749999404,3.734550515995579,0.4528775909984688,0.00313696899866045,0.5261664,12434,10,10,0.8726779962499653
3,0.2836740696266663,,,,0.000841439061332494,0.010811041109263897,,1.125491738319397,6452080,20,6452080,6452080,0,3.9503630790004536,3.946040698001525,0.5027744179988076,0.0031144889999268344,0.5261664,12434,10,10,0.8726779962499653
4,0.2565282981373125,,,,0.000982033321633935,0.01260839868336916,,1.2023260593414307,6452080,20,6452080,6452080,0,3.8510441630005516,3.846483403996899,0.4632965519995196,0.0033402169992768904,0.5261664,12434,10,10,0.8726779962499653
5,0.23445921472218903,0.231852594490059,0.8983924780103124,0.7429009976976209,0.0011226386995986104,0.014386416412889957,0.052222222222222225,1.0952792167663574,6452080,20,6452080,6452080,0,3.8750632439987385,3.8706911299977946,0.4790131329991709,0.0031459740002901526,0.5261664,12434,10,10,0.8726779962499653
6,0.22169714291905313,,,,0.0012656302424147725,0.016188565641641617,,1.1743043661117554,6452080,20,6452080,6452080,0,3.760186065999733,3.75576771499982,0.4747126970014506,0.0032068300006358186,0.5261664,12434,10,10,0.8726779962499653
7,0.19544363790110414,,,,0.001364035066217184,0.01740306057035923,,1.3070828914642334,6452080,20,6452080,6452080,0,4.127447446999213,4.122741065002629,0.5467887909999263,0.003311960001155967,0.5261664,12434,10,10,0.8726779962499653
8,0.1823816241009764,,,,0.0014803378144279122,0.018839674070477486,,1.2473949193954468,6452080,20,6452080,6452080,0,4.060057003000111,4.055408676997104,0.4917377790006867,0.0032835069996508537,0.5261664,12434,10,10,0.8726779962499653
9,0.16970489865059038,,,,0.0015498979482799768,0.01967526786029339,,1.258164644241333,6452080,20,6452080,6452080,0,4.049087643999883,4.0443394479989365,0.4940010139998776,0.0033955979997699615,0.5261664,12434,10,10,0.8726779962499653
10,0.16276174046285474,0.15537938206914523,0.9408553230209281,0.8456057007125891,0.0015882975421845913,0.020127417519688606,0.02236111111111111,1.3050957918167114,6452080,20,6452080,6452080,0,4.254748002998895,4.250065811998866,0.5349722360006126,0.0033988420000241604,0.5261664,12434,10,10,0.8726779962499653
11,0.15056268365965605,,,,0.0016014159191399813,0.02026069536805153,,1.3460928201675415,6452080,20,6452080,6452080,0,4.112817799001277,4.108100902998558,0.5085297469995567,0.0034418199993524468,0.5261664,12434,10,10,0.8726779962499653
12,0.14028996037644503,,,,0.00159747083671391,0.020189441740512848,,1.2585170269012451,6452080,20,6452080,6452080,0,3.9384366539998155,3.934072912999909,0.47211468900059117,0.0032002319985622307,0.5261664,12434,10,10,0.8726779962499653
13,0.14637263527044148,,,,0.0015866691246628761,0.020032363012433052,,1.291709303855896,6452080,20,6452080,6452080,0,3.9269191830007912,3.9221309090007708,0.47627469899998687,0.003435974000240094,0.5261664,12434,10,10,0.8726779962499653
14,0.12316446772086014,,,,0.0016277593094855547,0.02052036114037037,,1.3460173606872559,6452080,20,6452080,6452080,0,3.982609038999726,3.9773578539989103,0.487784050999835,0.0035175709999748506,0.5261664,12434,10,10,0.8726779962499653
15,0.13183125317268482,0.13079708304610083,0.94601152562936,0.8615863141524106,0.0016250844346359372,0.02047058381140232,0.015,1.3163996934890747,6452080,20,6452080,6452080,0,4.220773199998803,4.216508157005592,0.5002864890011551,0.0030001129998709075,0.5261664,12434,10,10,0.8726779962499653
16,0.1332887792647031,,,,0.0016554855974391103,0.020827265456318855,,1.3567765951156616,6452080,20,6452080,6452080,0,4.128696820000187,4.124294433002433,0.48474861300019256,0.0031940410008246545,0.5261664,12434,10,10,0.8726779962499653
17,0.1281481811313159,,,,0.001681629684753716,0.02114717662334442,,1.335683822631836,6452080,20,6452080,6452080,0,3.8347284070005117,3.82991263099575,0.47511904699968,0.0032519209999009036,0.5261664,12434,10,10,0.8726779962499653
18,0.11954659501455667,,,,0.0016962187364697456,0.021304965019226074,,1.2540168762207031,6452080,20,6452080,6452080,0,3.748931383001036,3.744487844000105,0.4487771509993763,0.0032287050016748253,0.5261664,12434,10,10,0.8726779962499653
19,0.1264287340127165,,,,0.0017357763135805726,0.021789930760860443,,1.414922833442688,6452080,20,6452080,6452080,0,3.8206440240010124,3.8162163049964875,0.4488530950002314,0.0031956580005498836,0.5261664,12434,10,10,0.8726779962499653
20,0.11493788903547839,0.1292346313273357,0.9463148316651502,0.864575363427697,0.001803550636395812,0.022610314190387726,0.016944444444444446,1.388131856918335,6452080,20,6452080,6452080,0,3.8854623900006118,3.8806907830003183,0.46706263800115266,0.0034139520012104185,0.5261664,12434,10,10,0.8726779962499653
21,0.10918015757009605,,,,0.0018792303744703531,0.023529961705207825,,1.3695775270462036,6452080,20,6452080,6452080,0,4.2146499780010345,4.209682499002156,0.5075027870007034,0.003634228000009898,0.5261664,12434,10,10,0.8726779962499653
22,0.11164725083879176,,,,0.001883251708932221,0.023568520322442055,,1.4138561487197876,6452080,20,6452080,6452080,0,4.34040061900123,4.335608899000363,0.5653830860010203,0.0033902210016094614,0.5261664,12434,10,10,0.8726779962499653
23,0.10504719088286488,,,,0.001928279991261661,0.02410135231912136,,1.356704592704773,6452080,20,6452080,6452080,0,3.8127359390000493,3.8084707019988855,0.47792405799918924,0.003058209000300849,0.5261664,12434,10,10,0.8726779962499653
24,0.11069388181299097,,,,0.0019294687081128359,0.024092283099889755,,1.4758994579315186,6452080,20,6452080,6452080,0,3.872317657998792,3.8674542589997145,0.49014758200064534,0.0035873929991794284,0.5261664,12434,10,10,0.8726779962499653
