split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1009,20,13,235,0.9741581832419733,0.9215686274509803,0.9475806451612904,0.9343936381709742,0.019436345966958212,0.964072149597166,1277,248,0.5,0.9977389573340857,0.9912042619569736,0.01619646912394265,0.05251263182501
train,fixed,1,854,20,19,229,0.9652406417112299,0.9196787148594378,0.9233870967741935,0.9215291750503019,0.02288329519450801,0.9502519007898427,1122,248,0.5,0.9953541374474053,0.9853947222186966,0.023688772248437136,0.0743217614343244
train,fixed,2,870,4,18,230,0.9803921568627451,0.9829059829059829,0.9274193548387096,0.9543568464730291,0.004576659038901602,0.9614213478999041,1122,248,0.5,0.998542112644866,0.995165082574388,0.014232186000996318,0.051408572780713514
train,fixed,3,1257,18,2,246,0.9868680236375574,0.9318181818181818,0.9919354838709677,0.9609375,0.01411764705882353,0.9889089184060721,1523,248,0.5,0.9993833017077799,0.9970348514992347,0.01137143980253806,0.04473115578331345
train,fixed,4,1002,8,14,234,0.9825119236883942,0.9669421487603306,0.9435483870967742,0.9551020408163265,0.007920792079207921,0.9678137975087832,1258,248,0.5,0.9984190354519322,0.9936492798639953,0.013514396948736974,0.047301922782231734
train,fixed,5,887,11,8,240,0.9834205933682374,0.9561752988047809,0.967741935483871,0.9619238476953907,0.012249443207126948,0.977746246138372,1146,248,0.5,0.9987157841798979,0.9957232184755848,0.013169548316067856,0.049020190047169204
train,fixed,6,997,7,19,229,0.9792332268370607,0.9703389830508474,0.9233870967741935,0.9462809917355371,0.0069721115537848604,0.9582074926102043,1252,248,0.5,0.9980682110268604,0.9927633134717904,0.01522270495894528,0.05368619398083273
train,fixed,7,1008,24,38,210,0.9515625,0.8974358974358975,0.8467741935483871,0.8713692946058091,0.023255813953488372,0.9117591897974493,1280,248,0.5,0.9868482745686422,0.9533048354830788,0.03679870066472531,0.12061691816499791
train,fixed,8,940,41,8,240,0.9601301871440195,0.8540925266903915,0.967741935483871,0.9073724007561437,0.0417940876656473,0.9629739239091119,1229,248,0.5,0.9955032718424255,0.983482308366376,0.026950518135184034,0.08382474783778097
train,fixed,9,957,20,13,235,0.9730612244897959,0.9215686274509803,0.9475806451612904,0.9343936381709742,0.02047082906857728,0.9635549080463566,1225,248,0.5,0.9970366824049923,0.9893895175968985,0.01832176299108083,0.06167224702021402
