epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,0.0006898810970596969,0.008907769806683064,,0.5059701800346375,6452080,20,4839060,6452080,0,3.8766479160003655,3.8694899610036373,0.4819909580000967,0.005655212999045034,0.5261664,12434,5,10,1.0
2,0.4137813723787794,,,,0.0012582717463374138,0.016205938532948494,,0.7010703682899475,6452080,20,5161664,6452080,0,4.11706075300026,4.1123209390007105,0.48897222300001886,0.0034786679989338154,0.5261664,12434,6,10,0.9999999999999998
3,0.27831189774705567,,,,0.0013743832241743803,0.017659127712249756,,0.9718767404556274,6452080,20,4839060,6452080,0,4.2129035479993036,4.208681300997341,0.5052335189993755,0.003040269000848639,0.5261664,12434,5,10,1.0
4,0.2674785266641082,,,,0.0013414524728432298,0.017229607328772545,,1.097899317741394,6452080,20,5161664,6452080,0,4.03985368100075,4.03560613299851,0.5443497069991281,0.003113535000011325,0.5261664,12434,7,10,1.0
5,0.2332010675094378,0.23682105538182072,0.8986957840461025,0.7418856259659969,0.0016297880792990327,0.02088822051882744,0.04652777777777778,1.0843870639801025,6452080,20,4193852,6452080,0,3.7231808800006547,3.71902302399576,0.465744133998669,0.002934356998594012,0.5261664,12434,5,10,1.0
6,0.22726779276156,,,,0.001981650246307254,0.025359734892845154,,0.9852838516235352,6452080,20,4193852,6452080,0,3.7600395560002653,3.7555425179998565,0.457427639999878,0.003187139000146999,0.5261664,12434,4,10,1.0
7,0.20512314912121857,,,,0.0018954381812363863,0.024201013147830963,,1.3695664405822754,6452080,20,5161664,6452080,0,3.9822572730008687,3.9778500230004283,0.5043841500009876,0.003134066000711755,0.5261664,12434,7,10,1.0000000000000007
8,0.18317036983911217,,,,0.002303806133568287,0.029336605221033096,,1.081710696220398,6452080,20,4839060,6452080,0,3.8559429209999507,3.8514204829971277,0.4518070659996738,0.0032347699998354074,0.5261664,12434,5,10,1.0
9,0.17381345017858618,,,,0.0024534587282687426,0.03116903081536293,,1.2206809520721436,6452080,20,4193852,6452080,0,3.8394430550015386,3.8351430170005187,0.4658320040016406,0.0030753759983781492,0.5261664,12434,5,10,1.0
10,0.1571523693642623,0.18598313783040454,0.921747042766151,0.8102941176470588,0.0022863938938826323,0.028993701562285423,0.043611111111111114,1.33527410030365,6452080,20,5484268,6452080,0,3.9652943040000537,3.9605442940010107,0.46090040399940335,0.0033457449990237365,0.5261664,12434,7,10,1.0
