split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1016,13,3,245,0.9874706342991386,0.9496124031007752,0.9879032258064516,0.9683794466403162,0.012633624878522837,0.9876348004639643,1277,248,0.5,0.9991379040095301,0.9963619954582446,0.011488415565234014,0.04374102958714439
train,fixed,1,853,21,19,229,0.964349376114082,0.916,0.9233870967741935,0.9196787148594378,0.02402745995423341,0.9496798184099801,1122,248,0.5,0.9958570163135749,0.9867639521532376,0.022659668054418103,0.07082319565790528
train,fixed,2,865,9,9,239,0.983957219251337,0.9637096774193549,0.9637096774193549,0.9637096774193549,0.010297482837528604,0.9767060972909132,1122,248,0.5,0.9984175463202185,0.9947678604480646,0.013265624715705674,0.04857767388371093
train,fixed,3,1229,46,0,248,0.9697964543663822,0.8435374149659864,1.0,0.915129151291513,0.03607843137254902,0.9819607843137255,1523,248,0.5,0.9990891840607211,0.9956085644110351,0.021435049822483367,0.06820181934570348
train,fixed,4,1002,8,23,225,0.9753577106518283,0.9656652360515021,0.907258064516129,0.9355509355509356,0.007920792079207921,0.9496686362184605,1258,248,0.5,0.9979319706164165,0.9916290928819348,0.016733507814253295,0.053089220927079295
train,fixed,5,882,16,9,239,0.9781849912739965,0.9372549019607843,0.9637096774193549,0.9502982107355865,0.017817371937639197,0.9729461527408578,1146,248,0.5,0.9973866657087435,0.9910259140517175,0.016806025568666328,0.05600869278861478
train,fixed,6,994,10,11,237,0.9832268370607029,0.9595141700404858,0.9556451612903226,0.9575757575757575,0.0099601593625498,0.9728425009638864,1252,248,0.5,0.9986023647346101,0.9948487043101626,0.012489170309802518,0.04529777956785067
train,fixed,7,991,41,14,234,0.95703125,0.850909090909091,0.9435483870967742,0.8948374760994264,0.03972868217054264,0.9519098524631158,1280,248,0.5,0.9927364653663415,0.9732038431873015,0.031211935421957472,0.09936240579134473
train,fixed,8,964,17,11,237,0.9772172497965825,0.9330708661417323,0.9556451612903226,0.9442231075697212,0.017329255861365953,0.9691579527144784,1229,248,0.5,0.9977310841471836,0.992018002405139,0.016010310758170773,0.05341523176761474
train,fixed,9,969,8,19,229,0.9779591836734693,0.9662447257383966,0.9233870967741935,0.9443298969072165,0.008188331627430911,0.9575993825733813,1225,248,0.5,0.9977795753953841,0.9918983993935402,0.016059577393884795,0.053534826775506514
