epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,0.0004329984949436039,0.005590871907770634,,0.7479423880577087,6452080,20,6452080,6452080,0,3.924887460998434,3.9196404990034353,0.47562570000081905,0.0038254999999480788,0.5261664,12434,10,10,0.8726779962499653
2,0.41603842107789635,,,,0.0007742856978438795,0.009972239844501019,,0.9892710447311401,6452080,20,6452080,6452080,0,3.792914417999782,3.7880545270072616,0.44164249100140296,0.0035558079998736503,0.5261664,12434,10,10,0.8726779962499653
3,0.2836740696266663,,,,0.000841439061332494,0.010811041109263897,,1.125491738319397,6452080,20,6452080,6452080,0,3.8230030450013146,3.8184661010018317,0.4662390840003354,0.003291643999546068,0.5261664,12434,10,10,0.8726779962499653
4,0.2565282981373125,,,,0.000982033321633935,0.01260839868336916,,1.2023260593414307,6452080,20,6452080,6452080,0,3.8727893859995675,3.8682370709975658,0.4476300499991339,0.003322999998999876,0.5261664,12434,10,10,0.8726779962499653
5,0.23445921472218903,0.231852594490059,0.8983924780103124,0.7429009976976209,0.0011226386995986104,0.014386416412889957,0.052222222222222225,1.0952792167663574,6452080,20,6452080,6452080,0,3.714816187000906,3.7103737850011385,0.47326165400045284,0.0031411890013259836,0.5261664,12434,10,10,0.8726779962499653
6,0.22169714291905313,,,,0.0012656302424147725,0.016188565641641617,,1.1743043661117554,6452080,20,6452080,6452080,0,3.8799304280000797,3.8733252250021906,0.4473759250013245,0.0031175959993561264,0.5261664,12434,10,10,0.8726779962499653
7,0.19544363790110414,,,,0.001364035066217184,0.01740306057035923,,1.3070828914642334,6452080,20,6452080,6452080,0,3.850217094000982,3.84580535600071,0.4998676129998785,0.00313069500043639,0.5261664,12434,10,10,0.8726779962499653
8,0.1823816241009764,,,,0.0014803378144279122,0.018839674070477486,,1.2473949193954468,6452080,20,6452080,6452080,0,4.005627212000036,4.001164719998997,0.5010249079987261,0.0032262940003420226,0.5261664,12434,10,10,0.8726779962499653
9,0.16970489865059038,,,,0.0015498979482799768,0.01967526786029339,,1.258164644241333,6452080,20,6452080,6452080,0,3.889602769000703,3.8853581750026933,0.4537972920006723,0.0029624270009662723,0.5261664,12434,10,10,0.8726779962499653
10,0.16276174046285474,0.15537938206914523,0.9408553230209281,0.8456057007125891,0.0015882975421845913,0.020127417519688606,0.02236111111111111,1.3050957918167114,6452080,20,6452080,6452080,0,3.893766147999486,3.8894567050028854,0.5297606760013878,0.0030940460001147585,0.5261664,12434,10,10,0.8726779962499653
11,0.15056268365965605,,,,0.0016014159191399813,0.02026069536805153,,1.3460928201675415,6452080,20,6452080,6452080,0,3.774243182000646,3.7698813160004647,0.44282662799923855,0.0031217499999911524,0.5261664,12434,10,10,0.8726779962499653
12,0.14028996037644503,,,,0.00159747083671391,0.020189441740512848,,1.2585170269012451,6452080,20,6452080,6452080,0,3.8244200720000663,3.8200488920010685,0.45330562599883706,0.0031088920004549436,0.5261664,12434,10,10,0.8726779962499653
13,0.14637263527044148,,,,0.0015866691246628761,0.020032363012433052,,1.291709303855896,6452080,20,6452080,6452080,0,3.764556246000211,3.7604909509973368,0.480861604999518,0.0028990420014451956,0.5261664,12434,10,10,0.8726779962499653
14,0.12316446772086014,,,,0.0016277593094855547,0.02052036114037037,,1.3460173606872559,6452080,20,6452080,6452080,0,3.9227522009987297,3.9186269380006706,0.4686709720008366,0.002945166999779758,0.5261664,12434,10,10,0.8726779962499653
15,0.13183125317268482,0.13079708304610083,0.94601152562936,0.8615863141524106,0.0016250844346359372,0.02047058381140232,0.015,1.3163996934890747,6452080,20,6452080,6452080,0,4.035445692999929,4.03109814900381,0.5012253130007593,0.003082856999753858,0.5261664,12434,10,10,0.8726779962499653
16,0.1332887792647031,,,,0.0016554855974391103,0.020827265456318855,,1.3567765951156616,6452080,20,6452080,6452080,0,3.7978046940006607,3.791726834000656,0.44175868799902673,0.004504988999542547,0.5261664,12434,10,10,0.8726779962499653
17,0.1281481811313159,,,,0.001681629684753716,0.02114717662334442,,1.335683822631836,6452080,20,6452080,6452080,0,3.9909314939995966,3.9865158279990283,0.5145442899993213,0.003096821001236094,0.5261664,12434,10,10,0.8726779962499653
18,0.11954659501455667,,,,0.0016962187364697456,0.021304965019226074,,1.2540168762207031,6452080,20,6452080,6452080,0,3.940835031999086,3.93636003499887,0.502946038999653,0.003316068999993149,0.5261664,12434,10,10,0.8726779962499653
19,0.1264287340127165,,,,0.0017357763135805726,0.021789930760860443,,1.414922833442688,6452080,20,6452080,6452080,0,3.786397425999894,3.782250374002615,0.4607317289992352,0.0030103070002951426,0.5261664,12434,10,10,0.8726779962499653
20,0.11493788903547839,0.1292346313273357,0.9463148316651502,0.864575363427697,0.001803550636395812,0.022610314190387726,0.016944444444444446,1.388131856918335,6452080,20,6452080,6452080,0,3.999455962999491,3.9947390699999232,0.46479216199986695,0.003432043000429985,0.5261664,12434,10,10,0.8726779962499653
21,0.10918015757009605,,,,0.0018792303744703531,0.023529961705207825,,1.3695775270462036,6452080,20,6452080,6452080,0,3.910559223999371,3.9062548090005293,0.4480152630003431,0.0030419030008488335,0.5261664,12434,10,10,0.8726779962499653
22,0.11164725083879176,,,,0.001883251708932221,0.023568520322442055,,1.4138561487197876,6452080,20,6452080,6452080,0,4.188165624998874,4.183249188998161,0.5095221920000768,0.0035717029986699345,0.5261664,12434,10,10,0.8726779962499653
23,0.10504719088286488,,,,0.001928279991261661,0.02410135231912136,,1.356704592704773,6452080,20,6452080,6452080,0,3.996570662000522,3.9922731969963934,0.4831458370008477,0.0031039570003486006,0.5261664,12434,10,10,0.8726779962499653
24,0.11069388181299097,,,,0.0019294687081128359,0.024092283099889755,,1.4758994579315186,6452080,20,6452080,6452080,0,3.974474963999455,3.969950537999466,0.4666226339995774,0.0032451930001116125,0.5261664,12434,10,10,0.8726779962499653
25,0.1031637336316498,0.10284030286550432,0.9581437670609645,0.8890675241157556,0.0019051479175686836,0.02377900294959545,0.029166666666666667,1.34786856174469,6452080,20,6452080,6452080,0,3.9729539479994855,3.968421532999855,0.442376258000877,0.003243612000005669,0.5261664,12434,10,10,0.8726779962499653
26,0.10602993669764742,,,,0.001864049700088799,0.02324320189654827,,1.343362808227539,6452080,20,6452080,6452080,0,4.131203105000168,4.126529395001853,0.5258433440012595,0.0034265169997524936,0.5261664,12434,10,10,0.8726779962499653
27,0.11228678319475649,,,,0.0019589848816394806,0.024417800828814507,,1.368098497390747,6452080,20,6452080,6452080,0,4.024704194000151,4.020346156001324,0.492030428000362,0.003127567000774434,0.5261664,12434,10,10,0.8726779962499653
28,0.09929538074738566,,,,0.0019737430848181248,0.024558797478675842,,1.424362301826477,6452080,20,6452080,6452080,0,3.9038872479995916,3.899423281000054,0.48032174200125155,0.0031849609986238647,0.5261664,12434,10,10,0.8726779962499653
29,0.09892116356697367,,,,0.0020105254370719194,0.025008229538798332,,1.4247967004776,6452080,20,6452080,6452080,0,3.8504662180002924,3.845773041997745,0.48897469700023066,0.003313324999908218,0.5261664,12434,10,10,0.8726779962499653
30,0.10268226782441343,0.09218345205022511,0.9636032757051866,0.9021207177814029,0.0020544196013361216,0.025526996701955795,0.024583333333333332,1.366368055343628,6452080,20,6452080,6452080,0,4.028957724000065,4.024048674000369,0.5025300229990535,0.003560736999133951,0.5261664,12434,10,10,0.8726779962499653
31,0.09443745858898661,,,,0.002033646684139967,0.025251414626836777,,1.32492995262146,6452080,20,6452080,6452080,0,4.040144262000467,4.0320916320015385,0.48272497600009956,0.0067074010003125295,0.5261664,12434,10,10,0.8726779962499653
32,0.10137964891070435,,,,0.002022466855123639,0.02508806623518467,,1.478063941001892,6452080,20,6452080,6452080,0,4.163331888001267,4.1588524890030385,0.5075828660010302,0.0032550450014241505,0.5261664,12434,10,10,0.8726779962499653
33,0.09100537928023686,,,,0.002001563087105751,0.024807577952742577,,1.3977179527282715,6452080,20,6452080,6452080,0,4.051845983000021,4.0469092130006175,0.5076021250006306,0.0035445399989839643,0.5261664,12434,10,10,0.8726779962499653
34,0.09049641539945577,,,,0.002010732889175415,0.024906372651457787,,1.5698692798614502,6452080,20,6452080,6452080,0,4.066073340000003,4.061618176992852,0.4927697860002809,0.0031816050013731,0.5261664,12434,10,10,0.8726779962499653
35,0.09235299370693464,0.10896377031862628,0.9511677282377919,0.8723235527359239,0.002037640195339918,0.02521941065788269,0.021527777777777778,1.4717984199523926,6452080,20,6452080,6452080,0,4.088227735001055,4.083790110002155,0.4844759679999697,0.0032044679992395686,0.5261664,12434,10,10,0.8726779962499653
36,0.0862276027175419,,,,0.0019833047408610582,0.02451939880847931,,1.4394285678863525,6452080,20,6452080,6452080,0,4.062930345000495,4.058489170998655,0.4900556019983924,0.0032203259997913847,0.5261664,12434,10,10,0.8726779962499653
37,0.08938260334003365,,,,0.0020262734033167362,0.02503066696226597,,1.4389034509658813,6452080,20,6452080,6452080,0,3.931549852999524,3.9275318609943497,0.46722965099979774,0.0028706359989882912,0.5261664,12434,10,10,0.8726779962499653
38,0.09092053445726886,,,,0.0020259241573512554,0.02500581555068493,,1.4123259782791138,6452080,20,6452080,6452080,0,4.014336324000396,4.009804917999645,0.5073038259997702,0.0033472640006948495,0.5261664,12434,10,10,0.8726779962499653
39,0.08786598858711527,,,,0.002016168087720871,0.024857955053448677,,1.3764151334762573,6452080,20,6452080,6452080,0,3.96702668800026,3.9626406529987435,0.47915574999933597,0.0031393890003528213,0.5261664,12434,10,10,0.8726779962499653
40,0.08438093093609163,0.09707461885413873,0.959356991204125,0.8931419457735247,0.0019827301148325205,0.024426134303212166,0.023194444444444445,1.506430983543396,6452080,20,6452080,6452080,0,3.981676701001561,3.9771462970002176,0.4789423740003258,0.0033027650006260956,0.5261664,12434,10,10,0.8726779962499653
