epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5736324053463785,,,,0.00040081044426187873,0.005180364474654198,,0.7954535484313965,12904160,40,12904160,12904160,0,3.8899351279997063,3.8809378930000094,0.23947025099914754,0.006367272000716184,0.5261664,12434,20,20,0.9673710108634372
2,0.47200736763577816,,,,0.0007323555182665586,0.009457124397158623,,1.2932558059692383,12904160,40,12904160,12904160,0,3.748713348999445,3.740672916997937,0.2483805020001455,0.005563425000218558,0.5261664,12434,20,20,0.9673710108634372
3,0.38272215644305085,,,,0.0008696481236256659,0.011205418035387993,,1.0596504211425781,12904160,40,12904160,12904160,0,3.8980672270008654,3.890079346001585,0.24995637199936027,0.005556365998927504,0.5261664,12434,20,20,0.9673710108634372
4,0.31266034624752886,,,,0.000971447501797229,0.012501616030931473,,1.2019927501678467,12904160,40,12904160,12904160,0,3.9428746280009364,3.9342226650005614,0.2722018080003181,0.006257848999666749,0.5261664,12434,20,20,0.9673710108634372
5,0.3052224846712217,0.31926377154687324,0.8465271458902032,0.6662269129287599,0.000994427944533527,0.012793145142495632,0.09246710526315789,1.1745610237121582,12904160,40,12904160,12904160,0,4.021294312000464,4.012499149006544,0.2621775380011968,0.004963274999681744,0.5261664,12434,20,20,0.9673710108634372
6,0.300959107578711,,,,0.001067630248144269,0.013728785328567028,,1.104599952697754,12904160,40,12904160,12904160,0,3.719272700000147,3.7113966410033754,0.2316915240007802,0.005492860998856486,0.5261664,12434,20,20,0.9673710108634372
7,0.28354065536306206,,,,0.001148710260167718,0.014764923602342606,,1.2663605213165283,12904160,40,12904160,12904160,0,3.811136947000705,3.8032859599970834,0.23951377000048524,0.005412772999989102,0.5261664,12434,20,20,0.9673710108634372
8,0.2695634455441829,,,,0.0012868096819147468,0.016530822962522507,,1.201296329498291,12904160,40,12904160,12904160,0,3.6723778619998484,3.664227604003827,0.23673612300081004,0.005638911999994889,0.5261664,12434,20,20,0.9673710108634372
9,0.2511623241298494,,,,0.0014361232751980424,0.018428754061460495,,1.3256913423538208,12904160,40,12904160,12904160,0,3.716718996000054,3.709243609000623,0.28720712900030776,0.005258437999145826,0.5261664,12434,20,20,0.9673710108634372
10,0.24296417344687984,0.2994843324845348,0.856839551107067,0.6878306878306878,0.001576470909640193,0.020215637981891632,0.07328947368421053,1.338909387588501,12904160,40,12904160,12904160,0,3.7079433119997702,3.700024610003311,0.22436067200032994,0.005511327000931487,0.5261664,12434,20,20,0.9673710108634372
