split,node,engines,windows,positive,positive_fraction
train,0,4,671,124,0.18479880774962743
train,1,4,606,124,0.20462046204620463
train,2,4,494,124,0.25101214574898784
train,3,4,628,124,0.19745222929936307
train,4,4,521,124,0.2380038387715931
train,5,4,601,124,0.20632279534109818
train,6,4,756,124,0.164021164021164
train,7,4,767,124,0.16166883963494133
train,8,4,661,124,0.1875945537065053
train,9,4,597,124,0.20770519262981574
train,10,4,455,124,0.2725274725274725
train,11,4,691,124,0.17945007235890015
train,12,4,683,124,0.1815519765739385
train,13,4,569,124,0.2179261862917399
train,14,4,724,124,0.1712707182320442
train,15,4,556,124,0.22302158273381295
train,16,4,666,124,0.18618618618618618
train,17,4,563,124,0.2202486678507993
train,18,4,618,124,0.20064724919093851
train,19,4,607,124,0.2042833607907743
validation,0,1,114,31,0.2719298245614035
validation,1,1,116,31,0.2672413793103448
validation,2,1,185,31,0.16756756756756758
validation,3,1,142,31,0.21830985915492956
validation,4,1,114,31,0.2719298245614035
validation,5,1,167,31,0.18562874251497005
validation,6,1,207,31,0.1497584541062802
validation,7,1,125,31,0.248
validation,8,1,218,31,0.14220183486238533
validation,9,1,229,31,0.13537117903930132
validation,10,1,264,31,0.11742424242424243
validation,11,1,226,31,0.13716814159292035
validation,12,1,220,31,0.1409090909090909
validation,13,1,146,31,0.21232876712328766
validation,14,1,86,31,0.36046511627906974
validation,15,1,98,31,0.3163265306122449
validation,16,1,238,31,0.13025210084033614
validation,17,1,164,31,0.18902439024390244
validation,18,1,109,31,0.28440366972477066
validation,19,1,129,31,0.24031007751937986
test,0,5,423,38,0.08983451536643026
test,1,5,532,33,0.06203007518796992
test,2,5,244,3,0.012295081967213115
test,3,5,365,0,0.0
test,4,5,504,52,0.10317460317460317
test,5,5,565,8,0.01415929203539823
test,6,5,376,10,0.026595744680851064
test,7,5,347,0,0.0
test,8,5,704,25,0.03551136363636364
test,9,5,349,24,0.06876790830945559
test,10,5,444,2,0.0045045045045045045
test,11,5,435,21,0.04827586206896552
test,12,5,639,20,0.03129890453834116
test,13,4,324,0,0.0
test,14,4,474,69,0.14556962025316456
test,15,4,279,0,0.0
test,16,4,397,0,0.0
test,17,4,133,0,0.0
test,18,4,353,24,0.0679886685552408
test,19,4,368,3,0.008152173913043478
