split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,534,13,0,124,0.9806259314456036,0.9051094890510949,1.0,0.9501915708812261,0.02376599634369287,0.9881170018281535,671,124,0.5,0.9978622397829804,0.9904193699736765,0.019103646484175243,0.07012855317588935
train,fixed,1,448,34,0,124,0.9438943894389439,0.7848101265822784,1.0,0.8794326241134752,0.07053941908713693,0.9647302904564315,606,124,0.5,0.9945957703118725,0.9797255211623247,0.043428644521360166,0.1504779855112072
train,fixed,2,353,17,11,113,0.9433198380566802,0.8692307692307693,0.9112903225806451,0.889763779527559,0.04594594594594595,0.9326721883173497,494,124,0.5,0.9864646904969485,0.9629006663516759,0.04298825514292575,0.13843407428883966
train,fixed,3,480,24,1,123,0.9601910828025477,0.8367346938775511,0.9919354838709677,0.9077490774907749,0.047619047619047616,0.97215821812596,628,124,0.5,0.9984799027137736,0.9945716210607197,0.025600234573831128,0.08056312561285839
train,fixed,4,385,12,1,123,0.9750479846449136,0.9111111111111111,0.9919354838709677,0.9498069498069498,0.030226700251889168,0.9808543918095394,521,124,0.5,0.997298285528561,0.991421957034577,0.02136373270016741,0.07725557613798947
train,fixed,5,473,4,8,116,0.9800332778702163,0.9666666666666667,0.9354838709677419,0.9508196721311475,0.008385744234800839,0.9635490633664705,601,124,0.5,0.9982416987894772,0.9933187218142701,0.0181348361453804,0.07008775435527134
train,fixed,6,628,4,12,112,0.9788359788359788,0.9655172413793104,0.9032258064516129,0.9333333333333333,0.006329113924050633,0.9484483462637812,756,124,0.5,0.9965929971416905,0.9857108145432762,0.017421760002649275,0.06278753831616014
train,fixed,7,639,4,8,116,0.984354628422425,0.9666666666666667,0.9354838709677419,0.9508196721311475,0.006220839813374806,0.9646315155771835,767,124,0.5,0.9990468068027893,0.9951892998239674,0.011580415531481928,0.04717441353856561
train,fixed,8,522,15,5,119,0.9697428139183056,0.8880597014925373,0.9596774193548387,0.9224806201550387,0.027932960893854747,0.965872229230492,661,124,0.5,0.99487895716946,0.9780769436835178,0.02410521350699249,0.08390620851606012
train,fixed,9,467,6,1,123,0.9882747068676717,0.9534883720930233,0.9919354838709677,0.9723320158102767,0.012684989429175475,0.9896252472208962,597,124,0.5,0.9996931050944554,0.9988684730688255,0.010581644480463212,0.04461668169584695
train,fixed,10,323,8,2,122,0.978021978021978,0.9384615384615385,0.9838709677419355,0.9606299212598425,0.02416918429003021,0.9798508917259526,455,124,0.5,0.9992447129909365,0.9980757442369679,0.015011506403026795,0.06137171872244939
train,fixed,11,558,9,0,124,0.9869753979739508,0.9323308270676691,1.0,0.9649805447470817,0.015873015873015872,0.9920634920634921,691,124,0.5,0.9998577686749729,0.999354663004572,0.010627383576983894,0.04328873817203472
train,fixed,12,555,4,17,107,0.9692532942898975,0.963963963963964,0.8629032258064516,0.9106382978723404,0.007155635062611807,0.9278737953719198,683,124,0.5,0.997056956546829,0.9873351046641929,0.020541474775505875,0.06599539617211621
train,fixed,13,445,0,32,92,0.9437609841827768,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,569,124,0.5,0.9975172163827474,0.991524336790262,0.03470242990152506,0.10662095646575967
train,fixed,14,596,4,8,116,0.9834254143646409,0.9666666666666667,0.9354838709677419,0.9508196721311475,0.006666666666666667,0.9644086021505376,724,124,0.5,0.9960483870967741,0.9852344335760187,0.02079017987126027,0.07384739626591899
train,fixed,15,429,3,16,108,0.9658273381294964,0.972972972972973,0.8709677419354839,0.9191489361702128,0.006944444444444444,0.9320116487455197,556,124,0.5,0.9956877240143369,0.9864941345714121,0.02674204868504427,0.09839858956079946
train,fixed,16,538,4,18,106,0.9669669669669669,0.9636363636363636,0.8548387096774194,0.905982905982906,0.007380073800738007,0.9237293179383407,666,124,0.5,0.9954469705987382,0.9822320315002284,0.02364522940795089,0.07861273924604038
train,fixed,17,439,0,12,112,0.9786856127886323,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,563,124,0.5,0.9997244470570946,0.9990275898712093,0.015766096973299122,0.06093742581682102
train,fixed,18,487,7,7,117,0.9773462783171522,0.9435483870967742,0.9435483870967742,0.9435483870967742,0.01417004048582996,0.9646891733054721,618,124,0.5,0.9958208175525662,0.9863805102153254,0.021779879090795772,0.08250134328959882
train,fixed,19,462,21,9,115,0.9505766062602965,0.8455882352941176,0.9274193548387096,0.8846153846153846,0.043478260869565216,0.9419705469845723,607,124,0.5,0.9939390903626528,0.9810001847961248,0.028969449835404545,0.09800913140896207
train,val_f1,0,528,19,0,124,0.9716840536512668,0.8671328671328671,1.0,0.9288389513108615,0.03473491773308958,0.9826325411334552,671,124,0.42000000000000004,0.9978622397829804,0.9904193699736765,0.019103646484175243,0.07012855317588935
train,val_f1,1,443,39,0,124,0.9356435643564357,0.7607361963190185,1.0,0.8641114982578397,0.08091286307053942,0.9595435684647302,606,124,0.42000000000000004,0.9945957703118725,0.9797255211623247,0.043428644521360166,0.1504779855112072
train,val_f1,2,349,21,9,115,0.9392712550607287,0.8455882352941176,0.9274193548387096,0.8846153846153846,0.05675675675675676,0.9353312990409764,494,124,0.42000000000000004,0.9864646904969485,0.9629006663516759,0.04298825514292575,0.13843407428883966
train,val_f1,3,477,27,0,124,0.9570063694267515,0.8211920529801324,1.0,0.9018181818181819,0.05357142857142857,0.9732142857142857,628,124,0.42000000000000004,0.9984799027137736,0.9945716210607197,0.025600234573831128,0.08056312561285839
train,val_f1,4,382,15,0,124,0.9712092130518234,0.8920863309352518,1.0,0.9429657794676806,0.037783375314861464,0.9811083123425692,521,124,0.42000000000000004,0.997298285528561,0.991421957034577,0.02136373270016741,0.07725557613798947
train,val_f1,5,472,5,6,118,0.9816971713810316,0.959349593495935,0.9516129032258065,0.9554655870445344,0.010482180293501049,0.9705653614661527,601,124,0.42000000000000004,0.9982416987894772,0.9933187218142701,0.0181348361453804,0.07008775435527134
train,val_f1,6,625,7,10,114,0.9775132275132276,0.9421487603305785,0.9193548387096774,0.9306122448979591,0.011075949367088608,0.9541394446712944,756,124,0.42000000000000004,0.9965929971416905,0.9857108145432762,0.017421760002649275,0.06278753831616014
train,val_f1,7,636,7,5,119,0.984354628422425,0.9444444444444444,0.9596774193548387,0.952,0.01088646967340591,0.9743954748407164,767,124,0.42000000000000004,0.9990468068027893,0.9951892998239674,0.011580415531481928,0.04717441353856561
train,val_f1,8,518,19,5,119,0.9636913767019667,0.8623188405797102,0.9596774193548387,0.9083969465648855,0.035381750465549346,0.9621478344446447,661,124,0.42000000000000004,0.99487895716946,0.9780769436835178,0.02410521350699249,0.08390620851606012
train,val_f1,9,463,10,0,124,0.983249581239531,0.9253731343283582,1.0,0.9612403100775194,0.021141649048625793,0.9894291754756871,597,124,0.42000000000000004,0.9996931050944554,0.9988684730688255,0.010581644480463212,0.04461668169584695
train,val_f1,10,320,11,1,123,0.9736263736263736,0.917910447761194,0.9919354838709677,0.9534883720930233,0.03323262839879154,0.9793514277360882,455,124,0.42000000000000004,0.9992447129909365,0.9980757442369679,0.015011506403026795,0.06137171872244939
train,val_f1,11,554,13,0,124,0.9811866859623734,0.9051094890510949,1.0,0.9501915708812261,0.02292768959435626,0.9885361552028218,691,124,0.42000000000000004,0.9998577686749729,0.999354663004572,0.010627383576983894,0.04328873817203472
train,val_f1,12,554,5,14,110,0.972181551976574,0.9565217391304348,0.8870967741935484,0.9205020920502092,0.008944543828264758,0.9390761151826419,683,124,0.42000000000000004,0.997056956546829,0.9873351046641929,0.020541474775505875,0.06599539617211621
train,val_f1,13,445,0,24,100,0.9578207381370826,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,569,124,0.42000000000000004,0.9975172163827474,0.991524336790262,0.03470242990152506,0.10662095646575967
train,val_f1,14,580,20,7,117,0.962707182320442,0.8540145985401459,0.9435483870967742,0.896551724137931,0.03333333333333333,0.9551075268817204,724,124,0.42000000000000004,0.9960483870967741,0.9852344335760187,0.02079017987126027,0.07384739626591899
train,val_f1,15,426,6,8,116,0.9748201438848921,0.9508196721311475,0.9354838709677419,0.943089430894309,0.013888888888888888,0.9607974910394266,556,124,0.42000000000000004,0.9956877240143369,0.9864941345714121,0.02674204868504427,0.09839858956079946
train,val_f1,16,529,13,11,113,0.963963963963964,0.8968253968253969,0.9112903225806451,0.904,0.023985239852398525,0.9436525413641232,666,124,0.42000000000000004,0.9954469705987382,0.9822320315002284,0.02364522940795089,0.07861273924604038
