split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,232,0,9,53,0.9693877551020408,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,294,62,0.5,0.9985400444938821,0.9947507309791437,0.025921992057606234,0.09586441751930821
train,fixed,1,311,4,9,53,0.9655172413793104,0.9298245614035088,0.8548387096774194,0.8907563025210085,0.012698412698412698,0.9210701484895034,377,62,0.5,0.9956477214541731,0.9792164098690956,0.023721350450025228,0.07981643367267931
train,fixed,2,304,8,0,62,0.9786096256684492,0.8857142857142857,1.0,0.9393939393939394,0.02564102564102564,0.9871794871794872,374,62,0.5,0.9999483043837882,0.9997439836149513,0.01903990388697267,0.08511232610813896
train,fixed,3,170,0,23,39,0.9008620689655172,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,232,62,0.5,0.9833017077798862,0.9633223815897741,0.0778982955776664,0.2846054730297507
train,fixed,4,141,0,31,31,0.8472906403940886,1.0,0.5,0.6666666666666666,0.0,0.75,203,62,0.5,0.9935941432166552,0.9867294087149707,0.11209532735301396,0.3512562247107688
train,fixed,5,229,0,20,42,0.9312714776632303,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,291,62,0.5,0.9643611776306522,0.9089678782986801,0.06521850747011011,0.2682732679026827
train,fixed,6,256,0,11,51,0.9654088050314465,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,318,62,0.5,0.9962197580645161,0.9859682411535858,0.028421728172510943,0.096006102474836
train,fixed,7,248,0,12,50,0.9612903225806452,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,310,62,0.5,0.9999349635796045,0.9997439836149513,0.024828948707759035,0.08663331401615001
train,fixed,8,193,15,0,62,0.9444444444444444,0.8051948051948052,1.0,0.8920863309352518,0.07211538461538461,0.9639423076923077,270,62,0.5,0.9959677419354839,0.9875903848292132,0.04174475677903523,0.14081877546131108
train,fixed,9,189,0,8,54,0.9681274900398407,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,251,62,0.5,0.9991466120498379,0.9974773259388894,0.02272792150136545,0.0752963493732375
train,fixed,10,173,3,5,57,0.9663865546218487,0.95,0.9193548387096774,0.9344262295081968,0.017045454545454544,0.9511546920821115,238,62,0.5,0.9923936950146628,0.9838569836568312,0.03045444102488734,0.11344104539947966
train,fixed,11,289,12,6,56,0.9504132231404959,0.8235294117647058,0.9032258064516129,0.8615384615384616,0.03986710963455149,0.9316793484085306,363,62,0.5,0.9935698210266852,0.972737413842619,0.02996185622970343,0.10626600262733832
train,fixed,12,249,0,24,38,0.9228295819935691,1.0,0.6129032258064516,0.76,0.0,0.8064516129032258,311,62,0.5,0.9735069309496049,0.9252860618287538,0.06224404838049624,0.2227507953997612
train,fixed,13,362,21,0,62,0.952808988764045,0.7469879518072289,1.0,0.8551724137931035,0.05483028720626632,0.9725848563968669,445,62,0.5,0.9988629663943401,0.9933762128921608,0.031353580174752774,0.10502947640783038
train,fixed,14,389,22,0,62,0.9534883720930233,0.7380952380952381,1.0,0.8493150684931506,0.0535279805352798,0.97323600973236,473,62,0.5,0.9970175025508202,0.9819076266304058,0.033133505717885176,0.10688345641779914
train,fixed,15,232,0,12,50,0.9591836734693877,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,294,62,0.5,0.9974276974416018,0.9911535909110061,0.030272634589163107,0.09864419960981141
train,fixed,16,176,0,24,38,0.8991596638655462,1.0,0.6129032258064516,0.76,0.0,0.8064516129032258,238,62,0.5,0.9913856304985338,0.9792370763373224,0.07310839812181141,0.23493081718146958
train,fixed,17,351,10,4,58,0.966903073286052,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.027700831024930747,0.9538915199714055,423,62,0.5,0.993834331158967,0.9646038706360515,0.023672806679012594,0.08276812208052416
train,fixed,18,235,0,22,40,0.9259259259259259,1.0,0.6451612903225806,0.7843137254901961,0.0,0.8225806451612903,297,62,0.5,0.9956074124914207,0.9855886787967504,0.05136474482789675,0.16338707742808242
train,fixed,19,238,0,19,43,0.9366666666666666,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,300,62,0.5,0.9982380048793711,0.9936939457337939,0.04061387496757715,0.12206469559936302
train,fixed,20,127,0,12,50,0.9365079365079365,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,189,62,0.5,0.999491998983998,0.9989954374449691,0.04291327091833866,0.14734022848634298
train,fixed,21,204,0,21,41,0.9210526315789473,1.0,0.6612903225806451,0.7961165048543689,0.0,0.8306451612903225,266,62,0.5,0.9992884250474383,0.9977758821242808,0.05290910174550663,0.15804218189328437
train,fixed,22,314,0,12,50,0.9680851063829787,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,376,62,0.5,1.0,1.0,0.01932147426324247,0.06085330573821154
train,fixed,23,251,2,0,62,0.9936507936507937,0.96875,1.0,0.9841269841269841,0.007905138339920948,0.9960474308300395,315,62,0.5,0.9998087466530665,0.9992358220603538,0.013227219654753134,0.05784016139139664
train,fixed,24,311,0,19,43,0.9490616621983914,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,373,62,0.5,0.9994813815994191,0.9974773259388894,0.031482940263285145,0.09449464250522381
train,fixed,25,242,6,5,57,0.964516129032258,0.9047619047619048,0.9193548387096774,0.912,0.024193548387096774,0.9475806451612903,310,62,0.5,0.9960978147762748,0.9852131459414248,0.02391971200276321,0.0895991106276552
train,fixed,26,197,0,21,41,0.918918918918919,1.0,0.6612903225806451,0.7961165048543689,0.0,0.8306451612903225,259,62,0.5,0.9990993941378746,0.9972511839217026,0.04969563992274722,0.1491720506527129
train,fixed,27,239,9,7,55,0.9483870967741935,0.859375,0.8870967741935484,0.873015873015873,0.036290322580645164,0.9254032258064516,310,62,0.5,0.9916103017689906,0.9706767886121013,0.03130709894438281,0.09914302909229472
train,fixed,28,220,0,18,44,0.9361702127659575,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,282,62,0.5,0.9958944281524926,0.9865910136021689,0.04562055386847375,0.14664387683223976
train,fixed,29,355,25,0,62,0.9434389140271493,0.7126436781609196,1.0,0.8322147651006712,0.06578947368421052,0.9671052631578947,442,62,0.5,0.9961799660441426,0.9784885178474461,0.03464114596559556,0.10955952389701196
train,fixed,30,242,0,25,37,0.9177631578947368,1.0,0.5967741935483871,0.7474747474747475,0.0,0.7983870967741935,304,62,0.5,0.9954678752332712,0.9847144836588347,0.053912675910765935,0.16165514236173176
train,fixed,31,190,0,26,36,0.8968253968253969,1.0,0.5806451612903226,0.7346938775510204,0.0,0.7903225806451613,252,62,0.5,0.9828522920203735,0.9574138796229639,0.07396345334449858,0.24054198503943022
train,fixed,32,256,0,18,44,0.9433962264150944,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,318,62,0.5,0.995085685483871,0.9816131608458959,0.036557815729354334,0.11662329555207342
train,fixed,33,286,0,17,45,0.9511494252873564,1.0,0.7258064516129032,0.8411214953271028,0.0,0.8629032258064516,348,62,0.5,0.9867471238438981,0.949418618991087,0.040889190202496616,0.1319536700332947
train,fixed,34,203,0,14,48,0.9471698113207547,1.0,0.7741935483870968,0.8727272727272727,0.0,0.8870967741935484,265,62,0.5,1.0,1.0,0.029744273386450703,0.10235586221465728
train,fixed,35,236,0,25,37,0.9161073825503355,1.0,0.5967741935483871,0.7474747474747475,0.0,0.7983870967741935,298,62,0.5,1.0,1.0,0.05824477434889497,0.17057901603942888
train,fixed,36,237,0,21,41,0.9297658862876255,1.0,0.6612903225806451,0.7961165048543689,0.0,0.8306451612903225,299,62,0.5,1.0,1.0,0.04803063763525521,0.1441885793805286
train,fixed,37,257,0,12,50,0.9623824451410659,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,319,62,0.5,0.9986193046316053,0.9945931944471641,0.02704678326986907,0.09516981349696896
train,fixed,38,229,0,19,43,0.9347079037800687,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,291,62,0.5,0.9882377799690096,0.9697841811416976,0.04716935768670699,0.15939078670046714
train,fixed,39,254,0,10,52,0.9683544303797469,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,316,62,0.5,0.9900304800609602,0.9695155959862373,0.03262904294061266,0.11798472401022086
train,val_f1,0,231,1,5,57,0.9795918367346939,0.9827586206896551,0.9193548387096774,0.95,0.004310344827586207,0.9575222469410456,294,62,0.41000000000000003,0.9985400444938821,0.9947507309791437,0.025921992057606234,0.09586441751930821
train,val_f1,1,309,6,7,55,0.9655172413793104,0.9016393442622951,0.8870967741935484,0.8943089430894309,0.01904761904761905,0.9340245775729646,377,62,0.41000000000000003,0.9956477214541731,0.9792164098690956,0.023721350450025228,0.07981643367267931
train,val_f1,2,300,12,0,62,0.9679144385026738,0.8378378378378378,1.0,0.9117647058823529,0.038461538461538464,0.9807692307692308,374,62,0.41000000000000003,0.9999483043837882,0.9997439836149513,0.01903990388697267,0.08511232610813896
train,val_f1,3,170,0,20,42,0.9137931034482759,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,232,62,0.41000000000000003,0.9833017077798862,0.9633223815897741,0.0778982955776664,0.2846054730297507
train,val_f1,4,141,0,29,33,0.8571428571428571,1.0,0.532258064516129,0.6947368421052632,0.0,0.7661290322580645,203,62,0.41000000000000003,0.9935941432166552,0.9867294087149707,0.11209532735301396,0.3512562247107688
train,val_f1,5,227,2,17,45,0.9347079037800687,0.9574468085106383,0.7258064516129032,0.8256880733944955,0.008733624454148471,0.8585364135793774,291,62,0.41000000000000003,0.9643611776306522,0.9089678782986801,0.06521850747011011,0.2682732679026827
train,val_f1,6,256,0,8,54,0.9748427672955975,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,318,62,0.41000000000000003,0.9962197580645161,0.9859682411535858,0.028421728172510943,0.096006102474836
