epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4894915599369716,,,,0.0005314454319886863,0.0068520065397024155,,0.7972190976142883,3226040,10,3226040,3226040,0,4.050447378998797,4.0476684360000945,0.8658138479986519,0.0021021579996158835,0.5261664,12434,5,5,0.539344662916632
2,0.28165076358443175,,,,0.0007196966907940805,0.009230295196175575,,0.7934026718139648,3226040,10,3226040,3226040,0,4.011284874000921,4.00877569199838,0.8384089949995541,0.001725506999719073,0.5261664,12434,5,5,0.539344662916632
3,0.23500237428178905,,,,0.0008408048306591809,0.010760348290205002,,0.9293105006217957,3226040,10,3226040,3226040,0,4.19456129900027,4.190641384995615,0.892883158998302,0.002383147999353241,0.5261664,12434,5,5,0.539344662916632
4,0.19767637813724476,,,,0.000938344863243401,0.011952059343457222,,1.1439719200134277,3226040,10,3226040,3226040,0,4.069616492000932,4.0670535339995695,0.8408643999991909,0.0018107799987774342,0.5261664,12434,5,5,0.539344662916632
5,0.17565150915613711,0.15566396316722933,0.935395814376706,0.8308181096108023,0.0008889068849384785,0.011276721023023129,0.02,1.035584568977356,3226040,10,3226040,3226040,0,4.101366750999659,4.0986558099994,0.8954564699997718,0.001992056000744924,0.5261664,12434,5,5,0.539344662916632
6,0.1456906588859787,,,,0.0009507438517175615,0.01201323326677084,,1.1953130960464478,3226040,10,3226040,3226040,0,4.1016369970002415,4.099138863997723,0.8729198429991811,0.001860184000179288,0.5261664,12434,5,5,0.539344662916632
7,0.12472992290555207,,,,0.0009659482748247683,0.012182997539639473,,1.1319636106491089,3226040,10,3226040,3226040,0,4.165799680999044,4.163341072999174,0.8709831529995427,0.0017388979995303089,0.5261664,12434,5,5,0.539344662916632
8,0.1231223057620973,,,,0.001024628640152514,0.012898014858365059,,1.1454342603683472,3226040,10,3226040,3226040,0,3.9413394720013457,3.9388547799972002,0.8277623019985185,0.001785982998626423,0.5261664,12434,5,5,0.539344662916632
9,0.11422834406274132,,,,0.001014959765598178,0.012743609957396984,,1.3590840101242065,3226040,10,3226040,3226040,0,3.9412595849989884,3.9387296240020078,0.8315444449999632,0.0018540000000939472,0.5261664,12434,5,5,0.539344662916632
10,0.11559229111276588,0.10659159969297227,0.9566272368820139,0.8860557768924303,0.0010189483873546124,0.012777553871273994,0.01875,1.0770509243011475,3226040,10,3226040,3226040,0,3.8754802589992323,3.8730287779999344,0.8150555329993949,0.001738552999086096,0.5261664,12434,5,5,0.539344662916632
