split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1885,18,40,456,0.9758232596915382,0.9620253164556962,0.9193548387096774,0.9402061855670103,0.009458749343142408,0.9549480446832674,2399,496,0.5,0.9976035292322818,0.9912101402792882,0.016918996728517415,0.05575276378593852
train,fixed,1,2136,13,19,477,0.9879017013232514,0.9734693877551021,0.9616935483870968,0.9675456389452333,0.00604932526756631,0.9778221115597652,2645,496,0.5,0.9992269472672961,0.9967593452837072,0.009798961109044775,0.036029893567365426
train,fixed,2,1859,49,17,479,0.9725457570715474,0.9071969696969697,0.9657258064516129,0.935546875,0.025681341719077568,0.9700222323662677,2404,496,0.5,0.996375617096098,0.9887916589289725,0.019049061693466582,0.06425761132675342
train,fixed,3,2011,25,13,483,0.9849921011058452,0.9507874015748031,0.9737903225806451,0.9621513944223108,0.012278978388998035,0.9807556720958235,2532,496,0.5,0.9987295218328157,0.9947431603244661,0.01253386043813559,0.043759977269671416
train,fixed,4,1929,29,30,466,0.9759576202118989,0.9414141414141414,0.9395161290322581,0.9404641775983855,0.01481103166496425,0.962352548683647,2454,496,0.5,0.9976759942666975,0.9916495368810837,0.01594893409044363,0.05235597159265026
train,val_f1,0,1858,45,12,484,0.976240100041684,0.9149338374291115,0.9758064516129032,0.944390243902439,0.023646873357856018,0.9760797891275237,2399,496,0.26,0.9976035292322818,0.9912101402792882,0.016918996728517415,0.05575276378593852
train,val_f1,1,2104,45,4,492,0.9814744801512287,0.9162011173184358,0.9919354838709677,0.952565343659245,0.020939972080037228,0.9854977558954653,2645,496,0.26,0.9992269472672961,0.9967593452837072,0.009798961109044775,0.036029893567365426
train,val_f1,2,1828,80,9,487,0.9629783693843594,0.8589065255731922,0.9818548387096774,0.916274694261524,0.041928721174004195,0.9699630587678366,2404,496,0.26,0.996375617096098,0.9887916589289725,0.019049061693466582,0.06425761132675342
train,val_f1,3,1969,67,0,496,0.9735387045813586,0.8809946714031972,1.0,0.9367327667610954,0.032907662082514735,0.9835461689587426,2532,496,0.26,0.9987295218328157,0.9947431603244661,0.01253386043813559,0.043759977269671416
train,val_f1,4,1891,67,12,484,0.9678076609616952,0.8784029038112523,0.9758064516129032,0.9245463228271251,0.03421859039836568,0.9707939306072688,2454,496,0.26,0.9976759942666975,0.9916495368810837,0.01594893409044363,0.05235597159265026
train,val_fpr02,0,1874,29,30,466,0.9754064193413923,0.9414141414141414,0.9395161290322581,0.9404641775983855,0.015239096163951655,0.9621385164341532,2399,496,0.4,0.9976035292322818,0.9912101402792882,0.016918996728517415,0.05575276378593852
train,val_fpr02,1,2128,21,12,484,0.987523629489603,0.9584158415841584,0.9758064516129032,0.967032967032967,0.009771986970684038,0.9830172323211096,2645,496,0.4,0.9992269472672961,0.9967593452837072,0.009798961109044775,0.036029893567365426
train,val_fpr02,2,1845,63,14,482,0.9679700499168054,0.8844036697247707,0.9717741935483871,0.9260326609029779,0.0330188679245283,0.9693776628119294,2404,496,0.4,0.996375617096098,0.9887916589289725,0.019049061693466582,0.06425761132675342
