epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5210044524580459,,,,0.0006033424870111048,0.007786865346133709,,0.7722752690315247,6452080,20,6452080,6452080,0,4.007615796999744,4.002296252994711,0.5170980409966432,0.003900785002770135,0.5261664,12690,10,10,0.8726779962499653
2,0.3824187114178719,,,,0.0009738033404573798,0.012527598068118095,,0.9284602403640747,6452080,20,6452080,6452080,0,3.795179864999227,3.790951199003757,0.44159245999981067,0.0029966840011184104,0.5261664,12690,10,10,0.8726779962499653
3,0.2979559107779459,,,,0.0010702763684093952,0.013758372515439987,,0.9729504585266113,6452080,20,6452080,6452080,0,3.775791168998694,3.7715348649981024,0.4256590619988856,0.0030331359994306695,0.5261664,12690,10,10,0.8726779962499653
4,0.26082726834250936,,,,0.0013513786252588034,0.01734047383069992,,0.9988867044448853,6452080,20,6452080,6452080,0,3.9820847309965757,3.9777589139994234,0.4507413920000545,0.0030627249980170745,0.5261664,12690,10,10,0.8726779962499653
5,0.23672889791850732,0.19838951078156772,0.9200920749753371,0.7610619469026548,0.001571650500409305,0.020133163779973984,0.013194444444444444,1.0764720439910889,6452080,20,6452080,6452080,0,3.7831346109996957,3.778933624005731,0.45685290500114206,0.0030663079996884335,0.5261664,12690,10,10,0.8726779962499653
6,0.21644227813934447,,,,0.0016928454861044884,0.021638771519064903,,1.0577048063278198,6452080,20,6452080,6452080,0,3.7643642849980097,3.7599755299961544,0.4329915300004359,0.003136871997412527,0.5261664,12690,10,10,0.8726779962499653
7,0.19054456815514936,,,,0.0017658616416156292,0.022521989420056343,,1.1368327140808105,6452080,20,6452080,6452080,0,3.860035573998175,3.8556215740027255,0.4794252530009544,0.003140144999633776,0.5261664,12690,10,10,0.8726779962499653
8,0.17825145388927602,,,,0.0017715012654662132,0.02255641296505928,,1.0963999032974243,6452080,20,6452080,6452080,0,3.6789535710013297,3.674870053997438,0.4381376210003509,0.0028295129995967727,0.5261664,12690,10,10,0.8726779962499653
9,0.15345852298007417,,,,0.001715209917165339,0.02180207148194313,,1.2229714393615723,6452080,20,6452080,6452080,0,3.8874619689995598,3.8830808069942577,0.43607257199982996,0.0030684749981446657,0.5261664,12690,10,10,0.8726779962499653
10,0.14493306498237046,0.13452286797851024,0.9460703715882933,0.8481481481481481,0.0016948615666478872,0.021510949358344078,0.034305555555555554,1.1454687118530273,6452080,20,6452080,6452080,0,3.8207483460028016,3.8164143149988377,0.43505719099994167,0.003084240001044236,0.5261664,12690,10,10,0.8726779962499653
