epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.0006287581636570394,0.00811542384326458,,0.812056839466095,6452080,20,6452080,6452080,0,3.843275344999711,3.8383111490038573,0.5100189990007493,0.0035719049992621876,0.5261664,12690,10,10,0.8726779962499653
2,0.3815498737127272,,,,0.0010499355848878622,0.013509484939277172,,1.0036871433258057,6452080,20,6452080,6452080,0,3.7307702739999513,3.7260270660008246,0.4173216560011497,0.0033688180010358337,0.5261664,12690,10,10,0.8726779962499653
3,0.29684008677814433,,,,0.0011695816647261381,0.015038431622087955,,0.9670137166976929,6452080,20,6452080,6452080,0,3.825789098998939,3.821075471008953,0.43015699700117693,0.0033589170016057324,0.5261664,12690,10,10,0.8726779962499653
4,0.24959951037004524,,,,0.001409723423421383,0.018094440922141075,,1.0940419435501099,6452080,20,6452080,6452080,0,3.7871885860004113,3.7820296850004524,0.4451815640022687,0.0035682730012922548,0.5261664,12690,10,10,0.8726779962499653
5,0.2285371330105082,0.1972369591294191,0.9197632357777047,0.7631067961165049,0.0016003784257918596,0.020509298890829086,0.02861111111111111,1.0877479314804077,6452080,20,6452080,6452080,0,3.81398928300041,3.8097231369974907,0.45068260300104157,0.0030269550006778445,0.5261664,12690,10,10,0.8726779962499653
6,0.21185034161261312,,,,0.001752020907588303,0.02240622602403164,,1.1570074558258057,6452080,20,6452080,6452080,0,3.758754827998928,3.7544525829980557,0.4346383189986227,0.0030159749985614326,0.5261664,12690,10,10,0.8726779962499653
7,0.19626457923742707,,,,0.0017913465853780508,0.02286398969590664,,1.1977201700210571,6452080,20,6452080,6452080,0,3.7435830529975647,3.7392081859907194,0.43469249900226714,0.0030688510014442727,0.5261664,12690,10,10,0.8726779962499653
8,0.17003732547101508,,,,0.0018057192210108042,0.023004738613963127,,1.2839064598083496,6452080,20,6452080,6452080,0,3.8466366149987152,3.842336855006579,0.43080604799979483,0.0030860890001349617,0.5261664,12690,10,10,0.8726779962499653
9,0.15786608020638665,,,,0.0017420037183910608,0.022165298461914062,,1.11075758934021,6452080,20,6452080,6452080,0,4.1485367460009,4.144196930992621,0.454062458997214,0.003091725000558654,0.5261664,12690,10,10,0.8726779962499653
10,0.14774091603626743,0.13514589027417037,0.9454126931930286,0.8493647912885662,0.0017202080925926566,0.02185634709894657,0.028333333333333332,1.1527715921401978,6452080,20,6452080,6452080,0,3.913241342001129,3.908881338997162,0.45136633400034043,0.003096595999522833,0.5261664,12690,10,10,0.8726779962499653
11,0.1497424119848674,,,,0.00173130352050066,0.02197173796594143,,1.1919238567352295,6452080,20,6452080,6452080,0,3.8458394020017295,3.84155048699904,0.443203953000193,0.0030535449986928143,0.5261664,12690,10,10,0.8726779962499653
12,0.14865434223984494,,,,0.0017313089920207858,0.021955130621790886,,1.2537873983383179,6452080,20,6452080,6452080,0,3.8498662800011516,3.8455558829991787,0.44620601100177737,0.0030358770018210635,0.5261664,12690,10,10,0.8726779962499653
13,0.1396640958776926,,,,0.0017011892050504684,0.02155313640832901,,1.1003128290176392,6452080,20,6452080,6452080,0,3.9697829530014133,3.9655068130050495,0.4533966410017456,0.0030468240001937374,0.5261664,12690,10,10,0.8726779962499653
14,0.13009039294342753,,,,0.0016992449527606368,0.02151021733880043,,1.2502140998840332,6452080,20,6452080,6452080,0,3.9230709729999944,3.9188524249948387,0.4445412530003523,0.0030046829997445457,0.5261664,12690,10,10,0.8726779962499653
15,0.13107209081831891,0.09744081779527937,0.964156527458073,0.908939014202172,0.0017103466670960188,0.021631263196468353,0.018055555555555554,1.0987004041671753,6452080,20,6452080,6452080,0,3.8783468900001026,3.8740647900012846,0.4443135110013827,0.0030600919999415055,0.5261664,12690,10,10,0.8726779962499653
