epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.0006287581636570394,0.00811542384326458,,0.812056839466095,6452080,20,6452080,6452080,0,4.16692989799958,4.162054058997455,0.5293653829994582,0.003559163999852899,0.5261664,12690,10,10,0.8726779962499653
2,0.3815498737127272,,,,0.0010499355848878622,0.013509484939277172,,1.0036871433258057,6452080,20,6452080,6452080,0,4.048105383999427,4.044064660000913,0.4734693159998642,0.002984032999847841,0.5261664,12690,10,10,0.8726779962499653
3,0.29684008677814433,,,,0.0011695816647261381,0.015038431622087955,,0.9670137166976929,6452080,20,6452080,6452080,0,4.033856723000099,4.029710048997913,0.4555615579993173,0.003060621000258834,0.5261664,12690,10,10,0.8726779962499653
4,0.24959951037004524,,,,0.001409723423421383,0.018094440922141075,,1.0940419435501099,6452080,20,6452080,6452080,0,3.9251177959995402,3.9206070560003354,0.4395815340003537,0.0032288990005326923,0.5261664,12690,10,10,0.8726779962499653
5,0.2285371330105082,0.1972369591294191,0.9197632357777047,0.7631067961165049,0.0016003784257918596,0.020509298890829086,0.02861111111111111,1.0877479314804077,6452080,20,6452080,6452080,0,3.8485200670002087,3.8443205180001314,0.44812833400010277,0.0030528309998771874,0.5261664,12690,10,10,0.8726779962499653
6,0.21185034161261312,,,,0.001752020907588303,0.02240622602403164,,1.1570074558258057,6452080,20,6452080,6452080,0,3.874729971999841,3.870507673999782,0.4462275129999398,0.0030807539997113054,0.5261664,12690,10,10,0.8726779962499653
7,0.19626457923742707,,,,0.0017913465853780508,0.02286398969590664,,1.1977201700210571,6452080,20,6452080,6452080,0,3.9073083550001684,3.903025061997141,0.44480409099924145,0.003148116999909689,0.5261664,12690,10,10,0.8726779962499653
8,0.17003732547101508,,,,0.0018057192210108042,0.023004738613963127,,1.2839064598083496,6452080,20,6452080,6452080,0,4.068214703999729,4.063833015000455,0.49495157900037157,0.0031936289997247513,0.5261664,12690,10,10,0.8726779962499653
9,0.15786608020638665,,,,0.0017420037183910608,0.022165298461914062,,1.11075758934021,6452080,20,6452080,6452080,0,4.13829526400059,4.134018674000799,0.49766986800023005,0.003066272000069148,0.5261664,12690,10,10,0.8726779962499653
10,0.14774091603626743,0.13514589027417037,0.9454126931930286,0.8493647912885662,0.0017202080925926566,0.02185634709894657,0.028333333333333332,1.1527715921401978,6452080,20,6452080,6452080,0,4.159375086000182,4.154956558999402,0.48798690299918235,0.0032319259998985217,0.5261664,12690,10,10,0.8726779962499653
11,0.1497424119848674,,,,0.00173130352050066,0.02197173796594143,,1.1919238567352295,6452080,20,6452080,6452080,0,4.0505033930003265,4.0461466189999555,0.44683791499937797,0.0031955399999787915,0.5261664,12690,10,10,0.8726779962499653
12,0.14865434223984494,,,,0.0017313089920207858,0.021955130621790886,,1.2537873983383179,6452080,20,6452080,6452080,0,4.304914619999181,4.299920812000892,0.5274189700003262,0.0033373850001225946,0.5261664,12690,10,10,0.8726779962499653
13,0.1396640958776926,,,,0.0017011892050504684,0.02155313640832901,,1.1003128290176392,6452080,20,6452080,6452080,0,4.003650067999843,3.9992958050006564,0.45954642000015156,0.0030799129999650177,0.5261664,12690,10,10,0.8726779962499653
14,0.13009039294342753,,,,0.0016992449527606368,0.02151021733880043,,1.2502140998840332,6452080,20,6452080,6452080,0,4.1411299880001025,4.1367375680001714,0.48200530899976,0.0032524940006624092,0.5261664,12690,10,10,0.8726779962499653
15,0.13107209081831891,0.09744081779527937,0.964156527458073,0.908939014202172,0.0017103466670960188,0.021631263196468353,0.018055555555555554,1.0987004041671753,6452080,20,6452080,6452080,0,3.922766575999958,3.9185126590000436,0.4881411559999833,0.003106896000645065,0.5261664,12690,10,10,0.8726779962499653
16,0.1262694781430514,,,,0.0017374036833643913,0.021943537518382072,,1.253996729850769,6452080,20,6452080,6452080,0,4.232279746999666,4.227231313999255,0.5024437289994239,0.003486835999865434,0.5261664,12690,10,10,0.8726779962499653
17,0.1365940576972157,,,,0.0017329680267721415,0.021879538893699646,,1.2421913146972656,6452080,20,6452080,6452080,0,4.109222650999982,4.104916772001161,0.5198065320000751,0.0031503649997830507,0.5261664,12690,10,10,0.8726779962499653
18,0.11767479989831153,,,,0.001782289706170559,0.02247457765042782,,1.2476142644882202,6452080,20,6452080,6452080,0,3.9352863630001593,3.930874063998999,0.4413826540003356,0.0030761879997953656,0.5261664,12690,10,10,0.8726779962499653
19,0.12193888861200844,,,,0.0017877953359857202,0.022518180310726166,,1.299911379814148,6452080,20,6452080,6452080,0,3.872460668999338,3.868126059001952,0.43257050000011077,0.0031183069995677215,0.5261664,12690,10,10,0.8726779962499653
20,0.12184490152769407,0.09847165388612628,0.9592239394935876,0.8957983193277311,0.0017866285052150488,0.022481201216578484,0.022916666666666665,1.2008686065673828,6452080,20,6452080,6452080,0,3.863191370000095,3.858882491001168,0.44203343800018047,0.0031283449998227297,0.5261664,12690,10,10,0.8726779962499653
21,0.12572638072297534,,,,0.0017515388317406178,0.02202591672539711,,1.2237820625305176,6452080,20,6452080,6452080,0,4.195565964999332,4.190638676000162,0.5076558560003832,0.0033984849997068522,0.5261664,12690,10,10,0.8726779962499653
22,0.1106274569348524,,,,0.0017715769354254007,0.022252662107348442,,1.1730670928955078,6452080,20,6452080,6452080,0,4.225230584000201,4.220492515000842,0.5145541520005281,0.0034645910000108415,0.5261664,12690,10,10,0.8726779962499653
23,0.12320660354978152,,,,0.0018676104955375195,0.023444417864084244,,1.2393442392349243,6452080,20,6452080,6452080,0,4.187984727000185,4.183488021998528,0.4958219199997984,0.0033334930003547925,0.5261664,12690,10,10,0.8726779962499653
24,0.1127098616420075,,,,0.0018137729493901134,0.022746935486793518,,1.241744041442871,6452080,20,6452080,6452080,0,3.871155601999817,3.8667002629999843,0.44117398600064917,0.003279849000136892,0.5261664,12690,10,10,0.8726779962499653
25,0.11248010729686297,0.08583928368123549,0.9681025978296613,0.9178662150719729,0.0018590283580124378,0.02329852059483528,0.024583333333333332,1.2573962211608887,6452080,20,6452080,6452080,0,3.823106182000629,3.8181364620004388,0.4364219779999985,0.0036986529994464945,0.5261664,12690,10,10,0.8726779962499653
26,0.09935753022996605,,,,0.001873972243629396,0.023454517126083374,,1.2583740949630737,6452080,20,6452080,6452080,0,3.878292495000096,3.873973573998228,0.48054351799964934,0.0030807550001554773,0.5261664,12690,10,10,0.8726779962499653
27,0.11999632627601386,,,,0.0018453857628628612,0.023088188841938972,,1.22688889503479,6452080,20,6452080,6452080,0,3.7394294609994176,3.7351521139980832,0.42097635899972374,0.003112616999715101,0.5261664,12690,10,10,0.8726779962499653
28,0.10363668133289108,,,,0.0018801045371219516,0.023496586829423904,,1.3187344074249268,6452080,20,6452080,6452080,0,3.931378500000392,3.9268346769986238,0.45969930899991596,0.00326220400074817,0.5261664,12690,10,10,0.8726779962499653
29,0.1064171572654479,,,,0.0019708487670868635,0.02460661716759205,,1.2540019750595093,6452080,20,6452080,6452080,0,3.96658010200008,3.9627007330000197,0.5500357439996151,0.00282325900025171,0.5261664,12690,10,10,0.8726779962499653
30,0.10644051363264662,0.08654301088717836,0.9674449194343966,0.9170159262363788,0.0019740196876227856,0.024619190022349358,0.03333333333333333,1.254786729812622,6452080,20,6452080,6452080,0,4.250931536999815,4.246103654001672,0.488452299000528,0.003434841000853339,0.5261664,12690,10,10,0.8726779962499653
31,0.10812152708254437,,,,0.0019555881153792143,0.024374445900321007,,1.2886699438095093,6452080,20,6452080,6452080,0,4.0481823300006,4.043892783000956,0.5039119590001064,0.003100379999523284,0.5261664,12690,10,10,0.8726779962499653
32,0.09621101206296691,,,,0.00201069051399827,0.02502087876200676,,1.251977801322937,6452080,20,6452080,6452080,0,4.0303101259996765,4.026050942999063,0.536893272999805,0.00300449899987143,0.5261664,12690,10,10,0.8726779962499653
33,0.1014403502343276,,,,0.0020087524317204952,0.024975018575787544,,1.243596076965332,6452080,20,6452080,6452080,0,4.146093698000186,4.141239961002611,0.4572614150001755,0.0034081160001733224,0.5261664,12690,10,10,0.8726779962499653
34,0.09953363075272421,,,,0.00207344489172101,0.025745533406734467,,1.3278087377548218,6452080,20,6452080,6452080,0,3.9865905950000524,3.9821160210021844,0.4940454570005386,0.003268501999627915,0.5261664,12690,10,10,0.8726779962499653
35,0.0946790971942337,0.07867172441853933,0.9704044722130878,0.9238578680203046,0.0020630760118365288,0.025588667020201683,0.020277777777777777,1.39199697971344,6452080,20,6452080,6452080,0,4.229583254999852,4.2252209850003055,0.4908331619999444,0.0031733319992781617,0.5261664,12690,10,10,0.8726779962499653
36,0.09592614884840342,,,,0.0020245194900780916,0.02508421055972576,,1.2829153537750244,6452080,20,6452080,6452080,0,3.9398847299999034,3.935565864999262,0.45326873300018633,0.0030375110000022687,0.5261664,12690,10,10,0.8726779962499653
37,0.09714595001449472,,,,0.002030140720307827,0.025126535445451736,,1.3454941511154175,6452080,20,6452080,6452080,0,3.889479131000371,3.8852857259998927,0.4425508019994595,0.003108490000158781,0.5261664,12690,10,10,0.8726779962499653
38,0.08704565571849573,,,,0.0020410860888659954,0.02522963285446167,,1.4087755680084229,6452080,20,6452080,6452080,0,3.8529458379998687,3.848453578000772,0.45040421999965474,0.003278658999988693,0.5261664,12690,10,10,0.8726779962499653
39,0.09760045325269026,,,,0.0020306087099015713,0.025087060406804085,,1.2691115140914917,6452080,20,6452080,6452080,0,3.626474307000535,3.622465944000396,0.4146329120003429,0.002964215999782027,0.5261664,12690,10,10,0.8726779962499653
40,0.08812545334449748,0.08038314018298373,0.968760276224926,0.9206349206349206,0.0021018136758357286,0.02593204751610756,0.028333333333333332,1.2678618431091309,6452080,20,6452080,6452080,0,3.8083963439994477,3.804045270001552,0.433718322000459,0.003280399999312067,0.5261664,12690,10,10,0.8726779962499653
41,0.09657052116334162,,,,0.002079727128148079,0.025628840550780296,,1.3596851825714111,6452080,20,6452080,6452080,0,4.138721875000556,4.134210015001372,0.49157458400077303,0.0032543220004299656,0.5261664,12690,10,10,0.8726779962499653
42,0.08800950315024858,,,,0.0020284117199480534,0.024968765676021576,,1.5176740884780884,6452080,20,6452080,6452080,0,4.015787791000548,4.011558812000658,0.45870711099996697,0.0031015900003694696,0.5261664,12690,10,10,0.8726779962499653
43,0.09391291417944682,,,,0.002038022968918085,0.02507011592388153,,1.3733114004135132,6452080,20,6452080,6452080,0,3.8711581369998385,3.865818729000239,0.44270123400019656,0.004112982000151533,0.5261664,12690,10,10,0.8726779962499653
44,0.08210512789839652,,,,0.0020577965769916773,0.02527836710214615,,1.4846433401107788,6452080,20,6452080,6452080,0,3.770817748999434,3.766519805999451,0.4313854779993562,0.003157772999657027,0.5261664,12690,10,10,0.8726779962499653
45,0.0934885419645188,0.08305571437681981,0.9667872410391318,0.9154811715481171,0.0021454677917063236,0.026345621794462204,0.026944444444444444,1.3280373811721802,6452080,20,6452080,6452080,0,4.026570416999675,4.022235813000407,0.460232071000064,0.003099920999375172,0.5261664,12690,10,10,0.8726779962499653
46,0.08918647612826817,,,,0.002156727248802781,0.026458458974957466,,1.3780192136764526,6452080,20,6452080,6452080,0,4.066819859000134,4.062384597000346,0.4679629680003927,0.003232377000131237,0.5261664,12690,10,10,0.8726779962499653
47,0.08857083373667227,,,,0.0021301384549587965,0.026101255789399147,,1.410459280014038,6452080,20,6452080,6452080,0,4.1507276669999555,4.1464343970010304,0.5246664169999349,0.0030901539994374616,0.5261664,12690,10,10,0.8726779962499653
48,0.08579767990596254,,,,0.0021173907443881035,0.02592414990067482,,1.3901660442352295,6452080,20,6452080,6452080,0,3.827264044000003,3.822771079998347,0.4736002509998798,0.003284904999418359,0.5261664,12690,10,10,0.8726779962499653
49,0.0877465021713493,,,,0.002159425290301442,0.026404419913887978,,1.5176067352294922,6452080,20,6452080,6452080,0,3.858853341000213,3.8545457589989383,0.46102987799986295,0.003077925000070536,0.5261664,12690,10,10,0.8726779962499653
50,0.08779589176551933,0.07572215788245171,0.9704044722130878,0.9246231155778895,0.0022275764495134354,0.027212124317884445,0.014027777777777778,1.334609866142273,6452080,20,6452080,6452080,0,3.595128386000397,3.5907393630004663,0.4117871050002577,0.0030723489999218145,0.5261664,12690,10,10,0.8726779962499653
