split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1251,22,15,233,0.9756738987508218,0.9137254901960784,0.9395161290322581,0.9264413518886679,0.01728201099764336,0.9611170590173074,1521,248,0.5,0.996965511998581,0.9856772004491792,0.01696391897149525,0.05584303813301546
train,fixed,1,1061,5,16,232,0.9840182648401826,0.9789029535864979,0.9354838709677419,0.9567010309278351,0.004690431519699813,0.965396719724021,1314,248,0.5,0.9984718271500332,0.9942734569901397,0.014264785351001893,0.0523110043093642
train,fixed,2,1006,21,23,225,0.9654901960784313,0.9146341463414634,0.907258064516129,0.9109311740890689,0.02044790652385589,0.9434050789961366,1275,248,0.5,0.9944443571944592,0.9794917017956217,0.024299473938343627,0.07701952775066186
train,fixed,3,825,16,21,227,0.9660238751147842,0.934156378600823,0.9153225806451613,0.924643584521385,0.019024970273483946,0.9481488051858387,1089,248,0.5,0.9954067738099804,0.9845944133405623,0.023981894107465047,0.07810268902212739
train,fixed,4,895,20,12,236,0.9724849527085124,0.921875,0.9516129032258065,0.9365079365079365,0.02185792349726776,0.9648774898642694,1163,248,0.5,0.9974616604970915,0.9914105632605951,0.017899606501914342,0.058088509886162897
train,fixed,5,869,19,19,229,0.9665492957746479,0.9233870967741935,0.9233870967741935,0.9233870967741935,0.021396396396396396,0.9509953501888986,1136,248,0.5,0.9966125399593142,0.988084490287629,0.020750826589197774,0.0650021425872521
train,fixed,6,827,33,15,233,0.9566787003610109,0.8759398496240601,0.9395161290322581,0.9066147859922179,0.03837209302325582,0.9505720180045012,1108,248,0.5,0.9908945986496625,0.9742745438041381,0.03154234501420871,0.10772062914975995
train,fixed,7,1077,38,9,239,0.9655172413793104,0.8628158844765343,0.9637096774193549,0.9104761904761904,0.034080717488789235,0.9648144799652828,1363,248,0.5,0.997320266165196,0.9895213465251744,0.01998670807729733,0.06341149437650685
train,fixed,8,1019,20,25,223,0.965034965034965,0.9176954732510288,0.8991935483870968,0.9083503054989817,0.019249278152069296,0.9399721351175137,1287,248,0.5,0.993379179732373,0.9753208555786428,0.025203588222504358,0.0838502571907592
train,fixed,9,1178,8,19,229,0.9811715481171548,0.9662447257383966,0.9233870967741935,0.9443298969072165,0.006745362563237774,0.9583208671054779,1434,248,0.5,0.9982762606756242,0.9924345631233813,0.013656312412073214,0.04900608496436017
train,val_f1,0,1250,23,13,235,0.9763313609467456,0.9108527131782945,0.9475806451612904,0.9288537549407114,0.018067556952081697,0.9647565441046043,1521,248,0.49,0.996965511998581,0.9856772004491792,0.01696391897149525,0.05584303813301546
train,val_f1,1,1061,5,13,235,0.9863013698630136,0.9791666666666666,0.9475806451612904,0.9631147540983607,0.004690431519699813,0.9714451068207952,1314,248,0.49,0.9984718271500332,0.9942734569901397,0.014264785351001893,0.0523110043093642
train,val_f1,2,1004,23,23,225,0.9639215686274509,0.907258064516129,0.907258064516129,0.907258064516129,0.022395326192794548,0.9424313691616673,1275,248,0.49,0.9944443571944592,0.9794917017956217,0.024299473938343627,0.07701952775066186
train,val_f1,3,825,16,21,227,0.9660238751147842,0.934156378600823,0.9153225806451613,0.924643584521385,0.019024970273483946,0.9481488051858387,1089,248,0.49,0.9954067738099804,0.9845944133405623,0.023981894107465047,0.07810268902212739
