epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.000831426412332803,0.010731242597103119,,0.5606711506843567,6452080,20,4839060,6452080,0,3.956523347998882,3.9516925259922573,0.48591271999976016,0.0034775489984895103,0.5261664,12690,5,10,1.0
2,0.3808379281536708,,,,0.0011583975283429027,0.014905326999723911,,1.0921162366867065,6452080,20,6129476,6452080,0,3.7048629660021106,3.7003833029957605,0.41983719400013797,0.003265095001552254,0.5261664,12690,9,10,0.9673710108634356
3,0.29976812744475645,,,,0.0013982256641611457,0.01797952689230442,,0.8043582439422607,6452080,20,4193852,6452080,0,3.8954475069986074,3.8910475749944453,0.43751551499735797,0.003162614997563651,0.5261664,12690,5,10,1.0
4,0.25473478119412996,,,,0.0017079963581636548,0.021923229098320007,,0.8171674609184265,6452080,20,5161664,6452080,0,3.744115093999426,3.739729665001505,0.420732737002254,0.0030940950018703006,0.5261664,12690,6,10,1.0
5,0.22896669340720974,0.20436687205001342,0.9217362709634989,0.7746212121212122,0.0021115653216838837,0.02705511264503002,0.025555555555555557,1.150489091873169,6452080,20,5161664,6452080,0,4.101276925001002,4.096911594006087,0.4840421890003199,0.003045310000743484,0.5261664,12690,6,10,1.0
6,0.21174562306092387,,,,0.00218777172267437,0.027982201427221298,,1.1790258884429932,6452080,20,5806872,6452080,0,3.8687349669999094,3.8642011049996654,0.446224515002541,0.0031485940016864333,0.5261664,12690,8,10,0.9999999999999993
7,0.18903658988224922,,,,0.0023654599208384752,0.03019341640174389,,1.1366970539093018,6452080,20,4839060,6452080,0,3.860397565000312,3.8561710130088613,0.42940853199979756,0.0029746710024483036,0.5261664,12690,6,10,1.0
8,0.17151356531515244,,,,0.002349130343645811,0.029933903366327286,,1.2179226875305176,6452080,20,5161664,6452080,0,4.037517013002798,4.0335389289903105,0.4753056949994061,0.002827447999152355,0.5261664,12690,7,10,1.0000000000000007
9,0.15720975704588053,,,,0.002170773921534419,0.02761160023510456,,1.3933792114257812,6452080,20,6452080,6452080,0,3.717974822000542,3.7137172230031865,0.42439426599958097,0.003031544001714792,0.5261664,12690,10,10,0.8726779962499653
10,0.15769095429872304,0.13468576728349893,0.9470568891811904,0.8591426071741033,0.002331480151042342,0.029630467295646667,0.03652777777777778,0.8839629292488098,6452080,20,4516456,6452080,0,3.8687070929991023,3.8643456310128386,0.4582552050014783,0.003091333001066232,0.5261664,12690,6,10,1.0
11,0.13869093430745622,,,,0.002331239404156804,0.02957388386130333,,1.1828124523162842,6452080,20,5806872,6452080,0,3.8694018720016174,3.8648509310041845,0.44194399200205225,0.0032106649996421766,0.5261664,12690,8,10,0.9999999999999999
12,0.1491143238857531,,,,0.002571889664977789,0.03260578215122223,,0.9715555310249329,6452080,20,3226040,6452080,0,3.993093883000256,3.989095818003989,0.46917183400000795,0.0027603470007306896,0.5261664,12690,3,10,1.0
13,0.13926058928899898,,,,0.0026504332199692726,0.033565618097782135,,1.0500415563583374,6452080,20,4516456,6452080,0,3.895304682002461,3.8894796789936663,0.44799966699793003,0.0031709830000181682,0.5261664,12690,4,10,1.0
14,0.14199832831446674,,,,0.0024523099418729544,0.03103664703667164,,1.4505919218063354,6452080,20,5806872,6452080,0,3.797107383998082,3.7927048679957807,0.4325762920016132,0.00299555300080101,0.5261664,12690,8,10,0.9999999999999997
15,0.12224661224666397,0.10649804599102054,0.9556067083196317,0.8908649959579629,0.0026410792488604784,0.03337477520108223,0.02361111111111111,1.0875612497329712,6452080,20,4839060,6452080,0,3.999124836002011,3.9942144690030545,0.4881907089984452,0.0035030799990636297,0.5261664,12690,6,10,1.0
16,0.12981193364581764,,,,0.0026650666259229183,0.03364922106266022,,1.499664068222046,6452080,20,4193852,6452080,0,3.7437352479973924,3.739400032995036,0.4261837679987366,0.002982942998642102,0.5261664,12690,4,10,1.0
17,0.13568984341143384,,,,0.002275633392855525,0.028719156980514526,,1.5626140832901,6452080,20,6129476,6452080,0,4.035998788000143,4.031239435003954,0.4731550309988961,0.003372006001882255,0.5261664,12690,9,10,0.9673710108634356
18,0.1131120958864753,,,,0.0023967663291841745,0.030205532908439636,,1.1794178485870361,6452080,20,5484268,6452080,0,4.176605964999908,4.172254776007321,0.6039738330000546,0.002991971003211802,0.5261664,12690,7,10,1.0
19,0.12258208476541173,,,,0.002553908620029688,0.03214811533689499,,1.116782546043396,6452080,20,5161664,6452080,0,3.77933240999846,3.7747810849978123,0.4231740209979762,0.0030616440017183777,0.5261664,12690,6,10,1.0
20,0.11534625386668103,0.124123178504191,0.9533048339362052,0.8763066202090593,0.0026612235233187675,0.033464789390563965,0.049166666666666664,1.128298282623291,6452080,20,4516456,6452080,0,4.149392396997428,4.145182567997836,0.4655981480027549,0.002942031998827588,0.5261664,12690,5,10,1.0
21,0.12633892779990696,,,,0.0029234103858470917,0.03672477602958679,,1.2155728340148926,6452080,20,4516456,6452080,0,3.8703391760027444,3.866081749994919,0.5175014980013657,0.003004171001521172,0.5261664,12690,4,10,1.0
22,0.11704862813461622,,,,0.0029102542903274298,0.03651776537299156,,1.4496934413909912,6452080,20,4839060,6452080,0,3.8112479699993855,3.8069327249977505,0.4442784439997922,0.0030824719979136717,0.5261664,12690,5,10,1.0
