split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1246,27,11,237,0.9750164365548981,0.8977272727272727,0.9556451612903226,0.92578125,0.021209740769835034,0.9672177102602437,1521,248,0.5,0.9971428933431316,0.9863001538677039,0.01822998855384197,0.05914513543754458
train,fixed,1,1065,1,18,230,0.9855403348554034,0.9956709956709957,0.9274193548387096,0.9603340292275574,0.0009380863039399625,0.9632406342673848,1314,248,0.5,0.9990392180596744,0.9962093606764485,0.013625332054163861,0.04958894978066175
train,fixed,2,1020,7,8,240,0.9882352941176471,0.97165991902834,0.967741935483871,0.9696969696969697,0.006815968841285297,0.9804629833212928,1275,248,0.5,0.9992775701228132,0.9971323588295806,0.009774923014210813,0.03721496131451028
train,fixed,3,801,40,7,241,0.9568411386593205,0.8576512455516014,0.9717741935483871,0.9111531190926276,0.04756242568370987,0.9621058839323386,1089,248,0.5,0.9957040389705036,0.9873258731931475,0.028298785246582022,0.09104340614713559
train,fixed,4,888,27,6,242,0.9716251074806534,0.8996282527881041,0.9758064516129032,0.9361702127659575,0.029508196721311476,0.973149127445796,1163,248,0.5,0.9981887890005288,0.9937199325317502,0.018444896233836928,0.060800783958474346
train,fixed,5,859,29,4,244,0.9709507042253521,0.8937728937728938,0.9838709677419355,0.9366602687140115,0.03265765765765766,0.975606655042139,1136,248,0.5,0.9980928509154315,0.9937698576912847,0.019845412231443087,0.06383644085248065
train,fixed,6,858,2,24,224,0.9765342960288809,0.9911504424778761,0.9032258064516129,0.9451476793248945,0.002325581395348837,0.9504501125281319,1108,248,0.5,0.9972899474868717,0.9916591587681383,0.01977150892817471,0.06958269095968372
train,fixed,7,1105,10,16,232,0.9809244314013206,0.9586776859504132,0.9354838709677419,0.9469387755102041,0.008968609865470852,0.9632576305511356,1363,248,0.5,0.996437870678432,0.9868224675685464,0.017920737927956596,0.06168756683374466
train,fixed,8,1031,8,34,214,0.9673659673659674,0.963963963963964,0.8629032258064516,0.9106382978723404,0.007699711260827719,0.9276017572728119,1287,248,0.5,0.994318358222857,0.9788807799234871,0.02590194152569223,0.0899736970368917
train,fixed,9,1185,1,19,229,0.9860529986052998,0.9956521739130435,0.9233870967741935,0.9581589958158996,0.0008431703204047217,0.9612719632268945,1434,248,0.5,0.9992554262089974,0.996683486600654,0.010754941972855585,0.04023585395133878
