epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.0006287581636570394,0.00811542384326458,,0.812056839466095,6452080,20,6452080,6452080,0,4.162166838999838,4.157162563005841,0.5933613740016881,0.0036958560012863018,0.5261664,12690,10,10,0.8726779962499653
2,0.3815498737127272,,,,0.0010499355848878622,0.013509484939277172,,1.0036871433258057,6452080,20,6452080,6452080,0,4.060328925999784,4.055780106002203,0.46214244899965706,0.003137024999887217,0.5261664,12690,10,10,0.8726779962499653
3,0.29684008677814433,,,,0.0011695816647261381,0.015038431622087955,,0.9670137166976929,6452080,20,6452080,6452080,0,3.7947256810002727,3.7904079359941534,0.45106059799945797,0.003064411001105327,0.5261664,12690,10,10,0.8726779962499653
4,0.24959951037004524,,,,0.001409723423421383,0.018094440922141075,,1.0940419435501099,6452080,20,6452080,6452080,0,3.796740186000534,3.7924832749959023,0.4251356200002192,0.003032544998859521,0.5261664,12690,10,10,0.8726779962499653
5,0.2285371330105082,0.1972369591294191,0.9197632357777047,0.7631067961165049,0.0016003784257918596,0.020509298890829086,0.02861111111111111,1.0877479314804077,6452080,20,6452080,6452080,0,3.7785212279995903,3.774442210997222,0.43066556199846673,0.002865032001864165,0.5261664,12690,10,10,0.8726779962499653
6,0.21185034161261312,,,,0.001752020907588303,0.02240622602403164,,1.1570074558258057,6452080,20,6452080,6452080,0,3.92424277399914,3.9200001290046202,0.47386057400217396,0.002954837000288535,0.5261664,12690,10,10,0.8726779962499653
7,0.19626457923742707,,,,0.0017913465853780508,0.02286398969590664,,1.1977201700210571,6452080,20,6452080,6452080,0,3.825774305001687,3.8214470299972163,0.4336569459992461,0.003061870000237832,0.5261664,12690,10,10,0.8726779962499653
8,0.17003732547101508,,,,0.0018057192210108042,0.023004738613963127,,1.2839064598083496,6452080,20,6452080,6452080,0,3.735586399998283,3.731243150003138,0.43452879000324174,0.0030658949981443584,0.5261664,12690,10,10,0.8726779962499653
9,0.15786608020638665,,,,0.0017420037183910608,0.022165298461914062,,1.11075758934021,6452080,20,6452080,6452080,0,3.8271388260000094,3.82286222899711,0.44880938300048,0.0030423130010603927,0.5261664,12690,10,10,0.8726779962499653
10,0.14774091603626743,0.13514589027417037,0.9454126931930286,0.8493647912885662,0.0017202080925926566,0.02185634709894657,0.028333333333333332,1.1527715921401978,6452080,20,6452080,6452080,0,3.823188750000554,3.8188400599974557,0.4426450740029395,0.0031331190002674703,0.5261664,12690,10,10,0.8726779962499653
